value,label,count
3K CENTER @ 1 TELEPORT DRIVE,school_name,4
3K CENTER @ 101 AVENUE - QUEEN,school_name,1
3K CENTER @ 101-49 WOODHAVEN,school_name,4
3K CENTER @ 104 HOUSMAN AVENUE,school_name,4
3K CENTER @ 104-06 101 AVENUE,school_name,4
3K CENTER @ 1535 RICHMOND AVE,school_name,4
3K CENTER @ 20 EBBITTS STREET,school_name,8
3K CENTER @ 2389 RICHMOND AVE,school_name,4
3K CENTER @ 2530 VICTORY BLVD,school_name,4
3K CENTER @ 87-40 88 ST - Q,school_name,4
3K CENTER @ WEST FARMS ROAD,school_name,4
3K CENTER@100-02 ROCKAWAY BLVD,school_name,4
A. PHILIP RANDOLPH HS -M,school_name,17
A. PHILIP RANDOLPH HS -MANHATT,school_name,2
ABRAHAM LINCOLN HS - BROOKLYN,school_name,7
ACAD FOR CAREERS IN TV AND FIL,school_name,1
ACAD. FOR ENVIRON. LDRSHP - K,school_name,5
ACAD. FOR YOUNG WRITERS - K,school_name,1
ACAD. OF MEDICAL TECHNOLOGY -,school_name,1
ACADEMY FOR SCHOLARSHIP AND EN,school_name,1
ACADEMY OF AMERICAN STUDIES,school_name,4
ACADEMY OF AMERICAN STUDIES -,school_name,3
ACADEMY OF FIN. AND ENTERPRISE,school_name,1
ACADEMY OF INNOV TECH - BROOKL,school_name,5
ACHIEVEMENT FIRST ASPIRE CHART,school_name,4
ACORN COMMUNITY HS - K,school_name,6
ADULT AND CONTINUING EDUCATION,school_name,5
ADULT LEARNING CENTER - BKLYN,school_name,1
ALC - BROOKLYN CHOICES,school_name,4
ALFRED E. SMITH HS - X,school_name,18
ALTRNATIVE LEARNING CENTER - Q,school_name,2
AMBER CHARTER SCHOOL - M,school_name,5
ANTONIA PANTOJA PREP ACADEMY -,school_name,1
ARCHIMEDES ACADEMY FOR MATH  -,school_name,1
ART & DESIGN VOC HS - MANHATTA,school_name,2
ARTS & MEDIA PREP ACADEMY - K,school_name,1
ARTURO A. SCHOMBERG SATELLITE,school_name,1
ASPIRATIONS DIPLOMA HS - BROOK,school_name,1
ASTOR COLLEGIATE HS - BRONX,school_name,1
AUGUST MARTIN HS - QUEENS,school_name,23
AUTOMOTIVE TRADES VOC HS - K,school_name,12
AVIATION HS - QUEENS,school_name,12
AVIATION VOCATIONAL H.S.,school_name,1
BACCALAUREATE SCL FOR GLOBAL E,school_name,6
BARD COLLEGE HS - MANHATTAN,school_name,4
BARD HS EARLY COLLEGE II - Q,school_name,4
BARD HS EARLY COLLEGE II - QUE,school_name,6
BARUCH COLLEGE CAMPUS HS - M,school_name,3
BAYSIDE HIGH SCHOOL - QUEENS,school_name,26
BEACH CHANNEL HS - QUEENS,school_name,5
BEACON HS - MANHATTAN,school_name,1
BED-STUYVESANT PREPARATORY HS,school_name,4
BEDFORD ACADEMY HS - K,school_name,1
BEDFORD STUYVESANT COLLEGIATE,school_name,4
BEGINNING WITH CHLDRN CHRTR II,school_name,4
BELIEVE NORTHSIDE CHARTER HIGH,school_name,1
BENJAMIN BANNEKER ACAD.,school_name,4
BENJAMIN N. CARDOZO HS - Q,school_name,10
BENJAMIN N. CARDOZO HS - QUEEN,school_name,5
BERGTRAUM HS (ECF),school_name,1
BERGTRAUM HS - MANHATTAN,school_name,12
BETHEL MISSION LOVING CHILD CA,school_name,1
BKLYN BROWNSTONE SCL - K,school_name,1
BKLYN GARDENS ELEMENTARY SCHL,school_name,4
BKLYN HS FOR LEADERSHIP & COMM,school_name,1
BKLYN SCHL FOR MATH AND RESRCH,school_name,4
BKLYN SCHL FOR SOCIAL JUSTICE,school_name,9
BKLYN STUDIO SEC. SCL - B,school_name,4
BKLYN STUDIO SEC. SCL - BROOKL,school_name,6
BOYS & GIRLS HS - BROOKLYN,school_name,13
BOYS AND GIRLS YABC,school_name,1
BRIGHTER CHOICE COMMUN SCHL,school_name,8
BRKLYN SCHL FOR SOCIAL JUSTICE,school_name,4
BRONX AEROSPACE HS - BRONX,school_name,1
BRONX ARENA HIGH SCHOOL - BRON,school_name,1
BRONX CNTR FOR SCIENCE & MATH,school_name,11
BRONX COMMUNITY HIGH SCHOOL,school_name,4
BRONX COMPASS HIGH SCHOOL - BR,school_name,1
BRONX DELTA SCHOOL,school_name,1
BRONX EARLY COLLEGE ACADEMY,school_name,1
BRONX ENVISION ACADEMY - BRONX,school_name,1
BRONX EXPEDITIONARY LEARNG HS,school_name,3
BRONX HS FOR THE VISUAL ARTS,school_name,4
BRONX HS FOR THE VISUAL ARTS -,school_name,1
BRONX HS OF SCIENCE - X,school_name,10
BRONX INTERNATIONAL - BRONX,school_name,13
BRONX LAB SCHOOL - BRONX,school_name,1
BRONX LEADERSHIP ACADEMY II HS,school_name,1
BRONX MATH PREP - BRONX,school_name,9
BRONX RIVER HIGH SCHOOL,school_name,1
"BRONX SCHOOL FOR LAW, GOVERNME",school_name,1
BRONX SCHOOL OF LAW & FINANCE,school_name,1
BRONX THEATRE HS - BRONX,school_name,2
BRONXDALE HIGH SCHOOL - BRONX,school_name,2
BROOKLYN ACADEMY HS - BROOKLYN,school_name,6
BROOKLYN ACADEMY OF GLOBAL FIN,school_name,1
BROOKLYN BRIDGE ACADEMY - K,school_name,9
BROOKLYN COLLEGE ACADEMY - K,school_name,13
BROOKLYN COLLEGIATE: A COLLEGE,school_name,5
BROOKLYN COMMUNITY ARTS & MEDI,school_name,1
BROOKLYN DAILY DISCOVERY PRE-K,school_name,1
BROOKLYN EMERGING LEADERS ACAD,school_name,4
BROOKLYN ENVIRONMENTAL EXPLORA,school_name,2
BROOKLYN FRONTIERS HIGH SCHOOL,school_name,1
BROOKLYN GARDENS ELEMENTARY SC,school_name,9
BROOKLYN GENERATION SCHOOL - K,school_name,10
BROOKLYN HIGH SCHOOL FOR LAW A,school_name,1
BROOKLYN HS FOR SCI & THE ENVI,school_name,1
BROOKLYN HS OF THE ARTS,school_name,12
BROOKLYN INTERNATIONAL HS - K,school_name,2
