value,label,count
ACACIA Network ed for Community Empowerment,city_agency,2
ACRIA,city_agency,1
ACT UP,city_agency,1
AIDS Center of Queens County,city_agency,4
AIDS Healthcare Foundation,city_agency,1
AIDS Service Center of NYC,city_agency,1
APICHA Community Health Center,city_agency,1
Abundant Life Christian Center,city_agency,1
Academy of Medical and Public Health Services,city_agency,1
Africa Redemption Alliance International,city_agency,1
African Diaspora Unity of Global Ambassadors of Goodwill,city_agency,1
African Hope Committee,city_agency,1
African Services Committee,city_agency,1
After Hours Project,city_agency,1
Aid for AIDS,city_agency,1
Albert Einstein College of Medicine,city_agency,5
Ali Forney Center,city_agency,2
All Med Medical & Rehabilitation Centers,city_agency,3
Alvin Ponder M.D.,city_agency,1
American Medical and Public Health Services (AMPHS) National,city_agency,1
Amethyst Women's Project,city_agency,1
Argus Community,city_agency,1
Arthur Ashe Urban Health,city_agency,1
Assembly District 61,city_agency,1
Audubon Family Planning Center,city_agency,1
Aureus Health Services,city_agency,1
BOOM! Health,city_agency,3
Bailey House,city_agency,1
Beacon Christian Community Health Center,city_agency,1
Bedford Stuyvesant Family Health Center,city_agency,2
Berean Community and Family Life Center,city_agency,1
Betances Health Center,city_agency,1
Bioscrip Pharmacy,city_agency,1
Black Leadership Commission on AIDS of New York City,city_agency,1
Bridging Access to Care,city_agency,4
Brightpoint Health,city_agency,4
Bristol-Myers Squibb,city_agency,2
Bronx - Lebanon Hospital Center,city_agency,9
Bronx Clergy Task Force,city_agency,1
Bronx Community College,city_agency,1
Bronx Community Health Network,city_agency,1
Bronx HIV Advocacy Network,city_agency,1
Bronx Parent Housing Network,city_agency,1
BronxWorks,city_agency,7
Brookdale University Hospital and Medical Center,city_agency,6
Brooklyn Borough Hall,city_agency,1
Brooklyn College,city_agency,1
Brooklyn Community Pride Center,city_agency,1
Brooklyn Hospital Center,city_agency,2
Brooklyn Plaza Medical Center,city_agency,1
Brooklyn Rescue Mission,city_agency,1
Brownsville Multi-Service Family Health Center,city_agency,5
CAMBA (Church Avenue Merchants Block Association),city_agency,2
CAUSE-NY Jewish Community Relations Council of New York,city_agency,1
CB District Manager,city_agency,1
CK Life (Community Kinship),city_agency,1
Callen Lorde Community Health Center,city_agency,2
Calvary First Nigerian Seventh-day Adventist Church,city_agency,1
Care for the Homeless,city_agency,1
Caribbean Women's Health Association,city_agency,1
Casa Esperanza para Mujeres y Ninos,city_agency,1
Center for Community Alternatives,city_agency,2
Center for Comprehensive Health Practice,city_agency,1
Centers for Disease Control and Prevention,city_agency,1
Charles B Wang Community Health Center - Teens,city_agency,3
Children's Aid Society,city_agency,2
Choices Women's Medical Center,city_agency,1
Christ the Rock World Restoration International Church,city_agency,1
Christian Fellowship Seventh-day Adventist Church,city_agency,1
Circle of Voices,city_agency,1
City Health Works,city_agency,1
Clergy United for Community Empowerment,city_agency,1
Clinic - Lenox Avenue,city_agency,2
Columbia University,city_agency,1
