value,label,count
                                  ,address,1
  BROOKLYN              NY112-0811,address,1
  BROOKLYN              NY112-2119,address,1
  NEW YORK              NY100-1740,address,1
  NEW YORK              NY100-3244,address,1
  NEW YORK              NY100-7514,address,1
ADDISLEIGH PARK      NY 11434-1416,address,1
AGOURA HILLS         CA 91301-1737,address,1
AKRON                OH 44313-5067,address,1
ALBANY               NY 12207-1707,address,1
ALBANY               NY 12207-2837,address,1
ALBANY               NY 12207-2942,address,1
ALBANY               NY 12210-2822,address,1
ALBANY               NY 12226-1799,address,1
ALBANY               NY 12233     ,address,1
ALBERTSON            NY 11507     ,address,1
ALBERTSON            NY 11507-0802,address,1
ALBERTSON            NY 11507-1013,address,1
ALBERTSON            NY 11507-1212,address,1
ALBERTSON            NY 11507-1412,address,1
ALBERTSON            NY 11507-1415,address,1
ALBERTSON            NY 11507-1426,address,1
ALBERTSON            NY 11507-1502,address,1
ALBERTSON            NY 11507-1807,address,1
ALBERTSON            NY 11507-1939,address,1
ALBERTSON            NY 11507-2207,address,1
ALBUQUERQUE          NM 87109-3835,address,1
ALEXANDRIA           VA 22306-1112,address,1
ALISO VIEJO          CA 92656-2686,address,1
ALLEN                TX 75013-5390,address,1
ALLENDALE            NJ 07401-1822,address,1
ALLENDALE            NJ 07401-2002,address,1
ALLENDALE            NJ 07401-2233,address,1
ALPINE               NJ 07620     ,address,1
ALPINE               NJ 07620-0319,address,1
ALPINE               NJ 07620-0819,address,1
AMAGANSETT           NY 11930-2493,address,1
AMARILLO             TX 79124-1321,address,1
AMHERST              NH 03031-2416,address,1
AMITYVILLE           NY 11701-3747,address,1
ANDOVER              MA 01810-2446,address,1
ANDOVER              MA 01810-5010,address,1
ANN ARBOR            MI 48105-3014,address,1
ANN ARBOR            MI 48108-8641,address,1
ANNAPOLIS            MD 21403-5025,address,1
APO                  AP 96204-3075,address,1
APT 2B                        ,address,1
ARDEN                NC 28704     ,address,1
ARKVILLE             NY 12406-1359,address,1
ARLINGTON            VA 22201-2176,address,1
ARLINGTON            VA 22203-2138,address,1
ARLINGTON            VA 22209-1714,address,1
ARMONK               NY 10504-1130,address,1
ARMONK               NY 10504-1705,address,1
ARNOLD               MD 21012-2124,address,1
ARVERNE              NY 11692-1134,address,1
ARVERNE              NY 11692-1264,address,1
ARVERNE              NY 11692-1293,address,1
ARVERNE              NY 11692-1305,address,1
ARVERNE              NY 11692-1401,address,1
ARVERNE              NY 11692-1884,address,1
ARVERNE              NY 11692-2008,address,1
ARVERNE              NY 11692-2027,address,1
ARVERNE              NY 11692-2038,address,1
ARVERNE              NY 11692-2039,address,1
ARVERNE              NY 11692-2042,address,1
ARVERNE              NY 11692-2044,address,1
ARVERNE              NY 11692-2045,address,1
ARVERNE              NY 11692-2046,address,1
ARVERNE              NY 11692-2302,address,1
ASBURY PARK          NJ 07712-9302,address,1
ASHLAND              OR 97520-8803,address,1
ATHENS               GA 30606-5389,address,1
ATHERTON             CA 94027-5431,address,1
ATLANTA              GA 30305-4811,address,1
ATLANTA              GA 30309-3623,address,1
ATLANTA              GA 30319     ,address,1
ATLANTA              GA 30326     ,address,1
ATLANTA              GA 30327-3603,address,1
ATLANTA              GA 30327-4281,address,1
ATLANTA              GA 30339-5989,address,1
ATLANTA              GA 30363-1076,address,1
AUSTIN               TX 78703-1026,address,1
AUSTIN               TX 78703-1044,address,1
AUSTIN               TX 78727     ,address,1
AUSTIN               TX 78756     ,address,1
AVENEL               NJ 07001-2218,address,1
AVENTURA             FL 33160-4938,address,1
AVENTURA             FL 33180-2592,address,1
AVENTURA             FL 33180-3032,address,1
AVENTURA             FL 33180-3112,address,1
AVENTURA             FL 33180-3863,address,1
BABYLON              NY 11702-2010,address,1
BABYLON              NY 11702-3714,address,1
BAL HARBOUR          FL 33154-1404,address,1
BAL HARBOUR          FL 33154-1447,address,1
BALA CYNWYD          PA 19004-0377,address,1
BALTIMORE            MD 21204-3659,address,1
BALTIMORE            MD 21211-2222,address,1
BALTIMORE            MD 21218-1757,address,1
BALTIMORE            MD 21218-1792,address,1
BARRE                VT 05641-4059,address,1
BARRINGTON           IL 60010     ,address,1
BARRINGTON           RI 02806-4022,address,1
BASKING RIDGE        NJ 07920-2954,address,1
BASKING RIDGE        NJ 07920-3443,address,1
BATAVIA              NY 14020-2703,address,1
BATON ROUGE          LA 70808-5019,address,1
BAY SHORE            NY 11706-5911,address,1
BAYAMON              PR 00960-2811,address,1
BAYONNE              NJ 07002-1305,address,1
BAYSIDE              NY 11360     ,address,1
BAYSIDE              NY 11360-1108,address,1
BAYSIDE              NY 11360-1120,address,1
BAYSIDE              NY 11360-1125,address,1
BAYSIDE              NY 11360-1162,address,1
BAYSIDE              NY 11360-1175,address,1
BAYSIDE              NY 11360-1230,address,1
BAYSIDE              NY 11360-1232,address,1
BAYSIDE              NY 11360-1307,address,1
BAYSIDE              NY 11360-1309,address,1
BAYSIDE              NY 11360-1349,address,1
BAYSIDE              NY 11360-1350,address,1
BAYSIDE              NY 11360-1353,address,1
BAYSIDE              NY 11360-2138,address,1
BAYSIDE              NY 11360-2155,address,1
BAYSIDE              NY 11360-2201,address,1
BAYSIDE              NY 11360-2220,address,1
BAYSIDE              NY 11360-2410,address,1
BAYSIDE              NY 11360-2422,address,1
BAYSIDE              NY 11360-2435,address,1
BAYSIDE              NY 11360-2446,address,1
BAYSIDE              NY 11360-2474,address,1
BAYSIDE              NY 11360-2545,address,1
BAYSIDE              NY 11360-2607,address,1
BAYSIDE              NY 11360-2643,address,1
BAYSIDE              NY 11360-2649,address,1
BAYSIDE              NY 11360-2802,address,1
BAYSIDE              NY 11360-2910,address,1
BAYSIDE              NY 11360-2927,address,1
BAYSIDE              NY 11360-2931,address,1
BAYSIDE              NY 11360-2932,address,1
BAYSIDE              NY 11360-2934,address,1
BAYSIDE              NY 11361     ,address,1
BAYSIDE              NY 11361-1011,address,1
BAYSIDE              NY 11361-1018,address,1
BAYSIDE              NY 11361-1024,address,1
BAYSIDE              NY 11361-1031,address,1
BAYSIDE              NY 11361-1042,address,1
BAYSIDE              NY 11361-1059,address,1
BAYSIDE              NY 11361-1063,address,1
BAYSIDE              NY 11361-1100,address,1
BAYSIDE              NY 11361-1137,address,1
BAYSIDE              NY 11361-1139,address,1
BAYSIDE              NY 11361-1140,address,1
BAYSIDE              NY 11361-1158,address,1
BAYSIDE              NY 11361-1232,address,1
BAYSIDE              NY 11361-1510,address,1
BAYSIDE              NY 11361-1526,address,1
BAYSIDE              NY 11361-1627,address,1
BAYSIDE              NY 11361-1724,address,1
BAYSIDE              NY 11361-1725,address,1
BAYSIDE              NY 11361-1840,address,1
BAYSIDE              NY 11361-1853,address,1
BAYSIDE              NY 11361-1900,address,1
BAYSIDE              NY 11361-1955,address,1
BAYSIDE              NY 11361-2071,address,1
BAYSIDE              NY 11361-2085,address,1
BAYSIDE              NY 11361-2167,address,1
BAYSIDE              NY 11361-2209,address,1
BAYSIDE              NY 11361-2222,address,1
BAYSIDE              NY 11361-2225,address,1
BAYSIDE              NY 11361-2254,address,1
BAYSIDE              NY 11361-2342,address,1
BAYSIDE              NY 11361-2347,address,1
BAYSIDE              NY 11361-2406,address,1
BAYSIDE              NY 11361-2428,address,1
BAYSIDE              NY 11361-2624,address,1
BAYSIDE              NY 11361-2758,address,1
BAYSIDE              NY 11361-2813,address,1
BAYSIDE              NY 11361-3032,address,1
BAYSIDE              NY 11361-3074,address,1
BAYSIDE              NY 11361-3245,address,1
BAYSIDE              NY 11361-3321,address,1
BAYSIDE              NY 11361-3336,address,1
BAYSIDE              NY 11361-3416,address,1
BAYSIDE              NY 11361-3464,address,1
BAYSIDE              NY 11361-3526,address,1
BAYSIDE              NY 11364     ,address,1
BAYSIDE              NY 11364-1013,address,1
BAYSIDE              NY 11364-1019,address,1
BAYSIDE              NY 11364-1115,address,1
BAYSIDE              NY 11364-2123,address,1
BAYSIDE              NY 11364-2231,address,1
BAYSIDE              NY 11364-2521,address,1
BAYSIDE              NY 11364-2614,address,1
BAYSIDE              NY 11364-2933,address,1
BAYSIDE              NY 11364-3012,address,1
BAYSIDE              NY 11364-3019,address,1
BAYSIDE              NY 11364-3317,address,1
BAYSIDE HILLS        NY 11364-1144,address,1
BAYSIDE HILLS        NY 11364-1325,address,1
BAYSIDE HILLS        NY 11364-1362,address,1
BAYSIDE HILLS        NY 11364-1411,address,1
BAYSIDE HILLS        NY 11364-1809,address,1
BAYSIDE HILLS        NY 11364-1812,address,1
BAYSIDE HILLS        NY 11364-1815,address,1
BAYSIDE HILLS        NY 11364-1828,address,1
BAYSIDE HILLS        NY 11364-1837,address,1
BAYSIDE HILLS        NY 11364-1909,address,1
BAYSIDE HILLS        NY 11364-1911,address,1
BAYSIDE HILLS        NY 11364-1914,address,1
BAYSIDE HILLS        NY 11364-1919,address,1
BAYSIDE HILLS        NY 11364-1922,address,1
BAYSIDE HILLS        NY 11364-1944,address,1
BAYVILLE             NY 11709-1002,address,1
BAYVILLE             NY 11709-1410,address,1
BAYVILLE             NY 11709-1819,address,1
BEACON               NY 12508-1826,address,1
BEDFORD              NY 10506-1824,address,1
BEDFORD              NY 10506-1915,address,1
BEDFORD HILLS        NY 10507-2205,address,1
BEECHHURST           NY 11357-1322,address,1
BEECHHURST           NY 11357-1516,address,1
BEECHHURST           NY 11357-1919,address,1
BELLEROSE            NY 11421     ,address,1
BELLEROSE            NY 11426     ,address,1
BELLEROSE            NY 11426-0231,address,1
BELLEROSE            NY 11426-1166,address,1
BELLEROSE            NY 11426-1178,address,1
BELLEROSE            NY 11426-1207,address,1
BELLEROSE            NY 11426-1227,address,1
BELLEROSE            NY 11426-1253,address,1
BELLEROSE            NY 11426-1522,address,1
BELLEROSE            NY 11426-1618,address,1
BELLEROSE            NY 11426-1622,address,1
BELLEROSE            NY 11426-1648,address,1
BELLEROSE            NY 11426-1735,address,1
BELLEROSE            NY 11426-1810,address,1
BELLEROSE            NY 11426-1811,address,1
BELLEROSE            NY 11426-1826,address,1
BELLEROSE            NY 11426-2115,address,1
BELLEROSE            NY 11426-2117,address,1
BELLEROSE            NY 11426-2122,address,1
BELLEROSE            NY 11426-2123,address,1
BELLEROSE            NY 11426-2127,address,1
BELLEROSE            NY 11426-2134,address,1
BELLEROSE            NY 11426-2409,address,1
BELLEROSE            NY 11426-2632,address,1
BELLEROSE            NY 11426-2726,address,1
BELLEROSE            NY 11427     ,address,1
BELLEROSE MANOR      NY 11427-2635,address,1
BELLEVUE             WA 98004-8454,address,1
BELLEVUE             WA 98006-5115,address,1
