value,label,count
1 BURNS AVENUE,address,640
1 MAPLE STREET,address,372
1 VIRGINIA LANE,address,640
1-07 SCHWAB RD,address,150
10  ALEXANDER DRIVE,address,640
10 BEACH STREET,address,640
10 CABOT RD SUITE 300,address,324
10 MALLOW STREET,address,640
10 POWERHOUSE ROAD,address,471
10-40 BORDEN AVENUE,address,640
100 BRIGHTON STREET,address,600
100 PEARL STREET,address,640
100 RICHARD STREET,address,541
100 SIGNAL HILL ROAD,address,80
100 SOUTH BRIDGE ST,address,68
100-02 ATLANTIC AVE,address,229
100-35 ATLANTIC AVENUE,address,640
10009 GLENWOOD ROAD,address,132
10033-,address,42
1004 Clinton St,address,640
101 12 AVENUE K,address,640
101 53RD STREET,address,623
101 BALDWIN RD,address,412
101 BAY 37TH STREET APT. #1,address,640
101-31  75TH ROAD,address,299
102 EAST FIGUREA  AVE,address,640
102 S HILLSIDE AVENUE,address,363
102-15 103RD AVE,address,640
1021 61ST STREET,address,93
10219 86Th Rd,address,87
1022 43RD STREET,address,640
10251 189TH STREET,address,441
10251 189th Street,address,199
1029 GARRY TERRACE,address,640
1029 MCDONALD AVENUE,address,640
103 KEAN STREET,address,640
103 ST. ANDREWS RD.,address,302
103-15 99TH STREET,address,640
103-22 101 STREET,address,259
1030 LAURA STREET APT. A,address,268
1030 WYCOFF AVENUE,address,533
1036 HUGUENOT AVENUE,address,512
1037 61 STREET,address,640
104 S. MIDLAND AVENUE,address,640
104-20 QUEENS BLVD APT 10-U,address,244
1045 Richford Ter,address,640
10460,address,93
1049 MARY ST.,address,579
105 AVENUE X #4F,address,414
105 WYANDANCH AVENUE,address,51
105-43 FARMERS BLVD,address,640
1050 ROCKAWAY AVENUE,address,640
1053 ARNOW AVENUE,address,396
106 ELMWOOD DRIVE,address,640
10624 50TH AVE APT 1,address,435
107 ORCHID STREET,address,640
107 RAYMOND PLACE,address,276
107-22 117 STREET,address,640
107-28 156TH STREET,address,640
107-31 135TH STREET,address,640
107-35 76TH STREET,address,640
107-38 UNION HALL STREET,address,640
107-47 139TH STREET,address,298
