value,label,count
47 American Sign Language And English Lower School (The),school_name,1
51st Avenue Academy (The Path To Academic Excellence),school_name,1
A Philip Randolph Campus High School,school_name,1
Abraham Lincoln High School,school_name,1
Acad For College Prep & Career Exploration: A College Board Sch,school_name,1
Academy For Careers In Television And Film,school_name,1
Academy For Conservation And The Environment,school_name,1
Academy For Environmental Leadership,school_name,1
Academy For Excellence Through The Arts (The),school_name,1
Academy For Health Careers,school_name,1
Academy For Language And Technology,school_name,1
Academy For New Americans,school_name,1
Academy For Personal Leadership And Excellence,school_name,1
Academy For Scholarship And Entreneurship,school_name,1
Academy For Social Action-A College Board School,school_name,1
Academy For Young Writers,school_name,1
Academy Of American Studies,school_name,1
Academy Of Applied Mathematics And Technology,school_name,1
Academy Of Business And Community Development,school_name,1
Academy Of Collaborative Education,school_name,1
Academy Of Environmental Science Secondary High School,school_name,1
Academy Of Finance And Enterprise,school_name,1
Academy Of Hospitality And Tourism,school_name,1
Academy Of Innovative Technology,school_name,1
Academy Of Public Relations,school_name,1
Academy Of The Arts (The),school_name,1
Academy Of Urban Planning,school_name,1
Acadey Of Medical Technology - A College Board School,school_name,1
Accion Academy,school_name,1
Acorn Community High School,school_name,1
Active Learning Elementary School (The),school_name,1
Agnes Y Humphrey School For Leadership,school_name,1
Albert Shanker School For Visual And Performing Arts,school_name,1
Alfred E Smith Career And Technical High School,school_name,1
All City Leadership Secondary School,school_name,1
American Sign Language & English Secondary School,school_name,1
Amistad Dual Language School,school_name,1
Ampark Neighborhood,school_name,1
Andries Hudde School,school_name,1
Angelo Patri Middle School (The),school_name,1
Antonia Pantoja Preperatory Academy,school_name,1
"Archimedes Academy For Math, Science And Technology Applications",school_name,1
Art And Design High School,school_name,1
Arts And Media Preparatory Academy,school_name,1
Arturo Schomburg Satellite Academy-Bronx,school_name,1
Aspirations Diploma Plus High School,school_name,1
Aspire Preparatory Middle School,school_name,1
Astor Collegiate Academy,school_name,1
August Martin High School,school_name,1
Automotive High School,school_name,1
Aviation Career And Technical High School,school_name,1
Baccalaureate School For Global Education,school_name,1
Ballet Tech/Nyc Ps For Dance,school_name,1
Banana Kelly High School,school_name,1
Bard High School Early College,school_name,1
Bard High School Early College Queens,school_name,1
Baruch College Campus High School,school_name,1
Battery Park City School,school_name,1
Bayard Rustin Educational Complex,school_name,1
Baychester Academy,school_name,1
Bayside High School,school_name,1
Beach Channel High School,school_name,1
Beacon High School,school_name,1
Bedford Academy High School,school_name,1
Bedford Stuyvesant Prepretory High School,school_name,1
Bell Academy,school_name,1
Bellaire School (The),school_name,1
Belmont Preperatory High School,school_name,1
Benjamin Banneker Academy,school_name,1
Benjamin N Cardozo High School,school_name,1
Bilingual Bicultural School (The),school_name,1
Boys And Girls High School,school_name,1
Bread & Roses Integrated Arts High School,school_name,1
Brighter Choice Community School,school_name,1
Bronx Academy High School,school_name,1
Bronx Academy Of Health Careers,school_name,1
Bronx Aerospace High School,school_name,1
Bronx Bridges High School,school_name,1
Bronx Career And College Preparatory High School,school_name,1
Bronx Center For Science And Mathematics,school_name,1
Bronx Coalition Community High School,school_name,1
Bronx Collelgiate Academy,school_name,1
Bronx Community High School,school_name,1
Bronx Dance Academy School,school_name,1
Bronx Early College Academy For Teaching And Learning,school_name,1
Bronx Engineering And Technology Academy,school_name,1
Bronx Green Middle School,school_name,1
Bronx Guild High School,school_name,1
Bronx Haven High School,school_name,1
Bronx Health Sciences High School,school_name,1
Bronx High School For Medical Science,school_name,1
Bronx High School For The Visual Arts,school_name,1
Bronx High School For Writing And Communication Arts,school_name,1
Bronx High School Of Business,school_name,1
Bronx High School Of Science,school_name,1
Bronx High School-Law And Community Services,school_name,1
Bronx International High School,school_name,1
Bronx Lab School,school_name,1
Bronx Latin School,school_name,1
Bronx Leadership Academy High School,school_name,1
Bronx Leadership Academy Ii High School,school_name,1
Bronx Little School,school_name,1
Bronx Mathematics Preparatory School (The),school_name,1
Bronx Regional High School,school_name,1
"Bronx School For Law, Government And Justice",school_name,1
Bronx School Of Law And Finance,school_name,1
Bronx School Of Science Inquiry & Investigation,school_name,1
Bronx Studio School For Writers And Artists,school_name,1
Bronx Theatre High School,school_name,1
