value,label,count
"(40.51501, -74.245309)",lat_lon_cord,1
"(40.525896, -74.20127)",lat_lon_cord,1
"(40.52736, -74.230231)",lat_lon_cord,1
"(40.530767, -74.218365)",lat_lon_cord,1
"(40.534473, -74.149614)",lat_lon_cord,1
"(40.538281, -74.239753)",lat_lon_cord,1
"(40.539508, -74.151222)",lat_lon_cord,1
"(40.539626, -74.217667)",lat_lon_cord,1
"(40.540113, -74.177218)",lat_lon_cord,1
"(40.541561, -74.14945)",lat_lon_cord,1
"(40.541757, -74.16278)",lat_lon_cord,1
"(40.543949, -74.164934)",lat_lon_cord,1
"(40.544169, -74.165201)",lat_lon_cord,1
"(40.545097, -74.161029)",lat_lon_cord,1
"(40.545964, -74.177554)",lat_lon_cord,1
"(40.548529, -74.217214)",lat_lon_cord,1
"(40.549661, -74.165462)",lat_lon_cord,1
"(40.549711, -74.151062)",lat_lon_cord,1
"(40.55027, -74.163701)",lat_lon_cord,1
"(40.551072, -74.201112)",lat_lon_cord,1
"(40.551554, -74.152103)",lat_lon_cord,1
"(40.55456, -74.131817)",lat_lon_cord,1
"(40.557509, -73.92837)",lat_lon_cord,1
"(40.558189, -74.15979)",lat_lon_cord,1
"(40.558416, -74.1619)",lat_lon_cord,1
"(40.559348, -74.17778)",lat_lon_cord,1
"(40.560568, -74.10579)",lat_lon_cord,1
"(40.56079, -74.173642)",lat_lon_cord,1
"(40.566619, -74.115673)",lat_lon_cord,1
"(40.566964, -73.892169)",lat_lon_cord,1
"(40.567049, -73.886511)",lat_lon_cord,1
"(40.568169, -74.126117)",lat_lon_cord,1
"(40.569217, -74.111009)",lat_lon_cord,1
"(40.570308, -74.109909)",lat_lon_cord,1
"(40.571105, -74.147637)",lat_lon_cord,1
"(40.571237, -74.111171)",lat_lon_cord,1
"(40.571597, -74.091806)",lat_lon_cord,1
"(40.572549, -74.169957)",lat_lon_cord,1
"(40.573488, -74.116955)",lat_lon_cord,1
"(40.574337, -74.107446)",lat_lon_cord,1
"(40.574521, -74.104085)",lat_lon_cord,1
"(40.574715, -74.105471)",lat_lon_cord,1
"(40.574728, -74.105485)",lat_lon_cord,1
"(40.575041, -73.952531)",lat_lon_cord,1
"(40.57507, -73.985878)",lat_lon_cord,1
"(40.575474, -74.083543)",lat_lon_cord,1
"(40.576165, -73.845034)",lat_lon_cord,1
"(40.576467, -74.162851)",lat_lon_cord,1
"(40.576646, -74.094541)",lat_lon_cord,1
"(40.577192, -74.000572)",lat_lon_cord,1
"(40.577422, -73.955031)",lat_lon_cord,1
"(40.577438, -74.161431)",lat_lon_cord,1
"(40.577446, -73.839872)",lat_lon_cord,1
"(40.57781, -73.956255)",lat_lon_cord,1
"(40.578497, -73.9349)",lat_lon_cord,1
"(40.578557, -74.169595)",lat_lon_cord,1
"(40.578681, -73.946484)",lat_lon_cord,1
"(40.57869, -73.987501)",lat_lon_cord,1
"(40.57914, -73.972054)",lat_lon_cord,1
"(40.579818, -73.971942)",lat_lon_cord,1
"(40.580607, -73.837672)",lat_lon_cord,1
"(40.580701, -73.837704)",lat_lon_cord,1
"(40.581055, -73.846167)",lat_lon_cord,1
"(40.581973, -73.822206)",lat_lon_cord,1
"(40.582708, -73.98624)",lat_lon_cord,1
"(40.583358, -74.095789)",lat_lon_cord,1
"(40.583455, -73.986467)",lat_lon_cord,1
"(40.583483, -73.950159)",lat_lon_cord,1
"(40.583862, -73.817161)",lat_lon_cord,1
"(40.584654, -73.823431)",lat_lon_cord,1
"(40.585491, -73.951591)",lat_lon_cord,1
"(40.585598, -73.960498)",lat_lon_cord,1
"(40.586175, -73.988137)",lat_lon_cord,1
"(40.586254, -74.092348)",lat_lon_cord,1
"(40.586458, -73.809723)",lat_lon_cord,1
"(40.586738, -73.990708)",lat_lon_cord,1
"(40.586832, -74.168338)",lat_lon_cord,1
"(40.586914, -73.942913)",lat_lon_cord,1
"(40.587169, -73.961689)",lat_lon_cord,1
"(40.587292, -73.81322)",lat_lon_cord,1
"(40.587855, -73.955395)",lat_lon_cord,1
"(40.587879, -73.960385)",lat_lon_cord,1
"(40.58868, -73.967466)",lat_lon_cord,1
"(40.588764, -73.81713)",lat_lon_cord,1
"(40.588946, -74.089947)",lat_lon_cord,1
"(40.588961, -73.962404)",lat_lon_cord,1
"(40.589359, -73.985364)",lat_lon_cord,1
"(40.589874, -73.810981)",lat_lon_cord,1
"(40.589877, -73.807675)",lat_lon_cord,1
"(40.589877, -73.807693)",lat_lon_cord,1
"(40.589878, -73.989627)",lat_lon_cord,1
"(40.59004, -73.985868)",lat_lon_cord,1
"(40.59013, -74.101844)",lat_lon_cord,1
"(40.590621, -73.969615)",lat_lon_cord,1
"(40.591023, -73.949837)",lat_lon_cord,1
"(40.59126, -73.940108)",lat_lon_cord,1
"(40.59132, -73.994509)",lat_lon_cord,1
"(40.591371, -73.937271)",lat_lon_cord,1
"(40.591783, -73.971872)",lat_lon_cord,1
"(40.592332, -73.973712)",lat_lon_cord,1
"(40.592455, -74.163383)",lat_lon_cord,1
"(40.592698, -73.924988)",lat_lon_cord,1
"(40.592803, -74.072931)",lat_lon_cord,1
"(40.592991, -73.996162)",lat_lon_cord,1
"(40.593219, -73.787088)",lat_lon_cord,1
"(40.593283, -73.787095)",lat_lon_cord,1
"(40.593336, -73.789053)",lat_lon_cord,1
"(40.594059, -73.976034)",lat_lon_cord,1
"(40.594089, -73.949338)",lat_lon_cord,1
"(40.594208, -74.092471)",lat_lon_cord,1
"(40.594401, -73.981359)",lat_lon_cord,1
"(40.594983, -73.763677)",lat_lon_cord,1
"(40.595166, -73.770471)",lat_lon_cord,1
"(40.595508, -73.999816)",lat_lon_cord,1
"(40.595548, -73.781852)",lat_lon_cord,1
"(40.595578, -73.73961)",lat_lon_cord,1
"(40.595771, -73.99179)",lat_lon_cord,1
"(40.595942, -73.991617)",lat_lon_cord,1
"(40.596644, -73.792694)",lat_lon_cord,1
"(40.596928, -73.76887)",lat_lon_cord,1
"(40.596991, -73.749057)",lat_lon_cord,1
"(40.597135, -73.971744)",lat_lon_cord,1
"(40.597634, -73.786245)",lat_lon_cord,1
"(40.597676, -73.785316)",lat_lon_cord,1
"(40.597916, -74.162449)",lat_lon_cord,1
"(40.598209, -73.799113)",lat_lon_cord,1
"(40.59841, -73.94443)",lat_lon_cord,1
"(40.598436, -74.091972)",lat_lon_cord,1
"(40.598462, -73.754255)",lat_lon_cord,1
"(40.598817, -73.94157)",lat_lon_cord,1
"(40.598966, -73.955294)",lat_lon_cord,1
"(40.599065, -73.747407)",lat_lon_cord,1
"(40.59907, -73.947443)",lat_lon_cord,1
"(40.599119, -73.760915)",lat_lon_cord,1
"(40.599189, -73.974123)",lat_lon_cord,1
