value,label,count
1 Albemarle Road,address,1
1 Jamaica Center Plaza,address,1
1 Peck Slip,address,2
1 Teleport Drive,address,1
1 West 112 Street,address,1
1-55 Borden Avenue,address,1
10 Bouck Court,address,1
10 Gregg Place,address,1
10 Kingsley Place,address,1
10 Reade Street,address,1
10-26 41 Avenue,address,1
10-30 Neilson Street,address,1
100 Aldrich Street,address,1
100 Attorney Street,address,1
100 Clermont Avenue,address,1
100 East Mount Eden Avenue,address,1
100 Erskine Place,address,1
100 Irving Avenue,address,1
100 Jerome Avenue,address,1
100 Noll Street,address,1
100 Tompkins Avenue,address,1
100 West 84 Street,address,1
100-02 Rockaway Blvd,address,1
100-05 39 Avenue,address,1
100-05 Springfield Boulevard,address,1
100-09 39 Avenue,address,1
100-10 Astoria Boulevard,address,1
1000 East Tremont Avenue,address,1
1000 Richmond Terrace,address,1
10003 39 Avenue,address,1
1001 Broadway,address,1
1001 East 45 Street,address,1
1001 Herkimer Street,address,1
1001 Jennings Street,address,1
1002 65 Street,address,1
101 Fleet Place,address,1
101 Maujer Street,address,1
101-24 Seaview Avenue,address,1
101-33 124 Street,address,1
101-60 92 Street,address,1
1014 Lafayette Avenue,address,1
10145 113 Street,address,1
1018 Avenue Y,address,1
1018 Banner Avenue,address,1
1019 46 Street,address,1
1019 Church Avenue,address,1
1020 Anderson Avenue,address,1
1020 Summit Avenue,address,1
1021 45 Street,address,1
1023 New York Avenue,address,1
10235 63 Road,address,1
1025 Eastern Parkway,address,1
1027 Walton Avenue,address,1
1028 White Plains Road,address,1
103-02 101 Avenue,address,1
103-22 99 Street,address,1
1037 East 54 Street,address,1
104 Sutter Avenue,address,1
104 West End Avenue,address,1
104-04 Corona Avenue,address,1
104-06 101 Avenue,address,1
104-12 Springfield Boulevard,address,1
104-14 Roosevelt Avenue,address,1
104-18 134 Street,address,1
104-19 39 Avenue,address,1
104-19 49 Avenue,address,1
104-21 39 Avenue,address,1
104-40 134 Street,address,1
104-70 Queens Boulevard,address,1
105 Kings Highway,address,1
105 Willis Avenue,address,1
1050 Targee Street,address,1
1054 Intervale Avenue,address,1
1055 Targee Street,address,1
106-02 Northern Boulevard,address,1
106-06 Queens Boulevard,address,1
1060 Clarkson Avenue,address,1
1060 Willowbrook Road,address,1
1065 Beach Avenue,address,1
107-17 Northern Boulevard,address,1
107-25 Wren Place,address,1
1070 Castle Hill Avenue,address,1
1070 East 104 Street,address,1
1070 East 83 Street,address,1
10701 Crossbay Boulevard,address,1
1075 Ocean View Avenue,address,1
1075 Pugsley Avenue,address,1
1077 Remsen Avenue,address,1
108 Avenue D,address,1
108 Montrose Avenue,address,1
108 Pine Street,address,1
