value,label,count
2122180406,phone_number,1
2122192286,phone_number,1
2122208251,phone_number,1
2122225161,phone_number,1
2122265001,phone_number,1
2122268072,phone_number,1
2122268410,phone_number,1
2122284433,phone_number,1
2122285220,phone_number,1
2122288240,phone_number,1
2122288730,phone_number,1
2122341036,phone_number,1
2122341870,phone_number,1
2122343333,phone_number,1
2122348135,phone_number,1
2122446426,phone_number,1
2122470208,phone_number,1
2122516640,phone_number,1
2122543070,phone_number,1
2122543100,phone_number,1
2122549577,phone_number,1
2122596222,phone_number,1
2122664800,phone_number,1
2122665800,phone_number,1
2122674133,phone_number,1
2122811444,phone_number,1
2122811959,phone_number,1
2122818395,phone_number,1
2122819555,phone_number,1
2122830012,phone_number,1
2122830426,phone_number,1
2122893249,phone_number,1
2122893702,phone_number,1
2123043320,phone_number,1
2123126260,phone_number,1
2123157160,phone_number,1
2123168080,phone_number,1
2123266609,phone_number,1
2123343301,phone_number,1
2123426200,phone_number,1
2123439630,phone_number,1
2123482518,phone_number,2
2123525575,phone_number,1
2123532532,phone_number,1
2123601519,phone_number,1
2123686666,phone_number,1
2123693577,phone_number,1
2123695313,phone_number,1
2123870195,phone_number,1
2124000553,phone_number,1
2124101060,phone_number,1
2124102077,phone_number,1
2124200510,phone_number,1
2124213966,phone_number,1
2124226310,phone_number,8
2124272571,phone_number,1
2124273000,phone_number,1
2124276800,phone_number,1
2124277644,phone_number,1
2124279010,phone_number,1
2124313845,phone_number,1
2124534584,phone_number,1
2124751529,phone_number,1
2124755500,phone_number,1
2124771735,phone_number,1
2124916636,phone_number,1
2124918501,phone_number,1
2125137367,phone_number,1
2125312727,phone_number,1
2125335340,phone_number,1
2125339138,phone_number,1
2125340619,phone_number,1
2125345249,phone_number,1
2125347490,phone_number,1
2125440221,phone_number,1
2125673190,phone_number,1
2125675456,phone_number,1
2125675655,phone_number,1
2125675787,phone_number,1
2125675800,phone_number,1
2125678109,phone_number,1
2125715659,phone_number,1
2125827420,phone_number,1
2125930750,phone_number,1
2125955200,phone_number,2
2125983800,phone_number,1
2126029700,phone_number,1
2126149531,phone_number,1
2126251828,phone_number,1
2126259228,phone_number,1
2126309645,phone_number,1
2126310543,phone_number,1
2126629344,phone_number,1
2126631205,phone_number,1
2126634067,phone_number,1
2126634070,phone_number,1
2126637375,phone_number,1
2126651600,phone_number,1
2126654631,phone_number,1
2126657586,phone_number,1
2126661683,phone_number,1
