value,label,count
"(40.508752, -74.235752)",lat_lon_cord,1
"(40.512, -74.249725)",lat_lon_cord,1
"(40.524033, -74.214717)",lat_lon_cord,1
"(40.526029, -74.202288)",lat_lon_cord,1
"(40.528092, -74.192032)",lat_lon_cord,1
"(40.536046, -74.193861)",lat_lon_cord,1
"(40.540902, -74.212116)",lat_lon_cord,1
"(40.541715, -74.202782)",lat_lon_cord,1
"(40.542272, -74.202758)",lat_lon_cord,1
"(40.542276, -74.171859)",lat_lon_cord,1
"(40.542548, -74.203641)",lat_lon_cord,1
"(40.543083, -74.182299)",lat_lon_cord,1
"(40.55663, -73.912019)",lat_lon_cord,1
"(40.560038, -73.914069)",lat_lon_cord,1
"(40.560195, -74.165453)",lat_lon_cord,1
"(40.566994, -74.113237)",lat_lon_cord,1
"(40.568183, -74.123475)",lat_lon_cord,1
"(40.571564, -74.091748)",lat_lon_cord,1
"(40.57262, -73.979821)",lat_lon_cord,1
"(40.572864, -73.995126)",lat_lon_cord,1
"(40.572866, -73.995101)",lat_lon_cord,1
"(40.573169, -73.97981)",lat_lon_cord,1
"(40.573177, -74.002509)",lat_lon_cord,1
"(40.573411, -73.980854)",lat_lon_cord,1
"(40.573912, -74.106308)",lat_lon_cord,1
"(40.574208, -73.988953)",lat_lon_cord,1
"(40.574233, -73.98887)",lat_lon_cord,1
"(40.5743, -74.105888)",lat_lon_cord,1
"(40.574719, -74.002109)",lat_lon_cord,1
"(40.574777, -74.002833)",lat_lon_cord,1
"(40.575057, -73.99888)",lat_lon_cord,1
"(40.575104, -73.860324)",lat_lon_cord,1
"(40.575157, -74.118567)",lat_lon_cord,1
"(40.575272, -74.122329)",lat_lon_cord,1
"(40.575298, -73.996703)",lat_lon_cord,1
"(40.57542, -73.966623)",lat_lon_cord,1
"(40.575444, -73.995544)",lat_lon_cord,1
"(40.575483, -73.978481)",lat_lon_cord,1
"(40.575542, -73.994676)",lat_lon_cord,1
"(40.575666, -73.993448)",lat_lon_cord,1
"(40.575677, -73.993495)",lat_lon_cord,1
"(40.575796, -74.127283)",lat_lon_cord,1
"(40.575864, -74.124994)",lat_lon_cord,1
"(40.575877, -73.991505)",lat_lon_cord,1
"(40.57588, -73.99149)",lat_lon_cord,1
"(40.575883, -73.991458)",lat_lon_cord,1
"(40.575888, -73.991415)",lat_lon_cord,1
"(40.575965, -74.104245)",lat_lon_cord,1
"(40.576116, -73.989345)",lat_lon_cord,1
"(40.576127, -73.98923)",lat_lon_cord,1
"(40.576215, -73.976522)",lat_lon_cord,1
"(40.576225, -73.988326)",lat_lon_cord,1
"(40.576239, -73.988218)",lat_lon_cord,1
"(40.576267, -73.988117)",lat_lon_cord,1
"(40.576281, -73.965007)",lat_lon_cord,1
"(40.576337, -73.96766)",lat_lon_cord,1
"(40.576474, -74.127116)",lat_lon_cord,1
"(40.576478, -73.986065)",lat_lon_cord,1
"(40.57648, -73.986018)",lat_lon_cord,1
"(40.57659, -73.985036)",lat_lon_cord,1
"(40.576703, -73.984006)",lat_lon_cord,1
"(40.576735, -73.983873)",lat_lon_cord,1
"(40.576809, -73.983038)",lat_lon_cord,1
"(40.576812, -73.983005)",lat_lon_cord,1
"(40.576818, -73.982944)",lat_lon_cord,1
"(40.576829, -73.983009)",lat_lon_cord,1
"(40.576842, -73.98289)",lat_lon_cord,1
"(40.577258, -73.963116)",lat_lon_cord,1
"(40.577265, -73.952943)",lat_lon_cord,1
"(40.577597, -73.984967)",lat_lon_cord,1
"(40.577633, -73.982811)",lat_lon_cord,1
"(40.577644, -73.961244)",lat_lon_cord,1
"(40.577733, -73.995983)",lat_lon_cord,1
"(40.577798, -73.984985)",lat_lon_cord,1
"(40.577839, -73.960427)",lat_lon_cord,1
"(40.577894, -73.987174)",lat_lon_cord,1
"(40.578091, -73.982897)",lat_lon_cord,1
"(40.578193, -73.982893)",lat_lon_cord,1
"(40.578265, -73.849309)",lat_lon_cord,1
"(40.578273, -73.955675)",lat_lon_cord,1
"(40.578331, -73.990676)",lat_lon_cord,1
"(40.578342, -73.990712)",lat_lon_cord,1
"(40.578423, -73.981821)",lat_lon_cord,1
"(40.578423, -73.982937)",lat_lon_cord,1
"(40.578468, -73.989614)",lat_lon_cord,1
"(40.578556, -73.962784)",lat_lon_cord,1
"(40.578569, -73.960858)",lat_lon_cord,1
"(40.578646, -73.961834)",lat_lon_cord,1
"(40.578662, -73.960383)",lat_lon_cord,1
"(40.578722, -73.959681)",lat_lon_cord,1
"(40.579033, -73.984402)",lat_lon_cord,1
"(40.579044, -73.984312)",lat_lon_cord,1
"(40.579074, -73.836765)",lat_lon_cord,1
"(40.579076, -73.958327)",lat_lon_cord,1
"(40.579176, -73.836822)",lat_lon_cord,1
"(40.579184, -73.982191)",lat_lon_cord,1
"(40.579186, -73.982144)",lat_lon_cord,1
"(40.579279, -73.981021)",lat_lon_cord,1
"(40.579715, -73.957873)",lat_lon_cord,1
"(40.579752, -73.983188)",lat_lon_cord,1
"(40.579789, -73.956498)",lat_lon_cord,1
"(40.579802, -73.971942)",lat_lon_cord,1
"(40.579905, -73.957736)",lat_lon_cord,1
"(40.579965, -74.10864)",lat_lon_cord,1
"(40.580068, -73.98434)",lat_lon_cord,1
"(40.580104, -73.938005)",lat_lon_cord,1
"(40.580161, -73.984383)",lat_lon_cord,1
"(40.580166, -73.983267)",lat_lon_cord,1
"(40.580178, -73.98555)",lat_lon_cord,1
"(40.580216, -73.9833)",lat_lon_cord,1
"(40.580413, -74.0995)",lat_lon_cord,1
"(40.580606, -73.98447)",lat_lon_cord,1
"(40.580672, -73.984462)",lat_lon_cord,1
"(40.580724, -73.983372)",lat_lon_cord,1
"(40.580742, -73.837751)",lat_lon_cord,1
"(40.580787, -73.983408)",lat_lon_cord,1
"(40.580853, -73.962657)",lat_lon_cord,1
"(40.580946, -73.983436)",lat_lon_cord,1
"(40.580965, -73.983418)",lat_lon_cord,1
"(40.581118, -73.959892)",lat_lon_cord,1
"(40.581168, -73.983479)",lat_lon_cord,1
"(40.581199, -73.963568)",lat_lon_cord,1
"(40.581201, -73.983487)",lat_lon_cord,1
"(40.581208, -73.963517)",lat_lon_cord,1
"(40.581443, -73.962415)",lat_lon_cord,1
"(40.58152, -73.983523)",lat_lon_cord,1
"(40.581579, -74.111638)",lat_lon_cord,1
"(40.581583, -73.953786)",lat_lon_cord,1
"(40.581599, -73.961591)",lat_lon_cord,1
"(40.581713, -73.956464)",lat_lon_cord,1
"(40.581779, -73.849549)",lat_lon_cord,1
"(40.581789, -73.960788)",lat_lon_cord,1
"(40.582084, -73.959391)",lat_lon_cord,1
"(40.582151, -73.961119)",lat_lon_cord,1
"(40.582221, -73.958747)",lat_lon_cord,1
"(40.582441, -73.957616)",lat_lon_cord,1
"(40.582603, -73.835554)",lat_lon_cord,1
"(40.583694, -73.948042)",lat_lon_cord,1
"(40.583726, -73.947193)",lat_lon_cord,1
"(40.583745, -73.821366)",lat_lon_cord,1
"(40.584044, -73.934858)",lat_lon_cord,1
"(40.584049, -73.934747)",lat_lon_cord,1
"(40.584169, -73.820472)",lat_lon_cord,1
"(40.584319, -73.952737)",lat_lon_cord,1
"(40.585209, -73.818273)",lat_lon_cord,1
"(40.585214, -73.818263)",lat_lon_cord,1
"(40.585563, -73.953855)",lat_lon_cord,1
"(40.585749, -73.953686)",lat_lon_cord,1
"(40.585787, -73.951781)",lat_lon_cord,1
"(40.585891, -73.94399)",lat_lon_cord,1
"(40.585963, -73.951709)",lat_lon_cord,1
"(40.586222, -73.954953)",lat_lon_cord,1
"(40.586316, -73.815808)",lat_lon_cord,1
"(40.586377, -73.815617)",lat_lon_cord,1
"(40.586384, -73.954982)",lat_lon_cord,1
"(40.586552, -73.966168)",lat_lon_cord,1
"(40.586606, -73.955021)",lat_lon_cord,1
"(40.586613, -74.163952)",lat_lon_cord,1
"(40.586729, -73.814791)",lat_lon_cord,1
"(40.586782, -73.971417)",lat_lon_cord,1
"(40.586979, -73.814805)",lat_lon_cord,1
"(40.587011, -73.814013)",lat_lon_cord,1
"(40.587217, -73.959345)",lat_lon_cord,1
"(40.587227, -73.955154)",lat_lon_cord,1
"(40.587254, -73.95362)",lat_lon_cord,1
"(40.58726, -73.973699)",lat_lon_cord,1
"(40.587276, -73.953757)",lat_lon_cord,1
"(40.587278, -73.819539)",lat_lon_cord,1
