value,label,count
115th Street Playground,school_name,1
Alley Pond Park,school_name,1
Alternative Superintendency,school_name,1
Arthur Von Briesen Park,school_name,1
Augustus Saint Gaudens,school_name,1
Bailey Playground,school_name,1
Battery Park,school_name,1
Beach - Brighton and Coney Island,school_name,1
Beach - Midland and South Beach,school_name,1
Beach - Rockaway,school_name,1
Bloomingdale Park,school_name,1
Breininger Park,school_name,1
Bronx River Park,school_name,1
Carlton Park,school_name,1
Central Park,school_name,1
Central Park - East 96th Street Playground,school_name,1
Central Park - Wild West Playground,school_name,1
Closed School - Academy for Careers in Sports High School,school_name,1
Closed School - Academy for Performing Art,school_name,1
Closed School - Borough Academies,school_name,1
Closed School - Borough Academy,school_name,1
Closed School - Bronx,school_name,1
Closed School - Bronx Literacy Center,school_name,1
Closed School - Brooklyn Literacy Center,school_name,1
Closed School - Bushwick High School,school_name,1
Closed School - Community School at MS 142 MS 82,school_name,1
Closed School - Early Childhood Center,school_name,1
Closed School - Eight Plus Academy,school_name,1
Closed School - Erasmus Campus - Business and Technology,school_name,1
Closed School - Erasmus Campus - Humanities,school_name,1
Closed School - Evander Childs High School,school_name,1
Closed School - Foundations Academy,school_name,1
Closed School - George W Wingate High School,school_name,1
Closed School - George Washington High School,school_name,1
Closed School - Harbor School International Studies Middle School,school_name,1
Closed School - High School Program for Documentary and Media Studies,school_name,1
Closed School - High School of Redirection,school_name,1
Closed School - IS 116 Rafael Hernandez,school_name,1
Closed School - IS 158 Theodore Gathings,school_name,1
Closed School - IS 174 Eugene T Maleska,school_name,1
Closed School - IS 183 Paul Robeson,school_name,1
Closed School - IS 184 Rafael C Y Molina,school_name,1
Closed School - IS 192 Piagentini-Jones,school_name,1
Closed School - IS 232 The Winthrop,school_name,1
Closed School - IS 252 Arthur S Somers,school_name,1
Closed School - IS 252 McBurney,school_name,1
Closed School - IS 271 John M Coleman,school_name,1
Closed School - IS 275,school_name,1
Closed School - IS 275 Thelma J Hamilton,school_name,1
Closed School - IS 280 Brooklyn Studio School,school_name,1
Closed School - IS 391 Mahalia Jackson,school_name,1
Closed School - IS 55 Ocean Hill Brownsville,school_name,1
Closed School - IS 90 Mirabel Sisters,school_name,1
Closed School - Ida B Wells,school_name,1
Closed School - JHS 113 Richard R Green,school_name,1
Closed School - JHS 117 Francis Scott Key,school_name,1
Closed School - JHS 135 Frank D Whalen,school_name,1
Closed School - JHS 139 Alexander Burger,school_name,1
Closed School - JHS 142,school_name,1
Closed School - JHS 143 John Peter Tetard,school_name,1
Closed School - JHS 164 Edward W Stitt,school_name,1
Closed School - JHS 168 Parsons,school_name,1
Closed School - JHS 17 La Salle,school_name,1
Closed School - JHS 198 Benjamin N Cardozo,school_name,1
Closed School - JHS 258 David Ruggles,school_name,1
Closed School - JHS 33 Mark Hopkins,school_name,1
Closed School - JHS 49 William J Gaynor,school_name,1
Closed School - JHS 56 Corlears,school_name,1
Closed School - JHS 88 Wadleigh,school_name,1
Closed School - JHS 99,school_name,1
Closed School - John Jay High School,school_name,1
Closed School - MS 143 Performing and Fine Arts,school_name,1
Closed School - MS 180 Gerald R Dever Middle School,school_name,1
Closed School - MS 201,school_name,1
Closed School - MS 244 Columbus Middle School,school_name,1
Closed School - MS 320 Jackie Robinson,school_name,1
Closed School - MS 390 Maggie L Walker,school_name,1
Closed School - MS 823 MDE Dios Unanae Journal,school_name,1
Closed School - Manhattan Academy of Technology,school_name,1
Closed School - Martin Luther King High School,school_name,1
Closed School - McKinney High School,school_name,1
Closed School - Morris High School,school_name,1
Closed School - New Horizons School,school_name,1
Closed School - New School for Arts and Science,school_name,1
Closed School - New Voices School Academy and Creative Excellence,school_name,1
Closed School - PS 156 Benjamin Banneker,school_name,1
Closed School - PS 162 M,school_name,1
Closed School - PS 183 Daniel Chappie James,school_name,1
Closed School - PS 220 Mott Haven Village School,school_name,1
Closed School - PS 234 Twin Parks,school_name,1
Closed School - PS 304 Casimir Pulaski,school_name,1
Closed School - PS 314 Luis Munoz Marin,school_name,1
Closed School - PS 39,school_name,1
Closed School - Park West High School,school_name,1
Closed School - Powell Middle School for Law and Social Justice,school_name,1
Closed School - Project Blend,school_name,1
Closed School - Queens Academy High School,school_name,1
Closed School - School for Law and Demo Leadership,school_name,1
Closed School - Seward Park High School,school_name,1
Closed School - South Bronx High School,school_name,1
Closed School - Springfield Gardens High School,school_name,1
Closed School - Theodore Roosevelt High School,school_name,1
Closed School - Thomas Jefferson High School,school_name,1
Closed School - Walton High School,school_name,1
Closed School - William Howard Taft High School,school_name,1
Clove Lakes Park,school_name,1
Cloves Lake Park - War Memorial Ice Skating Rink,school_name,1
College Point Park,school_name,1
Crotona Park - Hylan Park,school_name,1
Cunningham Park,school_name,1
Detective Keith L. Williams Pk,school_name,1
Doctor Gertrude B Kelly Playground,school_name,1
Dr Charles R Drew Memorial Park,school_name,1
Dugan Playground,school_name,1
Dyker Beach Park - Bay 8 Playground,school_name,1
East River Park,school_name,1
Ewen Park,school_name,1
Ferry Point Park,school_name,1
Fidler - Wyckoff House Park,school_name,1
Flushing Meadows and Corona Park,school_name,1
Flushing Meadows and Corona Park - Albert H. Mauro Playground,school_name,1
Fort Tryon Park,school_name,1
Fort Tryon Park - Anne Loftus Playground,school_name,1
Franz Sigel Park,school_name,1
Frederick Douglass Playground,school_name,1
Fresh Kills Park,school_name,1
Fulton Park,school_name,1
Geo Soilan Park - Battery Park City,school_name,1
Golf Course - Dyker Beach,school_name,1
Gorman Memorial Park,school_name,1
Greene Playground,school_name,1
Haffen Park,school_name,1
Harold Schneiderman Playground - PS 232,school_name,1
Henry Hudson Park,school_name,1
Highbridge Park,school_name,1
Highbridge Park - Adventure Playground,school_name,1
Highbridge Park - Sunken Playground,school_name,1
Inwood Hill Park,school_name,1
Inwood Hill Park - Dyckman Fields,school_name,1
Inwood Hill Park - Indian Road Playground,school_name,1
Jacob Joffe Fields,school_name,1
Jamaica Playground - PS 40,school_name,1
Joseph C Sauer Playground,school_name,1
Juniper Valley Park,school_name,1
Kaiser Park,school_name,1
Kissena Park,school_name,1
Lt Joseph Petrosino Park,school_name,1
Luna Park Playground,school_name,1
Macneil Park,school_name,1
Marine Park,school_name,1
Marine Park - Salt Marsh Nature Center,school_name,1
Maurice Park,school_name,1
Mckinley Park,school_name,1
Morningside Park,school_name,1
Morris Garden,school_name,1
Murray Hill Playground - PS 22,school_name,1
Murray Playground,school_name,1
Owl's Head Park 1,school_name,1
Pelham Bay Park,school_name,1
Pool - Lasker in Central Park,school_name,1
Prospect Park,school_name,1
Prospect Park - Litchfield Villa,school_name,1
Prospect Park - Middle Long Meadow,school_name,1
Prospect Park - Prospect Park West,school_name,1
Rainey Park - Bronx,school_name,1
Randalls Island Park,school_name,1
Recreation Center - Asser Levy,school_name,1
Recreation Center - Fifty-Nine West,school_name,1
Recreation Center - Hansborough,school_name,1
Recreation Center - Jackie Robinson,school_name,1
Recreation Center - Roy Wilkins,school_name,1
Red Hook Park,school_name,1
Rev J Polite Playground and Stebbins Playground,school_name,1
Riverdale Park,school_name,1
Riverside Park,school_name,1
Riverside Park - Baseball Fields,school_name,1
Riverside Park - Claremont Playground,school_name,1
Riverside Park - Dinosaur Playground,school_name,1
Riverside Park - Running Track and 78th St Ballfields,school_name,1
Riverside Park - Skate Park,school_name,1
Rudd Playground,school_name,1
Ruppert Park,school_name,1
Sara D Roosevelt Park,school_name,1
Sarsfield Playground,school_name,1
School - 47 The American Sign Language and English Secondary School,school_name,1
