value,label,count
1 Bulova Ave.,address,1
1 Caven Point Road,address,1
1 E 53 St.,address,1
1 East 57 St.,address,1
1 Eltinge St (opp 17 Hunter),address,1
1 Margaret Corbin Drive,address,1
1 N. End Ave,address,1
1 PARK AVE SO.,address,1
1 Pierrepont St. (Between Clinton and Court),address,1
1 Prospect Park West,address,1
1 Shore Acres Road,address,1
1 Tennis Place,address,1
1 Union Square West,address,1
1 University Place,address,1
1 W. 16 St.,address,1
1 West 16 st.,address,1
1 West 30th St.,address,1
1 Winant St,address,1
1 prospect park west and president street,address,1
1-43rd St.,address,1
1-50 50th Avenue,address,1
10 East 38 St.,address,1
10 East 38 Street,address,1
10 Henry Place,address,1
10 Jay Street,address,1
10 South Denton Avnue,address,1
10-01 50th Ave.,address,1
10-09 48 Ave.; Long Island City,address,1
10-09 48th Ave.; Long Island City,address,1
"10-64 Madison Avenue, between 80 and 81 Street",address,1
100 Church St,address,1
100 Church St.,address,1
100 Church St. (on Park Place side),address,1
100 Church Street,address,1
100 Jericho Turnpike,address,1
100 Maiden Lane,address,1
100 N.. 3rd St,address,1
"100 Prince Street,",address,1
100 West 94th Street,address,1
100 William Street,address,1
100-02 Farragut Road,address,1
100-05 Roosevelt Avenue,address,1
100-10 91st Avenue,address,1
100-104 5th Avenue,address,1
100-19 207 St.,address,1
100-26 67th Road,address,1
100-27 Francis Lewis Blvd.,address,1
100-35 Atlantic Ave.,address,1
100-35 Atlantic Avenue,address,1
100-47 210 Street,address,1
1000 2nd Ave.,address,1
1000 2nd Avenue,address,1
1000 Bedford Ave,address,1
1000 Stanley Ave,address,1
10002 Farragut Rd,address,1
1003 Brighton Beach Blvd,address,1
1004 Essex St,address,1
1008 Flatbush Avenue,address,1
101 1st Ave.,address,1
101 53rd street,address,1
101 Barker Street,address,1
101 Clark St. btwn. Monroe Pl & Henry St.,address,1
101 Classon Ave.,address,1
101 St. & 5th Ave.,address,1
101 St. & Madison Ave.,address,1
101 W 126th Street,address,1
101 W 57th St.,address,1
101-03 101 Ave.,address,1
101-04 Queens Blvd,address,1
101-10 queens blvd.,address,1
101-18 97 Ave.,address,1
101-31 75 Road,address,1
1010 Ocean Parkway,address,1
1011 Manhattan Avenue,address,1
1011 Richmond Road,address,1
10110 Queens Blvd,address,1
1012 127 St,address,1
1016 Edgegrove Ave,address,1
1017 6th Avenue,address,1
1017 East 218 st.,address,1
1019 Reads Lane,address,1
1019 SURF AVE,address,1
102 E & 105 E 22nd st.,address,1
102 E. 22 St.,address,1
102 St. and 5th,address,1
102 W. 134 St.,address,1
102-01 159 Drive,address,1
102-01 66th Road,address,1
102-21 Astoria Blvd.,address,1
102-55 Queens Blvd,address,1
1020 86th Street,address,1
10255 Queens Blvd,address,1
1026 2st Ave,address,1
103 & Roosevelt,address,1
103 N. 13 St.,address,1
103 Park Drive North,address,1
103 Smith St.,address,1
103 St.Marks Place,address,1
103-06 Farmers Blvd.,address,1
103-15 Queens Blvd,address,1
103-21 Rockaway Blvd.,address,1
103-247 Lafayette St,address,1
1031 3rd Avenue,address,1
1037 Nostrand Ave.,address,1
103rd & Amsterdam,address,1
104 Empire Blvd,address,1
104 Malone Avenue,address,1
"104 QUEENS BLVD, FOREST HILLS",address,1
104 Saratoga Ave.,address,1
104 West 14 Street,address,1
104-01 Queens Blvd,address,1
104-11 101St,address,1
104-14 Jamaica Avenue,address,1
104-14 Metropolitan Ave,address,1
104-15 Queens Blvd,address,1
104-18 202 St,address,1
104-21 89th ave,address,1
104-25 Queens Blvd.,address,1
104-25 Queens Blvd. (Walgreens/Taco Bell),address,1
1042 82nd Street,address,1
1045 Richmond Rd.,address,1
104th street Amsterdam,address,1
105 Bedford ave,address,1
105 E. 22nd St.,address,1
105 East 22nd,address,1
105 East 22nd St,address,1
105 East 22nd Street,address,1
105 Freeman Street,address,1
105 Thames St,address,1
105-05 liberty Ave.,address,1
1050 Woodycrest Ave,address,1
1051 Flatbush Avenue,address,1
1052 Bedford Avenue,address,1
10535 64th Road,address,1
1055 Bronx River Avenue,address,1
1055 Flushing Ave.,address,1
1056 Coney Island Avenue,address,1
105th Street between Broadway and West End,address,1
106 East Burnside Avenue,address,1
106 Evergreen Avneue,address,1
106 Liberty Street,address,1
106 Macdougal,address,1
106 W 73rd St,address,1
106-18 223 St.,address,1
106-20 157th Street,address,1
106-20 70 Ave.,address,1
106-40 Rockaway Beach Blvd,address,1
106-57 160th St.,address,1
1060 Amsterdam Ave.,address,1
1062 St. Johns Place,address,1
1064 Liberty Avenue,address,1
1067 Pacific Street,address,1
1068 Fulton St.; Lot: 573 Classon,address,1
107 GEORGIA AVENUE - SUITE B,address,1
107 Margaretta Court,address,1
107 W 122nd Street,address,1
107-02,address,1
107-07 Astoria Blvd.,address,1
107-09 86 Ave.,address,1
107-10 Sutter Ave.,address,1
107-16 130 St.,address,1
107-20 172nd St,address,1
"107-21  Metropolitan Ave., Forest Hills",address,1
107-31 Union Hall St,address,1
107-34 Liverpool,address,1
1070 Pacific Street,address,1
10709 71st Ave,address,1
1072 Bay St,address,1
10742 130Th St,address,1
108 E 38th St.,address,1
108 E 38th Street,address,1
108 East 38th Street,address,1
108 Junius St.,address,1
108 St & 62 Road,address,1
108 Wykoff Ave.,address,1
108 and 118 W 20 street,address,1
108-10 41st Avenue,address,1
"108-110, 128-130, 132 Crosby St",address,1
108-14 Supthin Blvd.,address,1
108-25 31st Drive,address,1
108-48 Union Hall St,address,1
108-54 Guy R Brewer blvd.,address,1
108-56 Roosevelt Ave.,address,1
10826 Guybrewer Blvd,address,1
1087 Utica Avenue,address,1
1089 Southern Blvd,address,1
109 Lafayette St,address,1
109 West 45 Street,address,1
109 West 45th street,address,1
109-04 95 Ave (109 St),address,1
109-08 225 St.,address,1
109-09 15 AVE,address,1
109-15 Queens Boulevard,address,1
109-24 213 St.,address,1
"109-25 11th Street,",address,1
109-28 196 St.,address,1
109-30 211 St.,address,1
109-30 216 St,address,1
109-50 Merrick Blvd,address,1
109-50 Merrit Blvd,address,1
109-67 Sutthin Blvd,address,1
1090 Madison Avenue,address,1
1096 Flatbush Avenue,address,1
"1099 Wall Street West- Ste. 250,",address,1
10th Avenue,address,1
10th Avenue 41st,address,1
11 Beaver St.,address,1
11 Bruckner Blvd.; 1583 Westchester Ave.,address,1
11 Doyers Street,address,1
11 E 27 St; 23 E 27 St; 27 & Madison,address,1
11 E 74Th St,address,1
11 Eldridge St,address,1
11 Ferry Street,address,1
11 John Street,address,1
11 Madison Ave,address,1
11 Madison Avenue,address,1
11 Park Place 14th Floor,address,1
11 W 60Th St,address,1
11 W 60th St.,address,1
11 W. 141 St.,address,1
11-11 Bay 32nd Place,address,1
11-15 148 St,address,1
11-18 127 St.,address,1
11-27 61st Street,address,1
110 5th St.,address,1
110 Chambers St,address,1
110 East 59th st. Suite 10 D,address,1
110 Prince Street,address,1
110 St. and Amsterdam Ave.,address,1
110 W 20th St,address,1
110 Waverly Place,address,1
110 West 20th Street,address,1
110 West 26th Street,address,1
110-02 Liberty Ave (110 St),address,1
110-02 Liberty Avenue,address,1
1100 Grand Street,address,1
1101 Allerton Ave.,address,1
1107 Richmond Road,address,1
111  fort green place,address,1
111 1st Avenue,address,1
111 22 St.,address,1
111 Berriman Street,address,1
111 Central Park,address,1
111 Division street,address,1
111 E. 22 St.,address,1
111 E. 22nd Street,address,1
111 Eldridge Street,address,1
111 Gardner Avenue,address,1
111 Wadsworth Ave Apt 15H,address,1
111-02 145 St.,address,1
111-09 76 Rd.,address,1
111-11  212 St.,address,1
111-14 Farmers Blvd.,address,1
111-19A Roosevelt Ave.,address,1
111-41 207 St,address,1
111-43 209th Street,address,1
111-45 198 St.,address,1
1118 Arthur Kill Road,address,1
112 E 28 St,address,1
112 E. 28 St.,address,1
112 Horatio Street,address,1
112-04 Farmers Blvd,address,1
112-14 Corona Ave.,address,1
112-20 Beach Channel Dr.,address,1
112-32 Rockaway Beach Blvd.,address,1
112-43 Queens Blvd.,address,1
1120 McBride St,address,1
1121 39 St.,address,1
1122 Jackson Ave,address,1
1123 Broadway corner of 25th Street,address,1
1123 Wordhen St,address,1
1125 Lexington Ave.,address,1
1125 Lexington Avenue,address,1
1125 Waring Ave.,address,1
"1129 Broadway,",address,1
113 East 90th St.,address,1
"113 Richardson Street,`",address,1
113 West 18th Street,address,1
113 west 89th street,address,1
113-27 Queens Boulevard,address,1
113-32 212 St.,address,1
1131 E. 233 St.,address,1
"1131, 1135, 1215, 1225 Amsterdam Ave.",address,1
1133 Eastern Parkway,address,1
1135 Pelham Pkwy,address,1
1136 W. 21 St.,address,1
1139 Clarkson Ave,address,1
114 Kenmore St,address,1
114 Sackett St,address,1
114 st. Liberty Avenue,address,1
"114-02 Liberty Avenue  Richmond Hill, NY",address,1
114-04 225 St,address,1
114-08 Springfield Blvd,address,1
114-10 Beach Channel Dr.,address,1
114-11 Beach Channel Dr.,address,1
114-28 Farmers Blvd,address,1
114-28 Farmers Blvd.,address,1
114-40 Van Wyck Expressway,address,1
114-42 165 St,address,1
114-45 204 St.,address,1
114-49 204 St.,address,1
114-54 Merrick Blvd,address,1
114-68 223 St.,address,1
1140 Liberty Ave.,address,1
1140 St. John's Place,address,1
1146 Brunswick Avenue,address,1
1147 Bedford Ave,address,1
1149 1st Avenue,address,1
114th Street and 1st Avenue,address,1
114th Street w/ Amsterdam Ave & Morningside Dr,address,1
115 Girard St,address,1
115 S. 2 St,address,1
115 S. 2d St.,address,1
115 S. 2nd St.,address,1
115-03 Marsden St,address,1
115-13 Farmers Blvd.,address,1
115-14 173 St,address,1
115-20 143 St/142-20 115 Ave.,address,1
115-25 Metropolitan Ave.,address,1
115-40 121st Street,address,1
115-47 223 St.,address,1
115-49 231 St.,address,1
115-49 Carzan Road,address,1
115-59 223 St,address,1
115-67 196 St.,address,1
115-75 222 St.,address,1
115-76 223rd st.,address,1
115-81 224 St.,address,1
1152 Randall Ave.,address,1
1155 Manhattan Avenue,address,1
1155 Park Avenue,address,1
1157 E 29Th St,address,1
1159 Flatbush Ave,address,1
116 Street and 1st Avenue,address,1
116 West 23rd Street,address,1
116-03 Babbage Street,address,1
116-15 Grosvenor Place,address,1
116-46 224 St.,address,1
116-47 23 St.,address,1
116-56 233 St.,address,1
1163 Castle Hill Ave.,address,1
1164 Elder Ave.,address,1
1165 Boston Road,address,1
1169 Coney Island Avneue,address,1
117 49 229 St,address,1
117 BRIGHTON BEACH AVE,address,1
117 Rd. at Farmer's Blvd.,address,1
117 West 21st Street,address,1
117 w 58th Street,address,1
117-01  Park Lane South,address,1
117-01 Park Lane South,address,1
117-01 Springfield Blvd,address,1
117-01 Springfield Blvd.,address,1
117-01 Springfield blvd.,address,1
"117-02 Liberty Ave,",address,1
117-11 135 Avenue,address,1
117-11 227 St.,address,1
117-12 230 St.,address,1
117-14 Queens Blvd.,address,1
117-20 Farmers Blvd.,address,1
117-20 Liberty Avenue,address,1
117-25 202 St.,address,1
117-25 225 St,address,1
117-29 199th Street,address,1
117-39 226 St.,address,1
1171 E. 38 St.,address,1
"11719, 20, 12001 Liberty Ave; 6328 108 St",address,1
1175 3rd Avenue,address,1
1176 Beach 9 St.,address,1
1176 President Street,address,1
1179 East 233rd Street,address,1
117th Street and 3rd Avenue,address,1
118 2nd Avenue,address,1
118 E 60th Street (59th street entrance),address,1
118-02 226 St.,address,1
118-04 Rockaway Beach Blvd,address,1
118-09 80th rd,address,1
118-10 Springfield Blvd.,address,1
118-14 83 Ave. (118 & Metropolitan Ave.),address,1
118-20 224 St.,address,1
118-21 Queens Blvd,address,1
118-22 232 St,address,1
118-22 80th Road,address,1
118-25 179 St,address,1
118-28 201 Pl,address,1
118-31 Long St.,address,1
118-35 Farmers Boulevard,address,1
118-39 236 St.,address,1
118-48 236 St.,address,1
118-60 227 St.,address,1
118-60 Metropolitan Ave,address,1
1182 Broadway,address,1
1182 East 180th Street,address,1
118th Ave & 221st St,address,1
119 Cedar St.,address,1
119 Hester St,address,1
119 St (betw Amsterdam & Morningside),address,1
119 W 57Th St,address,1
119 W. 58 St.,address,1
119 West 17th Street,address,1
119-06 228 St.,address,1
119-06 29th Ave.,address,1
119-10 232 St.,address,1
119-13 Liberty Avenue,address,1
119-18 223 St.,address,1
119-19 97 Ave.,address,1
119-21 14 Ave.,address,1
119-25 234 St.,address,1
119-29 83rd Avenue,address,1
119-30 228 St.,address,1
119-38 228 St.,address,1
119-39 223 St,address,1
119-45 233 St,address,1
119-55 225 St.,address,1
119-D Hester Street,address,1
1190 Bay Street,address,1
11901 Atlantic Avenue,address,1
1194 old Dixie highway -suite 7,address,1
1199 Randall Ave.,address,1
11th Ave. and 26 St; 11th Ave. and 34 St.,address,1
12 Alderwood Pl,address,1
12 Alderwood Place,address,1
12 Belair Pl.,address,1
12 East 31st Street,address,1
12 Greyston Terrace,address,1
12 Lexington Ave,address,1
12 Mann Ave.,address,1
12-02 37th Avenue,address,1
12-14 Varick St.,address,1
12-34 120 St.,address,1
120 55 Queens Blvd.,address,1
120 8th Avenue,address,1
120 Broadway- 28th Floor,address,1
120 Broadway- 28th floor,address,1
120 Charles St,address,1
"120 Crosby St, 128 Crosby St",address,1
120 East 34th St,address,1
120 Fulton Street,address,1
120 South Elliot Place,address,1
120 Thames Street,address,1
120-02 230 St.,address,1
120-03 233 St.,address,1
120-05 231 St,address,1
120-09 227 St.,address,1
120-14 149th Avenue,address,1
120-19 Rockaway Blvd,address,1
120-21 29 Ave.,address,1
120-24 229 St.,address,1
120-24 233 St.,address,1
120-28 228 St.,address,1
120-45 232 St.,address,1
120-48 225 St,address,1
120-51 225 St.,address,1
1200 Broadway,address,1
1201 Ave. Z,address,1
1205 AVE. M,address,1
1205 Avenue M,address,1
1205 Manhattan Ave,address,1
1205 Todt Hill Road,address,1
121 Roma Ave,address,1
121 Seaman Ave,address,1
121 Varick Street,address,1
121 W 30 St.,address,1
121-10 153rd Street,address,1
121-21 195 St,address,1
121-27 236 St.,address,1
121-68 234 St.,address,1
1217 1St Ave,address,1
1219 Liberty Avenue,address,1
121st  and Frederick Douglas Blvd.,address,1
121st Street off of Jamaica Avenue,address,1
122 4th Avenue,address,1
122 Orchard St,address,1
122-19 135 Ave.,address,1
122-29 Long  St.,address,1
1220 RT. 46 WEST,address,1
12236 Farmers Blvd,address,1
1225 Amsterdam Avenue,address,1
1225 Richmond Ave.,address,1
1227 Bedford Ave.,address,1
123 & Rockaway Blvd; 98 St (by John Adams HS),address,1
123 Main Street- 9th fl.,address,1
123 William Street,address,1
123 Williams st.,address,1
123-01 Roosevelt Ave.,address,1
123-07 153rd Street,address,1
123-124 8th Ave,address,1
1230 Neptune Ave,address,1
12301 Roosevelt Ave,address,1
1232 E. 69 St.,address,1
1236 Pacific St,address,1
124 W 30Th St - room 301,address,1
124-12 135th Place,address,1
124-17 Newport Ave.,address,1
124-18 Queens Blvd,address,1
124-18 Queens Blvd.,address,1
124-19 97 Ave,address,1
"124-25, 124-41 Queens Blvd.",address,1
124-32 193 St.,address,1
"1242 Fulton St., Suite 106",address,1
1244 Laxington Avenue,address,1
1245 Park Ave.,address,1
1248 East Bay Ave.,address,1
1248 East Bay Avenue,address,1
1248 Lexington Ave,address,1
1249 East 26th Street,address,1
124th Street,address,1
125 East 73rd Street,address,1
125 Halsey Street,address,1
125 Nancy Lane,address,1
125 W 125th st.,address,1
125 W 25th St,address,1
125-12 Liberty Ave,address,1
1253 East 69th Street,address,1
1259 Park Ave.,address,1
126 GreenPoint,address,1
126 Pl. Northern Blvd.,address,1
126 W 16th St.,address,1
126-11 Liberty Ave,address,1
1262 East 32nd Street,address,1
1265 St. Nicholas Ave,address,1
1269 Park Ave,address,1
127 E 28th St,address,1
127 West 30 Street,address,1
127 st. 20th Ave.,address,1
127-20 34th Avenue,address,1
1278 E 34th St,address,1
127th st. Liberty Ave.,address,1
128 E 7Th St,address,1
128 Grimes Rd N,address,1
128 Mott Street,address,1
128 Stanley Street,address,1
128-08 111th Ave,address,1
128-13 14 Ave.,address,1
128-15 233 St.,address,1
