value,label,count
47 The American Sign Language and English Secondary School,school_name,18
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,school_name,38
A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,school_name,13
ABRAHAM LINCOLN HIGH SCHOOL,school_name,45
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,school_name,31
ACADEMY FOR NEW AMERICANS,school_name,5
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,school_name,23
ACADEMY FOR YOUNG WRITERS,school_name,35
ACADEMY OF AMERICAN STUDIES,school_name,27
ACADEMY OF HOSPITALITY AND TOURISM,school_name,17
ACADEMY OF PUBLIC RELATIONS,school_name,17
ACADEMY OF URBAN PLANNING,school_name,35
ACADEMY for CAREERS in TELEVISION and FILM,school_name,27
ACADEMY for HEALTH CAREERS,school_name,28
ACCION ACADEMY,school_name,17
ACORN COMMUNITY HIGH SCHOOL,school_name,34
AMISTAD DUAL LANGUAGE SCHOOL,school_name,23
AMPARK NEIGHBORHOOD,school_name,7
ANDRIES HUDDE,school_name,20
ART AND DESIGN HIGH SCHOOL,school_name,40
ARTS & MEDIA PREPARATORY ACADEMY,school_name,28
ASTOR COLLEGIATE ACADEMY,school_name,36
AUGUST MARTIN HIGH SCHOOL,school_name,34
AUTOMOTIVE HIGH SCHOOL,school_name,40
Academy for College Preparation and Career Exploration: A College Board School,school_name,26
Academy for Conservation and the Environment,school_name,25
Academy for Scholarship and Entrepreneurship: A College Board School,school_name,42
Academy for Social Action: A College Board School,school_name,42
Academy for Software Engineering,school_name,19
Academy of Applied Mathematics and Technology,school_name,21
Academy of Arts and Letters,school_name,22
Academy of Environmental Science Secondary High School,school_name,2
Academy of Finance and Enterprise,school_name,31
Academy of Innovative Technology,school_name,31
Academy of Medical Technology: A College Board School,school_name,39
Albert Shanker School for Visual and Performing Arts,school_name,24
Alfred E. Smith Career and Technical Education High School,school_name,21
All City Leadership Secondary School,school_name,29
Antonia Pantoja Preparatory Academy: A College Board School,school_name,56
Archer Elementary School,school_name,7
"Archimedes Academy for Math, Science and Technology Applications",school_name,56
Arturo A. Schomburg Satellite Academy Bronx,school_name,11
Aspirations Diploma Plus High School,school_name,19
Aspire Preparatory Middle School,school_name,14
Aviation Career & Technical Education High School,school_name,39
BANANA KELLY HIGH SCHOOL,school_name,40
BARD HIGH SCHOOL EARLY COLLEGE,school_name,11
BARUCH COLLEGE CAMPUS HIGH SCHOOL,school_name,21
BATTERY PARK CITY SCHOOL,school_name,24
BAYCHESTER ACADEMY,school_name,9
BAYSIDE HIGH SCHOOL,school_name,47
BEACH CHANNEL HIGH SCHOOL,school_name,14
BEACON HIGH SCHOOL,school_name,23
BEDFORD ACADEMY HIGH SCHOOL,school_name,19
BELL ACADEMY,school_name,22
BELMONT PREPARATORY HIGH SCHOOL,school_name,25
BENJAMIN BANNEKER ACADEMY,school_name,28
BENJAMIN N. CARDOZO HIGH SCHOOL,school_name,41
BOYS AND GIRLS HIGH SCHOOL,school_name,35
BRIGHTER CHOICE COMMUNITY SCHOOL,school_name,6
BRONX AEROSPACE HIGH SCHOOL,school_name,32
BRONX ALLIANCE MIDDLE SCHOOL,school_name,11
BRONX BRIDGES HIGH SCHOOL,school_name,25
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,school_name,23
BRONX CENTER FOR SCIENCE AND MATHEMATICS,school_name,24
BRONX COMMUNITY HIGH SCHOOL,school_name,11
BRONX DANCE ACADEMY SCHOOL,school_name,20
BRONX GREEN MIDDLE SCHOOL,school_name,19
BRONX GUILD,school_name,28
BRONX HAVEN HIGH SCHOOL,school_name,11
BRONX HEALTH SCIENCES HIGH SCHOOL,school_name,24
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,school_name,37
BRONX HIGH SCHOOL OF BUSINESS,school_name,34
BRONX HIGH SCHOOL OF SCIENCE,school_name,20
BRONX INTERNATIONAL HIGH SCHOOL,school_name,19
BRONX LAB SCHOOL,school_name,30
BRONX LATIN,school_name,49
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,school_name,33
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,school_name,24
BRONX LITTLE SCHOOL,school_name,14
BRONX REGIONAL HIGH SCHOOL,school_name,13
BRONX SCHOOL OF LAW AND FINANCE,school_name,34
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,school_name,39
BRONX THEATRE HIGH SCHOOL,school_name,34
BRONX WRITING ACADEMY,school_name,24
BROOKLYN ACADEMY HIGH SCHOOL,school_name,15
BROOKLYN BRIDGE ACADEMY,school_name,11
BROOKLYN BROWNSTONE SCHOOL,school_name,6
BROOKLYN COLLEGE ACADEMY,school_name,18
BROOKLYN DEMOCRACY ACADEMY,school_name,15
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),school_name,8
BROOKLYN GENERATION SCHOOL,school_name,27
BROOKLYN HIGH SCHOOL OF THE ARTS,school_name,27
BROOKLYN INTERNATIONAL HIGH SCHOOL,school_name,11
BROOKLYN LAB SCHOOL,school_name,30
"BROOKLYN LATIN SCHOOL, THE",school_name,16
BROOKLYN SCHOOL FOR GLOBAL STUDIES,school_name,45
BROOKLYN SCHOOL FOR MUSIC & THEATRE,school_name,22
BROOKLYN SCHOOL OF INQUIRY,school_name,7
BROOKLYN STUDIO SECONDARY SCHOOL,school_name,52
BROOKLYN TECHNICAL HIGH SCHOOL,school_name,18
BROOKLYN THEATRE ARTS HIGH SCHOOL,school_name,25
BROWNSVILLE ACADEMY HIGH SCHOOL,school_name,10
BUSHWICK COMMUNITY HIGH SCHOOL,school_name,27
BUSHWICK SCHOOL FOR SOCIAL JUSTICE,school_name,32
BUSINESS OF SPORTS SCHOOL,school_name,26
Baccalaureate School for Global Education,school_name,18
"Ballet Tech, NYC Public School for Dance",school_name,7
Bard High School Early College Queens,school_name,14
Baychester Middle School,school_name,17
Bedford Stuyvesant Preparatory High School,school_name,10
Blueprint Middle School,school_name,11
Bread & Roses Integrated Arts High School,school_name,20
Bronx Academy for Software Engineering (BASE),school_name,11
Bronx Academy of Health Careers,school_name,41
Bronx Arena High School,school_name,7
Bronx Collaborative High School,school_name,5
Bronx Collegiate Academy,school_name,35
Bronx Design and Construction Academy,school_name,21
Bronx Early College Academy for Teaching & Learning,school_name,34
Bronx Engineering and Technology Academy,school_name,26
Bronx Envision Academy,school_name,24
Bronx High School for Law and Community Service,school_name,36
Bronx High School for Medical Science,school_name,33
Bronx High School for Writing and Communication Arts,school_name,17
Bronx Park Middle School,school_name,12
Bronx River High School,school_name,14
"Bronx School for Law, Government and Justice",school_name,54
Bronxdale High School,school_name,26
Brooklyn Academy of Science and the Environment,school_name,27
Brooklyn Arbor Elementary School,school_name,9
Brooklyn Arts and Science Elementary School,school_name,7
Brooklyn Collegiate: A College Board School,school_name,27
"Brooklyn Community High School of Communication, Arts and Media",school_name,31
Brooklyn Frontiers High School,school_name,15
Brooklyn Gardens Elementary School,school_name,7
Brooklyn High School for Law and Technology,school_name,26
Brooklyn High School for Leadership and Community Service,school_name,19
"Brooklyn INK Elementary School (Inquiry, Numbers, Knowledge)",school_name,8
Brooklyn Institute for Liberal Arts,school_name,19
Brooklyn Landmark Elementary School,school_name,6
Brooklyn Preparatory High School,school_name,36
Brooklyn Secondary School for Collaborative Studies,school_name,48
Brownsville Collaborative Middle School,school_name,16
Bushwick Leaders High School for Academic Excellence,school_name,32
"Business, Computer Applications & Entrepreneurship High School",school_name,17
CAMBRIA HEIGHTS ACADEMY,school_name,26
CASCADES HIGH SCHOOL,school_name,16
CENTRAL PARK EAST HIGH SCHOOL,school_name,33
CENTRAL PARK EAST I,school_name,3
CENTRAL PARK EAST II,school_name,9
CHANNEL VIEW SCHOOL FOR RESEARCH,school_name,47
CHOIR ACADEMY OF HARLEM,school_name,26
CHRISTOPHER COLUMBUS HIGH SCHOOL,school_name,16
CITY COLLEGE ACADEMY OF THE ARTS,school_name,41
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",school_name,24
CIVIC LEADERSHIP ACADEMY,school_name,33
CLARA BARTON HIGH SCHOOL,school_name,40
COALITION SCHOOL FOR SOCIAL CHANGE,school_name,27
COLUMBIA SECONDARY SCHOOL,school_name,35
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,school_name,47
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,school_name,24
CONCORD HIGH SCHOOL,school_name,14
CONSELYEA PREPARATORY SCHOOL,school_name,17
CORNERSTONE ACADEMY FOR SOCIAL ACTION,school_name,13
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),school_name,12
CORONA ARTS AND SCIENCES ACADEMY (CASA),school_name,11
CRESTON ACADEMY,school_name,17
CROTONA ACADEMY HIGH SCHOOL,school_name,13
CSI High School for International Studies,school_name,30
CURTIS HIGH SCHOOL,school_name,35
CYNTHIA JENKINS SCHOOL,school_name,14
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,school_name,29
Catherine & Count Basie Middle School 72,school_name,22
"Celia Cruz Bronx High School of Music, The",school_name,22
Chelsea Career and Technical Education High School,school_name,29
Christopher Avenue Community School,school_name,10
Claremont International HS,school_name,5
Cobble Hill School of American Studies,school_name,43
