value,label,count
.  715 West 179th Street,address,1
1 ALBEMARLE ROAD,address,1
1 Aviation Plaza,address,1
1 Beach Street,address,1
1 Bernard Baruch Way,address,1
1 Brookdale Plaza,address,1
1 Bx Riverparkway,address,1
1 Centre St,address,1
1 Chase Manhattan Plaza,address,1
1 E 104th St,address,1
1 E 53rd St,address,1
1 East 104th Street,address,2
1 East 53rd Street,address,1
1 FORDHAM PLAZA,address,1
1 Floyd Bennett Field,address,1
1 Fordham Plaza,address,1
1 Forest Park,address,1
1 Hoyt Street,address,1
1 Hoyt Street  7th Fl,address,1
1 Liberty Plaza,address,1
1 Main Street,address,2
1 Orchard Beach,address,1
1 Orchard Street,address,1
1 Peck Slip,address,1
1 Police Plaza,address,3
1 Randalls Island,address,1
1 TELEPORT DRIVE,address,2
1 University Plaza,address,1
1 Ward Island,address,1
1 Washington Square North,address,1
1 Wells Street,address,1
1 West 125th St,address,1
1 West 125th Street,address,1
"1 West 125th Street, 2 FL",address,1
"1 West 125th Street, 2nd Floor",address,1
1 chase manhattan plaza,address,1
1-50 51ST AVENUE,address,2
1-90 BEACH 110 STREET,address,2
10 15 41st AVENUE,address,1
10 Austin Place,address,4
10 Bear Mt. State Park,address,1
10 E 15th St,address,1
10 E 15th Street,address,1
10 East 15th Street,address,1
10 Gregg Place,address,1
10 Kingsley Place,address,1
10 South Street,address,1
10 St Pauls Place,address,1
10 St. Pauls Place,address,1
"10 St. Pauls Place , 5th Fl.",address,1
10-05 41st Ave,address,1
10-25  41st Ave,address,1
10-25 41 Avenue,address,1
10-25 41st Ave,address,1
10-25 41st Avenue,address,4
10-25 41th Avenue,address,1
10-26 41st Ave,address,1
10-26 41st Ave.,address,1
10-44 41st Avenue,address,1
10-45 NAMEOKE STREET,address,3
10-51 Jackson Avenue,address,1
10-80 Willoughby Avenue,address,1
100 ATTORNEY STREET,address,1
100 Aldrich Street,address,1
100 Attorney Street,address,1
100 CLERMONT AVENUE,address,1
100 Centre Street,address,1
100 Church Street,address,1
100 Columbia Street,address,1
100 East 77th Street,address,1
100 Elm Dr.,address,1
100 Gold Street,address,1
"100 Gold Street , Ste. 3300",address,1
100 Gravesend Neck Road,address,1
100 HESTER STREET,address,1
100 Hester St,address,1
100 Hester Street,address,1
100 IRVING AVENUE,address,1
100 Irving Avenue,address,1
100 Jerome Ave,address,1
100 LUTEN AVENUE,address,1
100 Merrill Avenue,address,1
