value,label,count
" 50 Cooper Square, 4th Floor",address,1
1 Alexander Place,address,1
1 Centre Street,address,1
"1 Centre Street, Suite 2035",address,1
1 East 104th Street,address,1
1 East 93rd Street,address,1
1 Gustave L. Levy Place,address,1
"1 Gustave L. Levy Place, Box 1670",address,1
"1 Gustave L. Levy Place, Box10225",address,1
"1 Hoyt Street, 7th Fl",address,1
"10 Astor Pl., 7th Fl.",address,1
10 Fort Washington Avenue,address,1
10 St. Paul's Place,address,1
10-25 41st Avenue,address,1
100 5th Ave Floor 8,address,1
"100 Gold Street, Lower Level",address,1
1000 Pelham Parkway,address,1
1000 South Avenue,address,1
1000 tenth ave ny 10019    12th floor  L&D,address,1
1011 First Avenue,address,1
"1011 First Avenue, 6th fl.",address,1
103 President Street,address,1
103-06 39th Ave.,address,1
104 East 40th Street,address,1
"104 East 40th Street, Suite 506",address,1
104-38 47th Avenue,address,1
104-70 Queens Boulevard,address,1
"105 Chambers St., Suite 5A",address,1
105 E. 22nd Street,address,1
"105 East 22nd Street, 6th Fl.",address,1
"105 East 22nd Street, 7th floor",address,1
105 Mosco Street,address,1
105-29B Metropolitan Ave. (entrance 62nd Road),address,1
1055 GRAND CONCOURSE,address,1
106-46 Guy R. Brewer  Blvd.,address,1
"108 Norfolk Street, Lower lv",address,1
108-25 62nd Drive,address,1
1087 East Tremont Avenue,address,1
109 East 50 Street,address,1
"11 Broadway, 2nd Floor",address,1
"11 Broadway, Suite 457",address,1
"11 Catherine Street, 3rd Fl",address,1
11 Hanover Square,address,1
"11 Park Place, Suite 1416",address,1
11 Penn Plaza,address,1
11 West 53 Street,address,1
110 East 30th Street,address,1
110 Second Ave.,address,1
"110 William Street, Suite 1802",address,1
110-04 Atlantic Avenue,address,1
110-15 164th Place,address,1
"111 East 14th Street, PMB#147",address,1
111 East 59th Street,address,1
"111 John Street, Suite 240",address,1
111-12 Northern Blvd.,address,1
1111 Amsterdam Ave.,address,1
1113 Colgate Avenue,address,1
"112 E. 71st Street, Suite 2B",address,1
112 West 27th Street,address,1
1121 Brighton Beach Avenue,address,1
113 Rogers Ave,address,1
113-03 C Sutphin Blvd.,address,1
1130 Grand Concourse,address,1
1133 Broadway,address,1
1133 Westchester Avenue,address,1
114 old country road,address,1
114-02 Guy R. Brewer Bld,address,1
114-02 Guy R. Brewer Blvd.,address,1
"114-02 Guy R. Brewer Blvd., Suite 215",address,1
1140 Broadway,address,1
115 East 106th Street,address,1
115 W 30th St.,address,1
"115 West 23rd Street, 7th Fl",address,1
115 West 31 St.,address,1
115-04 Rockaway Beach Blvd.,address,1
1150 Commonwealth Ave.,address,1
116 East 16 St.,address,1
"116 East 16 St., 7th Fl.",address,1
"116 East 16 Street., 7th Fl.",address,1
"116 East 16th Street, 5th Fl.",address,1
116 John St.,address,1
"116 John Street, 30th Floor",address,1
"116 John Street, Suite 1304",address,1
"116 West 32nd Street, 11th Floor",address,1
116-06 Merrick Blvd.,address,1
117 Broadway,address,1
117-11 Myrtle Ave.,address,1
1175 York Ave.,address,1
11844 MERRICK BLVD,address,1
119 West 24th Street,address,1
119-45 Union Turnpike,address,1
12 Avenue D,address,1
12 Hampton Road,address,1
"12 MetroTech Center, 29th Fl",address,1
12 West 21st Street,address,1
12-11 40th Ave,address,1
"120 Broadway, Ste. 230",address,1
120 Jackson Street,address,1
120 W 57th St,address,1
120 Wall St,address,1
120 Wall Street,address,1
"120 Wall Street, 13th Floor",address,1
"120 Wall Street, 33rd Floor",address,1
"120 Wall Street, 3rd Floor",address,1
"120 Wall Street, 8th Floor",address,1
120 Wall Street; Third floor,address,1
120 West 14th Street,address,1
120 West 57th Street,address,1
"120-55 Queens Blvd., Room 323",address,1
"120-55 Queens Blvd., Room 325",address,1
1207 Castleton Avenue,address,1
121 Avenue of the Americas,address,1
"121 West 27 St., #301",address,1
"121-16 Ocean Promedade, #3H",address,1
"1216 Fifth Ave., 3rd Floor",address,1
"122 East 42nd Street, 18th Floor",address,1
"122 East 42nd Street, SUite 1100",address,1
"122 West 27th Street, 10th Floor",address,1
1221 Bedford Avenue,address,1
"12225 Broadway, 9th Floor",address,1
123 -125 West 124th Street,address,1
123 7th Ave PMB 284,address,1
"123 William Street, 16th Fl.",address,1
123-06 18th Ave.,address,1
1233 2nd Ave,address,1
1233 Second Avenue,address,1
124 Utica Avenue,address,1
125 Broad St. 17th Fl.,address,1
"125 Broad St., 18th Fl.",address,1
125-09 Jamaica Avenue,address,1
"127 Broad St., 18th Fl.",address,1
127 West 127th Street,address,1
"127 West 127th Street, 3rd Floor",address,1
1274 Utica Avenue,address,1
1275 York Ave,address,1
127th First Ave,address,1
128 West 88th Street,address,1
129 Fulton Street,address,1
"129-133 West 147 St., #18I",address,1
129-20A  18th Avenue,address,1
130 E 59 Street,address,1
130 East 59th St.,address,1
130 East 80th Street,address,1
"130 Stuyvesant Place, 5th Fl.",address,1
"130 West 42 St., Suite 350",address,1
1300 York Avenue,address,1
"1301 5th Avenue, New York City, NY 10029",address,1
132 W 32nd Street.,address,1
"132 W. 22nd Street, 4th Floor",address,1
132 West 32nd Street,address,1
133 W. 70th St.,address,1
133-01 41st Road,address,1
133-25 Guy R. Brewer Boulevard,address,1
133-31 39 Avenue,address,1
"133-54 41st Avenue, 4 Fl",address,1
134 South Swan Street,address,1
1347 Franklin Ave,address,1
135 East 64th Street,address,1
135 Eastern Pkwy #6F,address,1
135 Parkinson Avenue,address,1
135 West 23 Street,address,1
"135-01 Brookeville Blvd.,",address,1
1350 Broadway,address,1
"1359 Broadway, Suite 410",address,1
"136-19 41 Avenue, 3rd Floor",address,1
1360 Fulton Street,address,1
1360 Ogden Avenue - Suite 2F,address,1
"1368 Fulton Street, 3rdbFl",address,1
"137 East 25th Street, 2ndfl",address,1
137 Henry Street,address,1
137-44 Northern Blvd.,address,1
1375 Broadway,address,1
138 East 26th Street,address,1
138-15 Franklin Ave. Suite 610,address,1
1395 Lexington Ave.,address,1
14 West 170th Street,address,1
140 West 62nd St.,address,1
140-15 Holly Ave,address,1
1405 5th Ave STE 2S,address,1
1413 Avenue T,address,1
1414 Wheatley Ave,address,1
1416 Avenue M,address,1
143-22 109th Avenue,address,1
143-35 37th Avenue,address,1
1435 Prospect Place,address,1
144 Bleecker Street,address,1
"144 West 125th Street, 4th Floor",address,1
144-06 Rockaway Blvd.,address,1
1440 Broadway,address,1
145 Brooklyn Avenue,address,1
"145 West 30th Street, 8th Floor",address,1
1460 Pennsylvania Avenue,address,1
1466 Manor Road,address,1
147-32 Jamaica Ave,address,1
1474 Gates Avenue,address,1
148-13 Hillside Avenue,address,1
148-150 Huron Street,address,1
"1482 St. Johns Place, Suite 1F",address,1
149 East 78th Street,address,1
1491 Bedford Avenue,address,1
"15 Catherine St., #2R",address,1
"15 East 26 St., Suite 919",address,1
15 Elk Street,address,1
15 Penn Plaza,address,1
15 Rutherford Place,address,1
15 West 65th St.,address,1
15-08 College Point Boulevard,address,1
150 55th Street,address,1
150 Broadway,address,1
"150 Broadway, 14th Floor",address,1
150 Court Street,address,1
"150 Court Street, 3rd Floor",address,1
150 Elizabeth Street,address,1
"150 W. 28th St.reet, Suite 307",address,1
150 West 30th Street,address,1
150 w. 28th St. Suite 304,address,1
"150-38 Union Turnpike, #11J",address,1
1500 Pelham Parkway South,address,1
1501 Broadway,address,1
151 West 30th Street,address,1
151 West 30th Street 5th Floor,address,1
153 West 165th Street,address,1
154 Christopher Street 2D,address,1
"154 Christopher Street, 3C",address,1
1546 Coney Island Avenue,address,1
