value,label,count
00 + CO,business_name,1
1 HOTEL CENTRAL PARK,business_name,1
108 FOOD DRIED HOT POT,business_name,1
10TH AVENUE COOKSHOP,business_name,1
12 CHAIRS CAFE,business_name,1
181 CABRINI,business_name,1
2 DIVE 4,business_name,1
27 MORTON,business_name,1
2A,business_name,1
2ND AVENUE DELI,business_name,1
3 IN 1 KITCHEN,business_name,1
3RD AVE ALE HOUSE,business_name,1
44 SOUTHWEST,business_name,1
44&X-HELLS KITCHEN,business_name,1
5 NAPKIN BURGER,business_name,1
ABILENE,business_name,1
ACQUISTA TRATTORIA,business_name,1
ADORO LEI,business_name,1
AG KITCHEN,business_name,1
AGAVE,business_name,1
AGED,business_name,1
AGNANTI,business_name,1
AGORA TAVERNA,business_name,1
AINSWORTH,business_name,1
ALFIE'S,business_name,1
ALIADA,business_name,1
ALLIGATOR LOUNGE,business_name,1
ALTA CALIDAD,business_name,1
AMAMI SUSHI,business_name,1
AMARONE RESTAURANT,business_name,1
AMELIA'S  RESTAURANT COFFEE SHOP,business_name,1
AMELIE,business_name,1
AMITY HALL,business_name,1
AMY'S BREAD,business_name,1
AMYLOS,business_name,1
AN CHOI,business_name,1
ANASSA,business_name,1
ANCHOR HEIGHTS WINE BAR,business_name,1
ANCHOR WINEBAR,business_name,1
ANEJO TEQUILERIA,business_name,1
ANEMOS,business_name,1
ANTIKA PIZZERIA,business_name,1
AOA BAR AND GRILL,business_name,1
AOC EAST,business_name,1
APPLEBEE'S,business_name,1
ARCTICA,business_name,1
ARIA HELLS' KITCHEN,business_name,1
AROQA,business_name,1
ARTE RESTAURANT,business_name,1
ARTHOUSE HOTEL NEW YORK CITY,business_name,1
ARTICHOKE BASILLE'S PIZZA,business_name,1
ASADERO LA FOGATA,business_name,1
ASELLINA,business_name,1
ASHOKA,business_name,1
ASSET,business_name,1
ASTORIA CRAFT,business_name,1
AT THE WALLACE,business_name,1
ATRIUM DUMBO,business_name,1
AWOL BAR & GRILL,business_name,1
Anejo Tribeca,business_name,1
Applebees,business_name,1
B BAR & GRILL,business_name,1
BABA COOL,business_name,1
BABALUCCI'S,business_name,1
BACCHUS,business_name,1
BACI RISTORANTE,business_name,1
BAGATELLE,business_name,1
BAGEL EXPRESS 11,business_name,1
BAGELS & CO,business_name,1
BAKER STREET,business_name,1
BALZEM,business_name,1
BANTER,business_name,1
BAO BY KAYA,business_name,1
BAR 180,business_name,1
BAR 43,business_name,1
BAR 6,business_name,1
BAR BRUNO,business_name,1
BAR COASTAL,business_name,1
BAR ITALIA,business_name,1
BAR PITTI,business_name,1
BAR PRIMI,business_name,1
BAR VERDE,business_name,1
BARAWINE,business_name,1
BARE BURGER,business_name,1
BAREBURGER,business_name,1
BARFLY,business_name,1
BARKING DOG NYC,business_name,1
BASIL,business_name,1
BATHHOUSE,business_name,1
BAYARD'S ALE HOUSE,business_name,1
BEACH CAFE,business_name,1
BEAN'S & LAGER,business_name,1
BEARD PAPA'S,business_name,1
BEARDED LADY,business_name,1
BECO,business_name,1
BEER SHOP NYC,business_name,1
BEERZAAR NYC,business_name,1
BELLA LUNA,business_name,1
BELLA VIA RESTAURANT,business_name,1
BELLE REVE,business_name,1
BELLINI,business_name,1
BENITO ONE,business_name,1
BENNY'S BURRITOS,business_name,1
BENVENUTO CAFE,business_name,1
BETTOLA,business_name,1
BEYOGLU,business_name,1
BIER INTERNATIONAL HARLEM,business_name,1
BIG DADDY'S,business_name,1
BILL'S BAR AND BURGER DOWNTOWN,business_name,1
BIN 71,business_name,1
BIRDY'S,business_name,1
BISKOTI,business_name,1
BISTANGO RESTAURANT,business_name,1
BISTRO CASSIS,business_name,1
BISTRO LE STEAK,business_name,1
BISTRO NOMAD,business_name,1
BLACK FLAMINGO,business_name,1
BLACK FOREST BROOKLYN,business_name,1
