value,label,count
& 11TH AVENUE,street_name,1
& 1ST AVENUE,street_name,1
& 23RD STREET,street_name,1
& 28TH AVE,street_name,1
& 2ND AVENUE,street_name,1
& 3RD AVE,street_name,1
& 3RD AVENUE,street_name,1
& 51/52ND ST,street_name,1
& 52ND STREET,street_name,1
& 56TH STREET,street_name,1
& 5TH AVE,street_name,1
& 5TH AVENUE,street_name,1
& 6TH AVENUE,street_name,1
& 72ND STREET,street_name,1
& 73RD STREET,street_name,1
& 76TH STREET,street_name,1
& 7TH AVE,street_name,1
& 7TH AVENUE,street_name,1
& 84TH STREET,street_name,1
& 8TH AVENUE,street_name,1
& 95TH STREET,street_name,1
& 96TH STREET,street_name,1
& AVENUE B,street_name,1
& AVENUE Z,street_name,1
& B'WAY,street_name,1
& BENNETT AVE,street_name,1
& BROADWAY,street_name,1
& CABRINI BLVD.,street_name,1
& CENTRAL PARK SOUTH,street_name,1
& CENTRAL PK WEST,street_name,1
& CENTRAL PKWY SOUTH,street_name,1
& COLUMBUS AVE,street_name,1
& COLUMBUS AVENUE,street_name,1
& FIRST AVENUE,street_name,1
& GRAND CENTRAL PKWY,street_name,1
& HILLSIDE AVE,street_name,1
& HOUSTON,street_name,1
& HUDSON ST,street_name,1
& HUDSON STREET,street_name,1
& LEX AVE,street_name,1
& LEXINGTON AVENUE,street_name,1
& MADISON AVENUE,street_name,1
& MOTT STREET,street_name,1
& PARK AVENUE,street_name,1
& PENN STATION,street_name,1
& RIVERSIDE DRIVE,street_name,1
& SANDS STREET,street_name,1
& SPRING ST,street_name,1
& WEST 11TH STREET,street_name,1
& WEST 58TH ST,street_name,1
& WEST BROADWAY,street_name,1
& WEST END AVENUE,street_name,1
&B 6TH AVE,street_name,1
*,street_name,1
-02 119 AVE,street_name,1
-05 19 ST,street_name,1
-06 115 AVE,street_name,1
-07 24 AVE,street_name,1
-07 88 ST,street_name,1
-09 ATLANTIC AVE,street_name,1
-14 69 AVE,street_name,1
-16 PIDGEON MEADOW R,street_name,1
-20 65 ST,street_name,1
-24 214 ST,street_name,1
-26 122 ST,street_name,1
-28 71 PL,street_name,1
-30 COMMONWEALTH BLVD,street_name,1
-34 197 ST,street_name,1
-34 69 RD,street_name,1
-42 88 ST,street_name,1
-52 195 ST,street_name,1
-52 GRAND AVE,street_name,1
-55 SMITH ST,street_name,1
-93 84 PL,street_name,1
.,street_name,1
.FERNDALE AVE,street_name,1
.GRAND AVENUE,street_name,1
1 AV -12 ST,street_name,1
1 AV -BOWERY,street_name,1
1 AVE,street_name,1
1 AVENUE,street_name,1
1 BOUCK CT.,street_name,1
1 COURT,street_name,1
1 PLACE,street_name,1
1 ST,street_name,1
1 ST S,street_name,1
1 STREET,street_name,1
1/2 WESTERCHESTER AVE.,street_name,1
10 AVE,street_name,1
10 AVENUE,street_name,1
10 NEVENS STREET,street_name,1
10 ST,street_name,1
10 ST E,street_name,1
10 ST E PLGD,street_name,1
10 ST W,street_name,1
10 STREET,street_name,1
100 AV,street_name,1
100 AVENUE,street_name,1
100 DRIVE,street_name,1
100 ST,street_name,1
100 ST E,street_name,1
100 STREET,street_name,1
1000442,street_name,1
101 AVE,street_name,1
101 AVENUE,street_name,1
101 ROAD,street_name,1
101 ST,street_name,1
101 ST W,street_name,1
101 STREET,street_name,1
101ST B'WAY,street_name,1
102 AVE,street_name,1
102 AVENUE,street_name,1
102 ROAD,street_name,1
102 ST,street_name,1
102 ST E,street_name,1
102 STREET,street_name,1
103 AVE,street_name,1
103 AVENUE,street_name,1
103 DRIVE,street_name,1
103 ROAD,street_name,1
103 ST,street_name,1
103 ST E,street_name,1
103 STREET,street_name,1
103-06 MARTENSE AVE,street_name,1
104 AVENUE,street_name,1
104 RD,street_name,1
104 ROAD,street_name,1
104 ST,street_name,1
104 ST W,street_name,1
104 STREET,street_name,1
104-01 REMINGTON ST,street_name,1
105 AVENUE,street_name,1
105 ST,street_name,1
105 ST-104 ST,street_name,1
105 STREET,street_name,1
1055 EAST 222 STREET,street_name,1
106 AVE,street_name,1
106 AVENUE,street_name,1
106 ROAD,street_name,1
106 ST,street_name,1
106 ST E,street_name,1
106 STREET,street_name,1
106ST,street_name,1
107 AVE,street_name,1
107 AVENUE,street_name,1
107 ST,street_name,1
107 STREET,street_name,1
107 W 13 ST,street_name,1
107-109 AV,street_name,1
107-57 MERRICK BLVD,street_name,1
108 AVE,street_name,1
108 AVENUE,street_name,1
108 DRIVE,street_name,1
108 ROAD,street_name,1
108 ST,street_name,1
108 STREET,street_name,1
108 STREET AND THIRD AVENUE,street_name,1
108-06 ASTORIA BLVD,street_name,1
108TH AVE,street_name,1
109 AVE,street_name,1
109 AVENUE,street_name,1
109 DRIVE,street_name,1
109 ROAD,street_name,1
109 ST,street_name,1
109 ST & 110 STREET,street_name,1
109 STREET,street_name,1
10TH AVENUE,street_name,1
10TH ST,street_name,1
11 AVE,street_name,1
11 AVENUE,street_name,1
11 EAST FORDHAM ROAD,street_name,1
11 ST,street_name,1
11 ST E,street_name,1
11 ST W,street_name,1
11 STREET,street_name,1
110 AVE,street_name,1
110 AVENUE,street_name,1
110 ROAD,street_name,1
110 ST,street_name,1
110 STREET,street_name,1
110-01 201 ST,street_name,1
111 ATLANTIC AVE,street_name,1
111 AVENUE,street_name,1
111 DEWART AVENUE,street_name,1
111 ROAD,street_name,1
111 ST,street_name,1
111 STREET,street_name,1
1119 DR,street_name,1
111TH,street_name,1
111TH ROAD,street_name,1
112 AVE,street_name,1
112 AVENUE,street_name,1
112 PLACE,street_name,1
112 ROAD,street_name,1
112 ST,street_name,1
112 ST W,street_name,1
112 STREET,street_name,1
112 TH,street_name,1
113 AVE,street_name,1
113 AVENUE,street_name,1
113 DRIVE,street_name,1
113 ROAD,street_name,1
113 STREET,street_name,1
114 AVE,street_name,1
114 AVENUE,street_name,1
114 DRIVE,street_name,1
114 PLACE,street_name,1
114 ROAD,street_name,1
114 ST,street_name,1
114 ST & 115 ST,street_name,1
114 STREET,street_name,1
114 TERRACE,street_name,1
114TH ST,street_name,1
115 AVE,street_name,1
115 AVENUE,street_name,1
115 COURT,street_name,1
115 DRIVE,street_name,1
115 ROAD,street_name,1
115 ST,street_name,1
115 ST W,street_name,1
115 STREET,street_name,1
115 TERRACE,street_name,1
1150,street_name,1
115TH ST,street_name,1
116 AVE,street_name,1
116 AVENUE,street_name,1
116 DRIVE,street_name,1
116 ROAD,street_name,1
116 ST,street_name,1
116 STREET,street_name,1
117 ROAD,street_name,1
117 ST,street_name,1
117 STREET,street_name,1
118 AVENUE,street_name,1
118 ROAD,street_name,1
118 ST,street_name,1
118 ST W,street_name,1
118 STREET,street_name,1
119,street_name,1
119 AV,street_name,1
119 AVENUE,street_name,1
119 DR,street_name,1
119 DRIVE,street_name,1
119 DRIVE -LAKEWIEW BLVD,street_name,1
119 ROAD,street_name,1
119 ST,street_name,1
119 STREET,street_name,1
1192 HYLAND BOULEVARD,street_name,1
12 -14 AV,street_name,1
12 AVE,street_name,1
12 AVENUE,street_name,1
12 ROAD,street_name,1
12 ST,street_name,1
12 ST E,street_name,1
12 ST W,street_name,1
12 STREET,street_name,1
12 W. 21ST.,street_name,1
120 AVE,street_name,1
120 AVENUE,street_name,1
120 ROAD,street_name,1
