value,label,count
Alternative Superintendency,park_playground,1
Closed School - Academy for Careers in Sports High School,park_playground,1
Closed School - Borough Academies,park_playground,1
Closed School - Bronx Literacy Center,park_playground,1
Closed School - Bushwick High School,park_playground,1
Closed School - Career Education Center,park_playground,1
Closed School - Community Preparatory High School,park_playground,1
Closed School - Community School at MS 142 MS 82,park_playground,1
Closed School - Early Childhood Center,park_playground,1
Closed School - Erasmus Campus - Business and Technology,park_playground,1
Closed School - Evander Childs High School,park_playground,1
Closed School - George W Wingate High School,park_playground,1
Closed School - George Washington High School,park_playground,1
Closed School - Harbor School International Studies Middle School,park_playground,1
Closed School - Harry Van Arsdale High School,park_playground,1
Closed School - IS 116 Rafael Hernandez,park_playground,1
Closed School - IS 158 Theodore Gathings,park_playground,1
Closed School - IS 174 Eugene T Maleska,park_playground,1
Closed School - IS 184 Rafael C Y Molina,park_playground,1
Closed School - IS 192 Piagentini-Jones,park_playground,1
Closed School - IS 222,park_playground,1
Closed School - IS 232 The Winthrop,park_playground,1
Closed School - IS 252 Arthur S Somers,park_playground,1
Closed School - IS 271 John M Coleman,park_playground,1
Closed School - IS 275,park_playground,1
Closed School - IS 275 Thelma J Hamilton,park_playground,1
Closed School - IS 280 Brooklyn Studio School,park_playground,1
Closed School - IS 391 Mahalia Jackson,park_playground,1
Closed School - IS 55 Ocean Hill Brownsville,park_playground,1
Closed School - IS 90 Mirabel Sisters,park_playground,1
Closed School - Ida B Wells,park_playground,1
Closed School - JHS 10 Frederick Douglas,park_playground,1
Closed School - JHS 113 Richard R Green,park_playground,1
Closed School - JHS 117 Francis Scott Key,park_playground,1
Closed School - JHS 135 Frank D Whalen,park_playground,1
Closed School - JHS 143 John Peter Tetard,park_playground,1
Closed School - JHS 149 Elijah Clark,park_playground,1
Closed School - JHS 164 Edward W Stitt,park_playground,1
Closed School - JHS 168 Parsons,park_playground,1
Closed School - JHS 198 Benjamin N Cardozo,park_playground,1
Closed School - JHS 258 David Ruggles,park_playground,1
Closed School - JHS 33 Mark Hopkins,park_playground,1
Closed School - JHS 49 William J Gaynor,park_playground,1
Closed School - JHS 56 Corlears,park_playground,1
Closed School - John Jay High School,park_playground,1
Closed School - MS 143 Performing and Fine Arts,park_playground,1
Closed School - MS 180 Gerald R Dever Middle School,park_playground,1
Closed School - MS 201,park_playground,1
Closed School - MS 244 Columbus Middle School,park_playground,1
Closed School - MS 320 Jackie Robinson,park_playground,1
Closed School - MS 390 Maggie L Walker,park_playground,1
Closed School - Martin Luther King High School,park_playground,1
Closed School - McKinney High School,park_playground,1
Closed School - Morris High School,park_playground,1
Closed School - NYC Vocational Training Center,park_playground,1
Closed School - New Horizons School,park_playground,1
Closed School - New School for Arts and Science,park_playground,1
Closed School - New Voices School Academy and Creative Excellence,park_playground,1
Closed School - PS 156 Benjamin Banneker,park_playground,1
Closed School - PS 162 M,park_playground,1
Closed School - PS 183 Daniel Chappie James,park_playground,1
Closed School - PS 220 Mott Haven Village School,park_playground,1
Closed School - PS 234 Twin Parks,park_playground,1
Closed School - PS 304 Casimir Pulaski,park_playground,1
Closed School - PS 314 Luis Munoz Marin,park_playground,1
Closed School - PS 39,park_playground,1
Closed School - Park West High School,park_playground,1
Closed School - Powell Middle School for Law and Social Justice,park_playground,1
Closed School - Prospect Heights High School,park_playground,1
Closed School - School for Law and Demo Leadership,park_playground,1
Closed School - Seward Park High School,park_playground,1
Closed School - Springfield Gardens High School,park_playground,1
Closed School - Theodore Roosevelt High School,park_playground,1
Closed School - Thomas Jefferson High School,park_playground,1
Closed School - Walton High School,park_playground,1
Closed School - William Howard Taft High School,park_playground,1
School - 47 The American Sign Language and English Secondary School,park_playground,1
School - 51 Avenue Academy - The Path To Academic Excellence,park_playground,1
School - A Philip Randolph Campus,park_playground,1
School - Abraham Lincoln High School,park_playground,1
School - Academy of American Studies,park_playground,1
School - Academy of Environmental Science Secondary High School,park_playground,1
School - Academy of Urban Planning,park_playground,1
School - Accion Academy,park_playground,1
School - Acorn Community High School,park_playground,1
School - Acorn High School for Social Justice,park_playground,1
School - Adlai E Stevenson High School,park_playground,1
School - Agnes Y Humphrey School for Leadership,park_playground,1
School - Albert Shanker School for Visual and Performing Arts,park_playground,1
School - Alfred E Smith Career and Technical Education High School,park_playground,1
School - All City Leadership Secondary School,park_playground,1
School - Amistad Dual Language School,park_playground,1
School - Andries Hudde,park_playground,1
School - Art and Design High School,park_playground,1
School - Astor Collegiate Academy,park_playground,1
School - August Martin High School,park_playground,1
School - Automotive High School,park_playground,1
School - Baccalaureate School for Global Education,park_playground,1
School - Banana Kelly High School,park_playground,1
School - Bayard Rustin Educational Complex,park_playground,1
School - Bayside High School,park_playground,1
School - Beach Channel High School,park_playground,1
School - Beacon High School,park_playground,1
School - Beginning With Children Charter School,park_playground,1
School - Belmont Preparatory High School,park_playground,1
School - Benjamin Banneker Academy,park_playground,1
School - Benjamin N Cardozo High School,park_playground,1
School - Boys and Girls High School,park_playground,1
School - Bread and Roses Integrated Arts High School,park_playground,1
School - Bronx Academy of Letters,park_playground,1
School - Bronx Aerospace High School,park_playground,1
School - Bronx Coalition Community High School,park_playground,1
School - Bronx Engineering and Technology Academy,park_playground,1
School - Bronx Guild,park_playground,1
School - Bronx High School for Law and Community Service,park_playground,1
School - Bronx High School for Writing and Communication Arts,park_playground,1
School - Bronx High School for the Visual Arts,park_playground,1
School - Bronx Latin,park_playground,1
School - Bronx Leadership Academy High School,park_playground,1
School - Bronx Leadership Academy II High School,park_playground,1
School - Bronx Little School,park_playground,1
School - Bronx Prep Charter School,park_playground,1
School - Bronx School for Law Government Justice,park_playground,1
School - Bronx School of Law and Finance,park_playground,1
School - Bronx Theatre High School,park_playground,1
School - Bronx Writing Academy,park_playground,1
School - Brooklyn Academy of Science and the Environment,park_playground,1
School - Brooklyn College Academy,park_playground,1
School - Brooklyn Collegiate: A College Board School,park_playground,1
School - Brooklyn High School of the Arts,park_playground,1
School - Brooklyn International High School,park_playground,1
School - Brooklyn School for Global Studies,park_playground,1
School - Brooklyn Secondary School for Collaborative Studies,park_playground,1
School - Brooklyn Studio Secondary School,park_playground,1
School - Brooklyn Technical High School,park_playground,1
School - Brownsville Diploma Plus High School,park_playground,1
School - Bushwick Community High School,park_playground,1
School - Bushwick School for Social Justice,park_playground,1
School - Business School for Entrepreneurial Studies,park_playground,1
"School - Business, Computer Applications, and Entrepreneurship High School",park_playground,1
School - Canarsie High School,park_playground,1
School - Central Park East I,park_playground,1
School - Central Park East II,park_playground,1
School - Channel View School for Research,park_playground,1
School - Chelsea Career and Technical Education High School,park_playground,1
