value,label,count
1 Centre Street,park_playground,1
100 Centre St,park_playground,1
100 Centre Street ,park_playground,1
100 Gold Street,park_playground,1
111 Centre St,park_playground,1
115 Chrystie St,park_playground,1
125 St. BID,park_playground,1
137 Centre Street ,park_playground,1
150 St,park_playground,1
2 Lafayette St ,park_playground,1
22 Reade St,park_playground,1
227th St. Plgd,park_playground,1
280 Broadway,park_playground,1
346 Broadway,park_playground,1
34th St,park_playground,1
49-51 Chambers Street ,park_playground,1
60 Lafayette St,park_playground,2
6BC Botanical Garden,park_playground,1
80 Centre St,park_playground,1
96th St Train Station (under our supervision),park_playground,2
A Better Community Garden,park_playground,1
A.R.R.O.W. Field house,park_playground,1
Abe Wolfson,park_playground,1
Addabo Park,park_playground,1
Al Oerter Rec Center ,park_playground,1
Al Smith Rec Ctr,park_playground,1
Allerton Ballfields,park_playground,1
Alley Pond Environmental,park_playground,1
"Alley Springfield, picnic and athletic",park_playground,5
Arthur Ave & E 187 St,park_playground,1
Asser Levy,park_playground,2
Asser Levy Rec Ctr,park_playground,1
Astoria Park,park_playground,1
Austin E,park_playground,1
B.C.C.A. Mini-Park and Garden,park_playground,1
Baisley Pond Park,park_playground,3
Barstow Mansion,park_playground,1
Battery Park - DSNY Partnership,park_playground,1
Battery Park City,park_playground,3
Bay Ridge,park_playground,1
Bayard St & Baxter St,park_playground,1
Bellevue South,park_playground,1
Bennett Park,park_playground,1
Bensonhurst,park_playground,1
Berry Homes ballfield,park_playground,2
Bland Playground,park_playground,1
Bleecker St. Playground,park_playground,1
Block Association #81,park_playground,1
Bloomingdale Playgound,park_playground,4
Boerum,park_playground,1
Bradley Playground,park_playground,1
Broadway & Murray St,park_playground,1
Broadway & Park Place,park_playground,1
Bronx Botanical Gardens,park_playground,4
Bronx County Courthouse,park_playground,2
Bronx Park,park_playground,1
Bronx Park Playground at Lydig,park_playground,1
Bronx Zoo,park_playground,2
Brooklyn War Memorial,park_playground,1
Brookville Park,park_playground,3
Brower,park_playground,1
Brownsville Rec Ctr,park_playground,1
Bryant Hill Community Garden,park_playground,1
Bryant Park,park_playground,1
Bryant Park - Bryant Park Corp.,park_playground,1
Burke Bridge,park_playground,1
Bushwick Inlet Field,park_playground,1
Buzz O'Rourke Playground,park_playground,1
Byrne Park,park_playground,1
Cadman Plaza,park_playground,2
Captain Tilly,park_playground,1
Carl Shurz,park_playground,1
Carrie McCracken Garden/TRUCE,park_playground,1
Carroll Park,park_playground,2
Cedar Grove Beach,park_playground,2
Centre St & Chambers St,park_playground,1
Charybdis plgd,park_playground,1
Chelsea Park,park_playground,1
Chelsea Rec Center,park_playground,1
Chelsea Waterside Park Field,park_playground,1
Chelsea Waterside Park Playground,park_playground,1
City Hall Park ,park_playground,4
City Line Park,park_playground,1
Clove lake garage complex,park_playground,2
Cloves Lake,park_playground,1
Cobble hill park,park_playground,1
Coleman Square Playground,park_playground,1
College of Mt. St. Vincent,park_playground,2
Colonel Young,park_playground,1
Columbus Park,park_playground,1
Columbus Park - DSNY Partnership,park_playground,1
Commodore Berry,park_playground,1
Concrete Plant Park,park_playground,1
Corporal Thompson Playground,park_playground,1
Courtyard West ,park_playground,1
Crack is Wack,park_playground,1
Crocheron Park,park_playground,1
Crotona Park ,park_playground,6
Culinary Kids,park_playground,1
Cunningham Ballfields,park_playground,2
Cunningham Picnic,park_playground,1
Cunningham Soccer,park_playground,1
Cunningham tennis courts,park_playground,2
Cuyler Gore Park,park_playground,1
DSNY Main Office -Worth St,park_playground,2
David Marcus Plgd,park_playground,1
DeMatti Playground,park_playground,1
Desalvio,park_playground,1
Detective Keith Williams,park_playground,1
Dumbo Brooklyn Heights,park_playground,4
E 174 St & Manor Ave,park_playground,1
E 176 St & Marmion Ave,park_playground,1
E Gun Hill Rd & Bronxwood Ave,park_playground,1
E Tremont Ave & Bruckner Blvd,park_playground,1
E Tremont Ave & University Ave,park_playground,1
Each One Teach One,park_playground,1
East River Park- DSNY partnership,park_playground,1
Echo Park,park_playground,1
Edith Community Garden (830 Elton Tenants Assoc.),park_playground,1
El Flamboyan,park_playground,1
Elmhurst Park,park_playground,1
FAB,park_playground,3
FAB ,park_playground,3
Faber Pool,park_playground,1
Family Group Garden,park_playground,1
Fashion BID,park_playground,2
Father Dumo Square,park_playground,1
Flushing Meadows Corona Park,park_playground,8
Flushing Meadows Pool,park_playground,1
Foley Square - DSNY Partnership,park_playground,2
Fordham University,park_playground,4
Forest Park,park_playground,7
Fort Greene ,park_playground,1
Fort Hamilton Sr. Center,park_playground,1
Fort Totten,park_playground,3
Fred Johnson,park_playground,1
French Charley Playground,park_playground,1
George Eagle Carr Community Garden,park_playground,1
Glendale Playground,park_playground,1
Good Shepheard's Community Group,park_playground,1
Grand Central,park_playground,1
Graniteville,park_playground,1
Greenbelt Nature Center,park_playground,1
Greenbelt Park ,park_playground,1
Greenbelt Rec Ctr,park_playground,1
Greenthumb compound,park_playground,1
Greenwich & Murray,park_playground,1
Gregory's Garden (P.S. 158 Memorial Garden,park_playground,1
Grover Cleveland,park_playground,2
HUB 3rd Ave,park_playground,1
Hamilton Fish,park_playground,1
Hamilton Fish Recreation Center,park_playground,11
Hands  & Hearts(New Lots Urban Farm),park_playground,1
Hansboro,park_playground,1
Harlem RBI – Community Group,park_playground,1
Harlem River Ballfield,park_playground,1
Harrison St Basketball Court,park_playground,1
Harry Chapin Plgd,park_playground,1
Herbal Garden,park_playground,1
High Line Park,park_playground,3
Highbridge,park_playground,1
Highline Entrance+Park,park_playground,1
Hoffman Park,park_playground,6
Hornaday Community Garden (volky Flower Garden),park_playground,1
Hudson River Park,park_playground,14
Hunt's Point,park_playground,1
Hunt's point Riverside Park- Plgd - Parks,park_playground,1
Hunts Point,park_playground,1
Imagination Playground,park_playground,1
Inwood Dyckman fields,park_playground,2
Inwood Hill,park_playground,1
Inwood Hill Nature Center,park_playground,1
Isla Verde Garden,park_playground,1
J. Hood Wright,park_playground,2
JJ Byrne,park_playground,2
Jackie Robinson,park_playground,1
Jackson Square,park_playground,1
Jacob Javits Playground,park_playground,1
Jacob Schiff,park_playground,1
Jardin de las Rosas,park_playground,1
John Jay Park,park_playground,1
John M. D'Amato Field,park_playground,1
Joyce Kilmer,park_playground,2
Juniper Valley Park,park_playground,4
Kaiser ,park_playground,1
Kelly,park_playground,1
Kingsbridge Heights Community Center,park_playground,1
Kissena Park,park_playground,5
Korean War Vet ,park_playground,1
LBH Rec Center,park_playground,1
Las Casitas Communitiy Garden,park_playground,1
"Life Spire (CRMD, Inc.)",park_playground,1
Lincoln Square,park_playground,2
Little Green Garden (3) Large lower expanse,park_playground,1
Lyons Pool,park_playground,1
MacArthur Park,park_playground,1
Maggie's Garden,park_playground,1
Mahony Playground,park_playground,1
Manhattan Beach +BBQ,park_playground,2
Marie Curie Playground,park_playground,1
Marine Park ,park_playground,1
McCaffry Plgd – Parks,park_playground,1
McCarren Park ,park_playground,8
McDonald Park,park_playground,3
McGorlick Park,park_playground,1
Metropolitan Rec Ctr ,park_playground,1
Metrotech,park_playground,1
Midland Beach,park_playground,2
Mill Pond,park_playground,1
Mobilization for Change Community Garden,park_playground,1
Morningside Park,park_playground,4
Morris Jumel Ecological Garden,park_playground,1
Mt. Prospect plgd,park_playground,1
Mullaly,park_playground,2
Museum of Natural History/Planitarium,park_playground,5
Muskrat Playground,park_playground,1
Myrtle Ave BID,park_playground,4
N. 5th St. pier,park_playground,1
New Hoe Avenue Garden,park_playground,1
New Vision Garden,park_playground,1
Niles Triangle,park_playground,1
Noble Playground,park_playground,1
Nursery,park_playground,1
Olinville,park_playground,1
"Orchard Beach picnic areas, basketball ct, Pelham playground, Nature Center, Boathouse",park_playground,5
Our Little Green Acres (Garden Eight),park_playground,1
Owen Dolan,park_playground,2
Owl's Head,park_playground,1
P.O. Serrano,park_playground,1
Palato plgd,park_playground,1
Park Row & Beekman Street,park_playground,1
Park Slope,park_playground,1
Park Slope Playground ,park_playground,1
Parks Academy,park_playground,1
Parks Council Success Garden- P.S. 175 I.S. 275,park_playground,1
Passerelle ,park_playground,1
Passerelle - Aquatics,park_playground,1
Payson Playground,park_playground,1
Pearly Gates,park_playground,1
"Pelham Bay  Ball field, north picnic area",park_playground,1
"Pelham Bay picnic, running track",park_playground,1
Pelham Fritz,park_playground,1
Phil Rizzuto Park ,park_playground,1
Pier 25,park_playground,2
Pier 25 Mini Golf & Skate Park,park_playground,1
Pier 25 Playground,park_playground,1
Pier 40,park_playground,1
Pier 40 Dog Run,park_playground,1
Pier 40 Roof,park_playground,1
Pier 45,park_playground,1
Pier 57,park_playground,1
Pier 84 (44 St Park Building),park_playground,1
Pierrepont Park,park_playground,1
Playground for All Children,park_playground,1
Pleasant Village Community Garden,park_playground,1
Pomonok Playground,park_playground,1
Prall Playground,park_playground,1
Promenade South,park_playground,1
Prospect Park ,park_playground,4
Quarry Ballfield- Parks,park_playground,1
Queens Hall of Science,park_playground,1
Queens Museum,park_playground,1
Queens Theatre,park_playground,1
