value,label,count
 CARIDAD RESTAURANT,business_name,1
"""U"" Like Chinese Restaurant",business_name,2
# 1 ISTANBUL KABAB HOUSE,business_name,2
#1 GARDEN CHINESE,business_name,1
#1 STANBUL KEBAB HOUSE,business_name,1
1 Aki Sushi,business_name,5
1 Ayama,business_name,9
1 Bite Mediterranean,business_name,3
1 Chinatown Snack,business_name,5
1 Darbar,business_name,7
10 Avenue Gourmet Deli,business_name,11
10 Avenue Wines & Liquors,business_name,9
100% Patacon Cachapa Yaroa,business_name,3
103 Grocery & Flowers,business_name,4
106 Gourmet Cafe,business_name,3
107 West,business_name,7
1081 FULTON,business_name,6
10th Ave Pizza & Café,business_name,8
10th Food Market,business_name,4
11 Avenue Food Corp,business_name,8
11 B Express,business_name,8
1109 WHITE PLAINS ROAD,business_name,1
111 Hudson Market,business_name,8
12 Avenue,business_name,1
12 CHAIRS CAFE,business_name,5
12 CORAZONES RESTAURANT & BAR,business_name,4
12 Chairs Cafe,business_name,8
1250 BROADWAY,business_name,2
137 Bar & Grill,business_name,3
138th Street Deli Grocery,business_name,6
156 TEX BAR AND LOUNGE,business_name,1
16 HANDLES,business_name,2
1694 Deli,business_name,2
16TH AVENUE FOOD,business_name,2
19 W. Bronx Deli,business_name,7
1st AVENUE GOURMET,business_name,4
1st Ave Houston Village Farm,business_name,15
1st Stop,business_name,5
2 Avenue Deli,business_name,7
2 BACI PIZZERIA,business_name,2
2 DUCK GOOSE,business_name,3
2 IN 1 RESTAURANT,business_name,2
2 Palmidas,business_name,5
2 Sisters Pizza,business_name,3
2 W. Pascal's,business_name,2
200 DYCKMAN STREET,business_name,1
200 Fifth,business_name,7
21 Homes Kitchen,business_name,6
216 GOOD JOY CHINESE RESTAURANT,business_name,9
21st  Century Gourmet,business_name,3
22 THAI CUISINE,business_name,3
22 Thai Cuisine,business_name,9
231 Street Cafe Restaurant,business_name,2
2ND Avenue Deli,business_name,9
3 ALARM DELI,business_name,1
3 BROS PIZZA,business_name,1
3 ESQUINAS RESTAURANT,business_name,3
3 Star Diner,business_name,9
31ST AVENUE GYRO,business_name,1
31ST AVENUE GYRO ,business_name,3
327 GOURMET DELI,business_name,2
35 Thai,business_name,3
374 Deli,business_name,3
388 Cafe & Deli Inc.,business_name,8
3rd Ave Deli,business_name,2
4 Food,business_name,2
5 AVENUE ASIAN TASTE,business_name,6
5 Avenue Bageltique,business_name,8
5 Avenue Market,business_name,11
5 Brothers Gourmet Market,business_name,9
5 Star,business_name,6
5 Star Restaurant,business_name,6
523 9th Avenue,business_name,6
52nd Sushi,business_name,5
537 China Wok,business_name,7
59 China,business_name,9
5oz Factory,business_name,3
620 ON CATON,business_name,5
624 KAM HAI CHINESE FOOD,business_name,6
67 Burger,business_name,9
69 COFFEE SHOP,business_name,3
69 PIZZERIA,business_name,3
