value,label,count
1199 FUTURE OF AMERICA LEARNING CENTER,school_name,1
1332 FULTON AVE DCC,school_name,1
3467 READY SET LEARN,school_name,1
"4 ANGELS DAY CARE, INC.",school_name,1
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,school_name,1
82ND STREET ACADEMICS,school_name,1
"A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",school_name,1
A CHILD'S PLACE,school_name,1
"A CHILD'S PLACE TOO, INC.",school_name,1
A HOUSE ON BEEKMAN PRESCHOOL,school_name,1
"A TO Z CENTER TOO, INC.",school_name,1
A TO Z DAY CARE CENTER,school_name,1
A. FANTIS PAROCHIAL SCHOOL,school_name,1
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,school_name,1
A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,school_name,1
"A2Z KIDZ CENTER, LLC.",school_name,1
ABC - THE GRAHAM SCHOOL,school_name,1
ABC -MERRICAT'S CASTLE SCHOOL,school_name,1
ABC / ECHO PARK ECDC,school_name,1
ABC EARLY LEARNING CENTER,school_name,1
ABC KIDDIELAND DAY CARE CENTER,school_name,1
"ABC KIDDIELAND, INC.",school_name,1
ABC PLUS,school_name,1
"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",school_name,1
ABC- CASSIDY'S PLACE,school_name,1
ABRAHAM LINCOLN HIGH SCHOOL,school_name,1
ABRAHAM LINCOLN YABC,school_name,1
ABYSSINIAN DEVELOPMENT CORP 3,school_name,1
ACADEMY FOR CAREERS IN TELEVISION AND FILM,school_name,1
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,school_name,1
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,school_name,1
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,school_name,1
ACADEMY FOR HEALTH CAREERS,school_name,1
ACADEMY FOR LANGUAGE AND TECHNOLOGY,school_name,1
ACADEMY FOR NEW AMERICANS,school_name,1
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,school_name,1
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,school_name,1
ACADEMY FOR SOCIAL ACTION,school_name,1
ACADEMY FOR SOFTWARE ENGINEERING,school_name,1
ACADEMY FOR YOUNG WRITERS,school_name,1
ACADEMY OF AMERICAN STUDIES,school_name,1
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,school_name,1
ACADEMY OF ARTS AND LETTERS,school_name,1
ACADEMY OF EXCELLENCE BELL PARK 7,school_name,1
ACADEMY OF FINANCE AND ENTERPRISE,school_name,1
ACADEMY OF HOSPITALITY AND TOURISM,school_name,1
ACADEMY OF INNOVATIVE TECHNOLOGY,school_name,1
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,school_name,1
ACADEMY OF PUBLIC RELATIONS,school_name,1
ACADEMY OF SAINT DOROTHY,school_name,1
ACADEMY OF THE CITY CHARTER SCHOOL,school_name,1
ACADEMY OF URBAN PLANNING,school_name,1
ACCION ACADEMY,school_name,1
ACE EARLY CHILDHOOD CENTER,school_name,1
ACE INTEGRATION HEAD START,school_name,1
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,school_name,1
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,school_name,1
ACHIEVEMENT FIRST BROOKLYN HIGH SCHOOL,school_name,1
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,school_name,1
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,school_name,1
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,school_name,1
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,school_name,1
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,school_name,1
ACHIEVEMENT FIRST LINDEN ELEMENTARY SCHOOL,school_name,1
ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL,school_name,1
ACHIEVEMENT FIRST UNIVERSITY PREP,school_name,1
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,school_name,1
ACORN COMMUNITY HIGH SCHOOL,school_name,1
ACTION NURSERY,school_name,1
ADAPTIVE SOLUTIONS MULTI SERVICES,school_name,1
"ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, OT, PT, & PSY) LLC",school_name,1
ADDIE MAE COLLINS 1,school_name,1
ADDIE MAE COLLINS 2,school_name,1
ADDIE MAE COLLINS 3,school_name,1
ADELPHI ACADEMY OF BROOKLYN,school_name,1
ADVENTURELAND CHILD CARE,school_name,1
AFRO AMERICAN PARENTS,school_name,1
"AFRO AMERICAN PARENTS EDUCATIONAL CENTER, INC.",school_name,1
AFRO-AMERICAN #4,school_name,1
AHRC - ASTORIA BLUE FEATHER,school_name,1
AHRC - ESTHER ASHKENAZ CENTRAL PARK,school_name,1
AHRC - FRANCIS OF PAOLA,school_name,1
AHRC - HOWARD HABER EARLY LEARNING CENTER,school_name,1
AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,school_name,1
AIM HIGH - 83 MARL RD.,school_name,1
AIM HIGH - JFKIDS,school_name,1
AIM HIGH - RISE AND SHINE DAYCARE,school_name,1
AIM HIGH CHILDRENS SERVICES,school_name,1
AIM HIGH LEADERSHIP ACADEMY,school_name,2
AIM HIGH LEADERSHIP ACADEMY CENTER TOO,school_name,1
AIM HIGH- WOODBINE,school_name,1
AL MADINAH SCHOOL,school_name,1
AL MADINAH SCHOOL SITE 2,school_name,1
"AL MADINAH SCHOOL, INC.",school_name,1
AL-IHSAN ACADEMY,school_name,1
AL-IHSAN ACADEMY 3,school_name,1
AL-IMAN SCHOOL,school_name,1
AL-MAMOOR SCHOOL,school_name,1
ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,school_name,1
ALEENE LOGAN DAY CARE,school_name,1
ALFRED E. SMITH CAMPUS YABC,school_name,1
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,school_name,1
ALL CHILDREN'S CHILD CARE (24TH ST),school_name,1
ALL CHILDREN'S CHILD CARE (31ST AVE),school_name,1
ALL CITY LEADERSHIP SECONDARY SCHOOL,school_name,1
ALL MY CHILDREN,school_name,1
ALL MY CHILDREN # 11,school_name,1
ALL MY CHILDREN DAY CARE (69TH AVENUE),school_name,1
ALL MY CHILDREN DAY CARE (MAYFIELD),school_name,1
ALL MY CHILDREN DAY CARE 10,school_name,1
