value,label,count
1 BAY 23 STREET,address,1
1 BEAVER STREET,address,1
1 BOERUM PLACE,address,2
1 BOWLING GREEN,address,4
1 EAST 13 STREET,address,2
1 EAST 14 STREET,address,2
1 EAST 19 STREET,address,1
1 EAST 26 STREET,address,2
1 EAST 27 STREET,address,1
1 EAST 35 STREET,address,1
1 EAST 37 STREET,address,1
1 EAST 43 STREET,address,5
1 EAST 47 STREET,address,2
1 EAST 53 STREET,address,2
1 EAST 55 STREET,address,2
1 EAST 59 STREET,address,2
1 ELM PLACE,address,3
1 GALLATIN PLACE,address,3
1 HEGEMAN AVENUE,address,1
1 HOYT STREET,address,2
1 HUGH J GRANT CIRCLE,address,1
1 KING STREET,address,1
1 LINCOLN PLAZA,address,2
1 NEVINS STREET,address,2
1 OLIVER STREET,address,1
1 PROSPECT PARK SOUTHWEST,address,1
1 WASHINGTON STREET,address,1
1 WATER STREET,address,2
1 WEST 106 STREET,address,2
1 WEST 12 STREET,address,1
1 WEST 125 STREET,address,2
1 WEST 16 STREET,address,1
1 WEST 18 STREET,address,1
1 WEST 19 STREET,address,1
1 WEST 20 STREET,address,1
1 WEST 21 STREET,address,1
1 WEST 25 STREET,address,2
1 WEST 28 STREET,address,1
1 WEST 34 STREET,address,2
1 WEST 42 STREET,address,2
1 WEST 45 STREET,address,2
1 WEST 47 STREET,address,4
1 WEST 77 STREET,address,1
10 EAST 21 STREET,address,1
10 PARK AVENUE,address,2
10 TOMPKINS AVENUE,address,1
10 VERMILYEA AVENUE,address,1
10 WEST 25 STREET,address,2
10 WEST 32 STREET,address,1
100 5 AVENUE,address,2
100 7 AVENUE,address,1
100 BROADWAY,address,1
100 CENTRE STREET,address,2
100 DELANCEY STREET,address,1
100 EAST 26 STREET,address,1
100 EAST 29 STREET,address,1
100 EAST 40 STREET,address,2
100 EAST 49 STREET,address,1
100 EAST 52 STREET,address,2
100 EAST 60 STREET,address,1
100 EAST 88 STREET,address,1
100 GOLD STREET,address,2
100 HUGH J GRANT CIRCLE,address,1
100 KING STREET,address,1
100 SMITH STREET,address,1
100 ST NICHOLAS AVENUE,address,1
100 WASHINGTON PLACE,address,1
100 WEST 10 STREET,address,3
100 WEST 115 STREET,address,2
100 WEST 12 STREET,address,1
100 WEST 14 STREET,address,1
100 WEST 33 STREET,address,2
100 WEST 41 STREET,address,2
100 WEST 44 STREET,address,1
100 WEST 45 STREET,address,1
100 WEST 47 STREET,address,2
100 WEST 51 STREET,address,2
100 WEST 53 STREET,address,2
100 WEST 56 STREET,address,2
100 WEST 79 STREET,address,2
100 WEST 90 STREET,address,2
100 WEST 92 STREET,address,1
100 WEST 96 STREET,address,2
100-02 ROCKAWAY BOULEVARD,address,1
100-23 QUEENS BOULEVARD,address,1
100-89 76 STREET,address,1
1000 3 AVENUE,address,2
1000 6 AVENUE,address,2
1000 SURF AVENUE,address,1
1000 SUTTER AVENUE,address,1
1001 6 AVENUE,address,1
1007 BRIGHTON BEACH AVENUE,address,1
101 1 AVENUE,address,1
101 6 AVENUE,address,1
101 7 AVENUE,address,1
101 BARCLAY STREET,address,1
101 EAST 10 STREET,address,1
