value,label,count
1 Bronx River Parkway,address,1
1 Centre Street,address,1
1 East 104th Street,address,2
1 East 29th Street,address,1
"1 East 53rd Street, 10th Floor",address,1
"1 East 53rd Street, 11th Floor",address,1
"1 East 53rd Street, 3rd Floor",address,1
"1 East 53rd Street, 5th Floor",address,1
"1 East 53rd Street, 6th Floor",address,1
1 East 70th Street,address,1
1 Forest Park,address,1
"1 Penn Plaza, #6210",address,1
"1 Union Square South, Ste. 17M",address,1
1 West 89th Street,address,1
"10 East 18th Street, #3",address,1
10 Lincoln Center Plaza,address,1
"10 Park Terrace East, Ste. 4-C",address,1
"10 Richman Plaza, Apt. 23A",address,1
10 River Terrace,address,1
10 St. Paul Place,address,1
10 West 68th Street,address,1
"100 Bleecker Street, Apt. 8F",address,1
100 Bogart Street,address,1
100 Cabrini Blvd. #24,address,1
"100 Newel Street, #2R",address,1
100 Old Slip,address,1
"100 Saint Mark's Place, Apt. 7",address,1
100 Summit Street,address,1
100 Washington Square East,address,1
100 Washington Street,address,1
"100 West 23rd Street, Fifth Floor",address,1
100-01 Northern Boulevard,address,1
1000 Dean Street Suite 232,address,1
1000 Fifth Avenue,address,1
1000 Richmond Terrace,address,4
"1000 Richmond Terrace, Box 2-8",address,1
"1000 Richmond Terrace, Building G",address,1
"1000 Richmond Terrace, Building M",address,1
1000 Washington Avenue,address,1
1001-1003 Surf Avenue,address,1
101 Avenue D,address,1
101 Clark Street,address,1
"101 Lafayette Avenue, #17B",address,1
101 West 23rd St,address,1
"101 West 31st Street, 6th Floor",address,1
1011 First Avenue,address,1
102 Diwight Street Suite 2A,address,1
"102 Dwight Street, Apt. 2A",address,1
102 Oak Street,address,1
1022 Pacific St.,address,1
103 Charlton Street,address,1
"103 East 125th Street, 7th floor",address,1
103 Orchard Street,address,1
"104 Greenpoint Avenue, #4L",address,1
104 Montgomery St.,address,1
"104 West 119th Street, Suite 3",address,1
"104 West 27th Street, 12th floor",address,1
1040 Grand Concourse,address,1
1040 Jackson Avenue,address,1
"1040 Metropolitan Avenue, Third Floor",address,1
"1041 Broadway, Apt. 3",address,1
1047 Amsterdam Avenue,address,1
105 East 22nd Street,address,1
105 Mosco Street,address,1
106 Calyer Street,address,1
106 West 29th Street,address,1
1068 Fulton Street,address,1
"107 Suffolk Street, #300",address,1
"107 Suffolk Street, #305",address,1
"107 Suffolk Street, #35",address,1
"107 Suffolk Street, 2nd Floor",address,1
"107 Suffolk Street, Apt. 213-A",address,1
"107 Suffolk Street, Room 302",address,1
"107 Suffolk Street, Room 312",address,1
"107 Suffolk Street, Room 411",address,1
"107 Suffolk Street, Ste. 310",address,1
"107 Suffolk Street, Ste. 311",address,1
"107 Suffolk Street, Studio 307",address,1
107 West 130th Street,address,1
