value,label,count
47 The American Sign Language and English Secondary School,school_name,1
A. Philip Randolph Campus High School,school_name,1
ACADEMY FOR HEALTH CAREERS,school_name,1
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,school_name,1
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,school_name,1
ACORN Community High School,school_name,1
Abraham Lincoln High School,school_name,1
Abraham Lincoln Yabc,school_name,1
Academy for Careers in Television and Film,school_name,1
Academy for College Preparation and Career Explora,school_name,1
Academy for College Preparation and Career Exploration: A College Board School,school_name,1
Academy for Conservation and the Environment,school_name,1
Academy for Environmental Leadership,school_name,1
Academy for Language and Technology,school_name,1
Academy for New Americans,school_name,1
Academy for Scholarship and Entrepreneurship: A Co,school_name,1
Academy for Scholarship and Entrepreneurship: A College Board School,school_name,1
Academy for Social Action: A College Board School,school_name,2
Academy for Young Writers,school_name,1
Academy of American Studies,school_name,1
Academy of Applied Mathematics and Technology,school_name,1
Academy of Business and Community Development,school_name,2
Academy of Collaborative Education,school_name,1
Academy of Environmental Science Secondary High School,school_name,1
Academy of Finance and Enterprise,school_name,1
Academy of Hospitality and Tourism,school_name,1
Academy of Innovative Technology,school_name,1
Academy of Medical Technology: A College Board Sch,school_name,1
Academy of Medical Technology: A College Board School,school_name,1
Academy of Public Relations,school_name,1
Academy of Urban Planning,school_name,1
Accion Academy,school_name,1
Achievement First Bushwick Charter School,school_name,1
Achievement First East New York School,school_name,1
Achievement First Endeavor Charter School,school_name,1
Achievement First- Crown Heights Charter School,school_name,2
Agnes Y. Humphrey School for Leadership,school_name,1
Albert Shanker School for Visual and Performing Ar,school_name,1
Alfred E. Smith Campus YABC,school_name,1
Alfred E. Smith Career and Technical Education High School,school_name,1
All City Leadership Secondary School,school_name,2
Amber Charter School,school_name,1
Amistad Dual Language School,school_name,1
Ampark Neighborhood,school_name,1
Andries Hudde,school_name,1
"Antonia Pantoja Preparatory Academy, A College Boa",school_name,1
"Antonia Pantoja Preparatory Academy, A College Board School",school_name,1
"Archimedes Academy for Math, Science and Technolog",school_name,1
"Archimedes Academy for Math, Science and Technology Applications",school_name,1
Art and Design High School,school_name,1
Arts & Media Preparatory Academy,school_name,1
Arturo A. Schomburg Satellite Academy Bronx,school_name,1
Aspirations Diploma Plus High School,school_name,1
Aspire Preparatory Middle School,school_name,1
Astor Collegiate Academy,school_name,1
August Martin High School,school_name,1
Automotive High School,school_name,1
Automotive High School Yabc,school_name,1
Aviation Career & Technical Education High School,school_name,1
BATTERY PARK CITY SCHOOL,school_name,1
BELL Academy,school_name,1
BRONX BRIDGES HIGH SCHOOL,school_name,1
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,school_name,1
BUSINESS OF SPORTS SCHOOL,school_name,1
Baccalaureate School for Global Education,school_name,2
"Ballet Tech, NYC Public School for Dance",school_name,1
Banana Kelly High School,school_name,1
Bard High School Early College,school_name,1
Bard High School Early College II,school_name,1
Baruch College Campus High School,school_name,1
Bayard Rustin Educational Complex,school_name,1
Bayside High School,school_name,1
Beach Channel High School,school_name,1
Beacon High School,school_name,1
Bedford Academy High School,school_name,1
Bedford Stuyvesant Collegiate Charter School,school_name,1
Bedford Stuyvesant New Beginnings Charter School,school_name,1
Bedford Stuyvesant Preparatory High School,school_name,1
Beginning With Children Charter School,school_name,1
Believe Northside Charter High School,school_name,1
Believe Southside Charter High School,school_name,1
Belmont Preparatory High School,school_name,1
Benjamin Banneker Academy,school_name,1
Benjamin N. Cardozo High School,school_name,1
Boys and Girls High School,school_name,1
Brandeis Yabc,school_name,1
Bread & Roses Integrated Arts High School,school_name,1
Brighter Choice Community School,school_name,1
Bronx Academy of Health Careers,school_name,1
Bronx Academy of Letters,school_name,2
Bronx Academy of Promise Charter School,school_name,1
Bronx Center for Science and Mathematics,school_name,1
Bronx Charter School for Arts,school_name,1
Bronx Charter School for Better Learning,school_name,1
Bronx Charter School for Children,school_name,1
