value,label,count
107th Street Pier,park_playground,1
115th Street Playground,park_playground,1
132 St Block Association Park,park_playground,1
146 St Playground,park_playground,1
174th St Playground,park_playground,1
35 Playground,park_playground,1
6th St and Ave B Community Garden,park_playground,1
79th Street Boat Basin Marina,park_playground,1
A Chiarantano Park,park_playground,1
A Philip Randolph Senior Center,park_playground,1
Abe Lincoln,park_playground,1
Abe Stark Senior Center,park_playground,1
Abingdon Square,park_playground,1
Abyssinian Tot Lot,park_playground,1
Action For The Retired Community (ARC) Fort Washington Senior Center,park_playground,1
Addabbo Playground,park_playground,1
Admiral Farragut Playground,park_playground,1
Aesop Playground,park_playground,1
Aging In America (AIA) Bay Eden Senior Center,park_playground,1
Aging In America (AIA) Community Services Senior Center,park_playground,1
Agnes Haywood Playground,park_playground,1
Albert J Parham Playground,park_playground,1
Alexander Hamilton Playground,park_playground,1
Alfred E Smith Park,park_playground,1
Alice Austen House and Park,park_playground,1
Alice Kornegay,park_playground,1
Allerton Playground,park_playground,1
Alley Pond Park,park_playground,1
Alley Pond Park - Horatio Playground,park_playground,1
Alley Pond Park - Nature Center and Trails,park_playground,1
Alley Pond Park - Oakland Lake,park_playground,1
Alley Pond Park - Wild Flower Meadow,park_playground,1
Allison Park,park_playground,1
Almeda Playground - PS 42,park_playground,1
Alstyne Playground,park_playground,1
Alternative Superintendency,park_playground,1
Ambrosini Field,park_playground,1
American Playground,park_playground,1
Amersfort Park,park_playground,1
Andrews Playground,park_playground,1
Andries Playground,park_playground,1
Angelo Campanero Playground,park_playground,1
Anibal Aviles Playground,park_playground,1
Annadale Green,park_playground,1
Annandale Playground - PS 175,park_playground,1
Annunciation Park,park_playground,1
Aqueduct Walk,park_playground,1
Aqueduct Walk - 227 Street Playground,park_playground,1
Aqueduct Walk - Allerton Fields In Bronx Park,park_playground,1
Aqueduct Walk - Aqueduct Lands Playground,park_playground,1
Aqueduct Walk - Ben Abrams Playground,park_playground,1
Aqueduct Walk - Brady Playground,park_playground,1
Aqueduct Walk - Bronx Park,park_playground,1
Aqueduct Walk - Bronx River Parkway East,park_playground,1
Aqueduct Walk - Bronx River Parkway West,park_playground,1
Aqueduct Walk - French Charley Playground,park_playground,1
Aqueduct Walk - Frisch Field In Bronx Park,park_playground,1
Aqueduct Walk - Olinville Playground,park_playground,1
Aqueduct Walk - Parque De Los Ninos Playground,park_playground,1
Aqueduct Walk - River Park,park_playground,1
Aqueduct Walk - Rosewood Playground,park_playground,1
Aqueduct Walk - Waring Playground,park_playground,1
Arcilla Playground,park_playground,1
Arden Woods,park_playground,1
Arrochar Friendship Club Senior Center,park_playground,1
Arrochar Playground,park_playground,1
Arthur Von Briesen Park,park_playground,1
Arverne Playground,park_playground,1
Asphalt Green,park_playground,1
Asser Levy - Asser Levy Playground,park_playground,1
Asser Levy Park,park_playground,1
Asser Levy Recreation Center,park_playground,1
