value,label,count
1 12 ST EXTENSION,address,1
1 BEACH STREET,address,1
1 BEDFORD PARK BOULEVARD,address,1
1 BOERUM PLACE,address,1
1 BOUCK COURT,address,1
1 BRIGHTON 10 LANE,address,1
1 ELDRIDGE STREET  #OFFCA,address,1
1 ELDRIDGE STREET  #OFFCB,address,1
1 ELDRIDGE STREET  #STORA,address,1
1 ELDRIDGE STREET  #STORB,address,1
1 ELTON STREET,address,1
1 GREENE AVENUE,address,1
1 HAMILTON PLACE,address,1
1 JOHN STREET  #C,address,1
1 JOHN STREET  #P,address,1
1 LEROY STREET  #1A,address,1
1 LEROY STREET  #1B,address,1
1 LEROY STREET  #1C,address,1
1 POWERS STREET  #101,address,1
1 POWERS STREET  #210,address,1
1 REEDS MILL LANE,address,1
1 ROCKWELL PLACE  #COMM,address,1
1 SPENCER COURT,address,1
1 ST FELIX STREET,address,1
1 ST NICHOLAS AVENUE,address,1
1 ST NICHOLAS TERRACE  #28,address,1
1 VAN STREET,address,1
1 WEST 183 STREET,address,1
1 WEST 37 STREET,address,1
1 WOODSIDE AVENUE,address,1
1-01 27 AVENUE,address,1
1-09 27 AVENUE,address,1
1-24 MALBA DRIVE,address,1
10 BALFOUR STREET,address,1
10 BEADEL STREET,address,1
10 BEDFORD AVENUE,address,1
10 BENNETT STREET,address,1
10 BRICK COURT,address,1
10 DEVOE STREET,address,1
10 DOYERS STREET,address,1
10 EAST 78 STREET  #14,address,1
10 EAST 8 STREET,address,1
10 ELIZABETH STREET,address,1
10 ERASMUS STREET,address,1
10 HARRISON STREET,address,1
10 HOPE STREET,address,1
10 HURON STREET,address,1
10 MESEROLE STREET,address,1
10 ST FELIX STREET,address,1
10 TOMPKINS AVENUE,address,1
10 WEST 46 STREET  #16,address,1
10 WEST 46 STREET  #3B,address,1
10 WEST 46 STREET  #3C,address,1
10 WEST 55 STREET,address,1
10 WEST 56 STREET,address,1
10 WEST 65 STREET,address,1
10 WHITWELL PLACE,address,1
10-01 37 AVENUE,address,1
10-01 43 AVENUE,address,1
10-02 34 AVENUE,address,1
10-03 40 AVENUE,address,1
10-11 NAMEOKE STREET LF,address,1
10-12 46 ROAD,address,1
10-16 BEACH 19 STREET,address,1
10-26 BEACH 20 STREET,address,1
10-32 BEACH 21 STREET,address,1
10-37 47 AVENUE,address,1
10-37 BEACH 9 STREET,address,1
10-37 JACKSON AVENUE,address,1
10-49 47 ROAD,address,1
10-51 WYCKOFF AVENUE,address,1
10-63 WYCKOFF AVENUE,address,1
10-69 WYCKOFF AVENUE,address,1
10-74 BEACH 22 STREET,address,1
100 1 PLACE,address,1
100 CANAL STREET,address,1
100 CLINTON STREET,address,1
100 EAST 149 STREET,address,1
100 EAST 92 STREET  #61,address,1
100 EDGEWATER STREET,address,1
100 EMERSON PLACE,address,1
100 FT WASHINGTON AVENUE,address,1
100 HUNTINGTON STREET,address,1
100 METROPOLITAN AVENUE,address,1
100 RIVERSIDE BOULEVARD  #COM 4,address,1
100 SOUTH BRIDGE STREET,address,1
100 ST MARYS AVENUE,address,1
100 STREET,address,1
100 THATFORD AVENUE,address,1
100 WEST 121 STREET,address,1
100 WEST 142 STREET,address,1
100 WEST 39 STREET  #RETL,address,1
100 WEST KINGSBRIDGE ROAD,address,1
100 WILLIAMS AVENUE,address,1
100 WOODRUFF AVENUE  #90,address,1
100-03 NORTH CONDUIT AVENUE,address,1
100-03 ROCKAWAY BEACH BOULEVARD,address,1
100-04 ROOSEVELT AVENUE,address,1
100-08 ROOSEVELT AVENUE,address,1
100-10 LIBERTY AVENUE,address,1
100-10 ROOSEVELT AVENUE,address,1
100-12 NORTHERN BOULEVARD,address,1
100-15 94 AVENUE,address,1
100-15 DITMARS BOULEVARD,address,1
100-17 NORTHERN BOULEVARD,address,1
100-20 40 ROAD,address,1
100-25 91 AVENUE,address,1
100-25 QUEENS BOULEVARD  #102,address,1
1000 BROADWAY,address,1
1000 CONEY ISLAND AVENUE,address,1
1000 MORRIS AVENUE,address,1
10009 GLENWOOD ROAD,address,1
1001 40 STREET,address,1
1001 ALLERTON AVENUE,address,1
1001 COLUMBUS AVENUE,address,1
10013 FOSTER AVENUE,address,1
1002 AVENUE X,address,1
1002 BAY RIDGE AVENUE,address,1
1002 BUSHWICK AVENUE,address,1
1002 FULTON STREET,address,1
1003 UTICA AVENUE,address,1
1004 2 AVENUE,address,1
1004 BROOK AVENUE,address,1
1004 FLUSHING AVENUE,address,1
1005 58 STREET,address,1
1005 GREENE AVENUE,address,1
1005 PUTNAM AVENUE,address,1
1006 39 STREET,address,1
1006 GATES AVENUE,address,1
1007 LEXINGTON AVENUE,address,1
1007 UNION AVENUE,address,1
1008 EAST 49 STREET,address,1
1008 EAST GUN HILL ROAD,address,1
1009 CASTLETON AVENUE,address,1
1009 WILLOUGHBY AVENUE,address,1
101 ALLEN STREET  #1B,address,1
101 ALLEN STREET  #1D,address,1
101 AVENUE,address,2
101 GUERNSEY STREET,address,1
101 HAMILTON AVENUE,address,1
101 MOORE STREET,address,1
101 MORGAN AVENUE,address,1
101 MOTT STREET,address,1
101 ORIENTAL BOULEVARD,address,1
101 PROSPECT PARK SOUTHWEST  #1,address,1
101 ROGERS AVENUE,address,1
101 SACKETT STREET,address,1
101 STEUBEN STREET,address,1
101 VARET STREET,address,1
101 VISITATION PLACE,address,1
101 WELDON STREET,address,1
101 WEST 24 STREET  #CU,address,1
101 WEST 79 STREET  #COM C,address,1
101 WEST 9 STREET,address,1
101 WILLIAMS AVENUE,address,1
101-01 37 AVENUE,address,1
101-01 80 STREET,address,1
101-01 SPRINGFIELD BOULEVARD,address,1
101-05 37 AVENUE,address,1
101-07 JAMAICA AVENUE,address,1
101-07 ROOSEVELT AVENUE,address,1
101-08 97 AVENUE,address,1
101-09 JAMAICA AVENUE,address,1
101-12 78 STREET,address,1
101-14 99 STREET,address,1
101-16 101 AVENUE,address,1
101-19 ROCKAWAY BEACH BOULEVARD,address,1
101-20 LIBERTY AVENUE,address,1
101-21 94 AVENUE,address,1
101-21 JAMAICA AVENUE,address,1
101-22 45 AVENUE,address,1
101-23 44 AVENUE,address,1
101-32 99 STREET,address,1
101-42 99 STREET,address,1
101-50 101 STREET,address,1
101-53 100 STREET,address,1
101-58 57 STREET,address,1
101-68 99 STREET,address,1
1010 EAST 174 STREET,address,1
1010 OCEAN AVENUE,address,1
1012 FLATBUSH AVENUE,address,1
1012 RUTLAND ROAD,address,1
1013 CHURCH AVENUE,address,1
1013 CLOSE AVENUE,address,1
1014 55 STREET,address,1
1014 CASTLETON AVENUE,address,1
1014 EAST 226 STREET,address,1
1015 PUTNAM AVENUE,address,1
1016 CASTLETON AVENUE,address,1
1016 EAST 13 STREET,address,1
1016 PRESIDENT STREET,address,1
1017 AVENUE OF THE AMERICAS,address,1
1017 MANHATTAN AVENUE,address,1
1017 WINTHROP STREET  #4,address,1
1018 CASTLETON AVENUE,address,1
1018 MANHATTAN AVENUE,address,1
1018 PACIFIC STREET,address,1
1019 CHURCH AVENUE,address,1
1019 PUTNAM AVENUE,address,1
1019 SOUTHERN BOULEVARD  #    1,address,1
1019 SOUTHERN BOULEVARD  #    2,address,1
102 1 AVENUE  #STORE,address,1
102 1 PLACE,address,1
102 BELMONT AVENUE,address,1
102 DOBBIN STREET,address,1
102 FOSTER AVENUE,address,1
102 GREENWICH STREET,address,1
102 HOWARD AVENUE,address,1
102 HUNTINGTON STREET,address,1
102 MARTENSE STREET  #25,address,1
102 PENN STREET,address,1
102 SUFFOLK STREET,address,1
102 WEST 71 STREET,address,1
102-01 JAMAICA AVENUE,address,1
102-01 NORTHERN BOULEVARD,address,1
102-03 41 AVENUE,address,1
102-03 44 AVENUE,address,1
102-03 NORTHERN BOULEVARD,address,1
102-07 METROPOLITAN AVENUE,address,1
102-07 ROOSEVELT AVENUE,address,1
102-07B 44 AVENUE,address,1
102-08 37 AVENUE,address,1
102-09 METROPOLITAN AVENUE,address,1
102-11 43 AVENUE,address,1
102-12 ROOSEVELT AVENUE,address,1
102-13 42 AVENUE,address,1
102-14 NORTHERN BOULEVARD,address,1
102-15 NORTHERN BOULEVARD,address,1
102-18 JAMAICA AVENUE,address,1
102-18 NORTHERN BOULEVARD,address,1
102-20A 159 ROAD,address,1
102-21 JAMAICA AVENUE,address,1
102-21 ROOSEVELT AVENUE,address,1
102-29 QUEENS BOULEVARD,address,1
102-30 JAMAICA AVENUE,address,1
102-30 QUEENS BOULEVARD  #PROF1,address,1
102-30 QUEENS BOULEVARD  #PROF2,address,1
102-30 QUEENS BOULEVARD  #STOR1,address,1
102-30 QUEENS BOULEVARD  #STOR5,address,1
102-30 ROOSEVELT AVENUE,address,1
102-32 CORONA AVENUE  #    2,address,1
102-32 JAMAICA AVENUE,address,1
102-33 ATLANTIC AVENUE,address,1
102-34 JAMAICA AVENUE,address,1
102-38 134 STREET,address,1
102-40 221 STREET,address,1
102-58 43 AVENUE,address,1
1020 60 STREET,address,1
1020 CASTLETON AVENUE,address,1
1020 CYPRESS AVENUE,address,1
1020 LEXINGTON AVENUE,address,1
1020 OCEAN PARKWAY,address,1
1020 WALTON AVENUE,address,1
1021 61 STREET,address,1
1021 AVENUE ST JOHN,address,1
1021 GARRISON AVENUE,address,1
1021 POST AVENUE,address,1
1023 CHURCH AVENUE,address,1
1024 MONTGOMERY STREET,address,1
1025 BOARDWALK WEST,address,1
1025 CHURCH AVENUE,address,1
1025 ROGERS AVENUE,address,1
1026 PACIFIC STREET,address,1
1026 UTICA AVENUE,address,1
1027 ATLANTIC AVENUE,address,1
1027 BOARDWALK WEST,address,1
1027 EAST GUN HILL ROAD,address,1
1029 60 STREET,address,1
1029 BEDFORD AVENUE,address,1
103 20 STREET,address,1
103 AVENUE F,address,1
103 EAST 29 STREET,address,1
103 EAST BROADWAY,address,1
103 KING STREET,address,1
103 LINCOLN AVENUE,address,1
103 LOMBARDY STREET,address,1
103 MAC DOUGAL STREET,address,1
103 MOTT STREET  #4,address,1
103 MOTT STREET  #7,address,1
103 NORMAN AVENUE,address,1
103 POWELL STREET,address,1
103 SNEDIKER AVENUE,address,1
103 WEST 162 STREET,address,1
103-02 ROCKAWAY BOULEVARD,address,1
103-03 METROPOLITAN AVENUE,address,1
103-07 ROCKAWAY BOULEVARD,address,1
103-10 ASTORIA BOULEVARD,address,1
103-12 169 STREET,address,1
103-12 SPRINGFIELD BOULEVARD,address,1
103-15 100 STREET,address,1
103-15 MERRICK BOULEVARD,address,1
103-17 101 AVENUE,address,1
103-19 MERRICK BOULEVARD,address,1
103-22 NORTHERN BOULEVARD,address,1
103-24 99 STREET,address,1
103-24 NORTHERN BOULEVARD,address,1
1030 PROSPECT AVENUE,address,1
1032 INTERVALE AVENUE,address,1
1032 NOSTRAND AVENUE,address,1
1032 UTICA AVENUE,address,1
1033 CAULDWELL AVENUE,address,1
1034 RUTLAND ROAD,address,1
1034-38 ROCKAWAY AVENUE,address,1
1035 61 STREET,address,1
1035 EAST 83 STREET,address,1
1035 HALL PLACE,address,1
1035 RUTLAND ROAD,address,1
1035 WILLMOHR STREET  #17,address,1
1036 INTERVALE AVENUE,address,1
1036 PROSPECT AVENUE,address,1
1037 61 STREET,address,1
1037 OGDEN AVENUE,address,1
1038 FAILE STREET,address,1
1038 MORRIS AVENUE,address,1
1039 38 STREET,address,1
1039 INTERVALE AVENUE,address,1
1039 SIMPSON STREET,address,1
104 CHARLTON STREET  #1W,address,1
104 EAST 40 STREET  #200,address,1
104 EAST 40 STREET  #300,address,1
104 EAST 40 STREET  #500,address,1
104 EAST 40 STREET  #600,address,1
104 EAST 40 STREET  #601,address,1
104 EAST 40 STREET  #602,address,1
104 EAST 40 STREET  #603,address,1
104 EAST 40 STREET  #903,address,1
104 GOLD STREET,address,1
104 GRAND STREET,address,1
104 GREEN STREET,address,1
104 HICKS STREET  #14,address,1
104 JAMAICA AVENUE,address,1
104 KENILWORTH PLACE,address,1
104 READE STREET  #COM 1,address,1
104 SOUTH 2 STREET,address,1
104 STOCKTON STREET,address,1
104 VARICK STREET,address,1
104 WEST 131 STREET,address,1
104-01 FRANCIS LEWIS BOULEVARD,address,1
104-10 37 AVENUE,address,1
104-11 122 STREET,address,1
104-11 ROOSEVELT AVENUE,address,1
104-12 43 AVENUE,address,1
104-14 127 STREET,address,1
104-14 LIVERPOOL STREET,address,1
104-14 NORTHERN BOULEVARD,address,1
104-15 CORONA AVENUE,address,1
104-17 CORONA AVENUE,address,1
104-18 42 AVENUE,address,1
104-23 SPRINGFIELD BOULEVARD,address,1
104-26 JAMAICA AVENUE,address,1
104-27 CORONA AVENUE,address,1
104-29 ROOSEVELT AVENUE,address,1
104-32 CORONA AVENUE  #1A,address,1
104-35 102 STREET,address,1
104-37 ATLANTIC AVENUE,address,1
104-37 LEFFERTS BOULEVARD,address,1
104-41 ATLANTIC AVENUE,address,1
104-50 43 AVENUE,address,1
104-65 ATLANTIC AVENUE,address,1
1040 BOYNTON AVENUE,address,1
1040 EAST 84 STREET,address,1
1040 MORRIS PARK AVENUE,address,1
1040 ROCKAWAY AVENUE,address,1
1040 RUTLAND ROAD,address,1
1040 SHERMAN AVENUE,address,1
1040 WASHINGTON AVENUE,address,1
1041 FLUSHING AVENUE,address,1
1041 SURF AVENUE,address,1
1042 LOWELL STREET,address,1
1042 PRESIDENT STREET,address,1
1043 STERLING PLACE  #16,address,1
1044 CYPRESS AVENUE,address,1
1045 39 STREET,address,1
1045 EASTERN PARKWAY,address,1
1046 LOWELL STREET,address,1
1047 FLUSHING AVENUE  #6,address,1
1047 SURF AVENUE,address,1
1048 CASTLE HILL AVENUE,address,1
105 14 STREET,address,1
105 3 AVENUE  #COM1,address,1
105 3 AVENUE  #COM2,address,1
105 3 AVENUE  #COM3,address,1
105 APOLLO STREET,address,1
105 CENTRAL AVENUE,address,1
105 EAST 102 STREET,address,1
105 EAST 177 STREET,address,1
105 FEATHERBED LANE,address,1
105 JAMAICA AVENUE,address,1
105 MAC DOUGAL STREET,address,1
105 MONTROSE AVENUE,address,1
105 NEPTUNE AVENUE  #1,address,1
105 VANDERVEER STREET,address,1
105 WEST 77 STREET  #A,address,1
105 WORTMAN AVENUE,address,1
105-02 101 AVENUE,address,1
105-02 ASTORIA BOULEVARD,address,1
105-04 53 AVENUE,address,1
105-04 LIBERTY AVENUE,address,1
105-07 LIBERTY AVENUE,address,1
105-07 METROPOLITAN AVENUE,address,1
105-09 177 STREET,address,1
105-09 LIBERTY AVENUE,address,1
105-10 53 AVENUE,address,1
105-11 LIBERTY AVENUE,address,1
105-11 NORTHERN BOULEVARD,address,1
105-12 101 AVENUE,address,1
105-14 ASTORIA BOULEVARD,address,1
105-18 CROSS BAY BOULEVARD,address,1
105-19 ASTORIA BOULEVARD,address,1
105-20 GERARD PLACE,address,1
105-20 LIBERTY AVENUE,address,1
105-20 SUTPHIN BOULEVARD,address,1
105-21 LIBERTY AVENUE,address,1
105-22 JAMAICA AVENUE,address,1
105-24 CROSS BAY BOULEVARD,address,1
105-24 JAMAICA AVENUE,address,1
105-25 148 STREET,address,1
105-26 JAMAICA AVENUE,address,1
105-30 TUCKERTON STREET,address,1
1050 AVENUE OF THE AMERICAS,address,1
1050 HANCOCK STREET,address,1
1050 JEFFERSON AVENUE,address,1
1050 PARK PLACE  #1,address,1
1050 WILLMOHR STREET  #102,address,1
1051A LIBERTY AVENUE,address,1
1052 JEFFERSON AVENUE,address,1
1052 SOUTHERN BOULEVARD,address,1
1052 WILLOUGHBY AVENUE,address,1
1053 60 STREET,address,1
1053 64 STREET  #12,address,1
1053 DAHILL ROAD,address,1
1053 EAST GUN HILL ROAD,address,1
1053 ROGERS AVENUE,address,1
1054 BERGEN STREET,address,1
1054 JEFFERSON AVENUE,address,1
1055 FULTON STREET,address,1
1055 RICHMOND ROAD,address,1
1055 ROCKAWAY AVENUE,address,1
1056 WASHINGTON AVENUE,address,1
1057 EAST 227 STREET,address,1
1058 BERGEN STREET,address,1
1058 ROCKAWAY AVENUE,address,1
1059 BEDFORD AVENUE,address,1
105D PAGE AVENUE,address,1
105E PAGE AVENUE,address,1
105F PAGE AVENUE,address,1
106 1 PLACE,address,1
106 ALABAMA AVENUE,address,1
106 AVENUE,address,1
106 AVENUE B,address,1
106 AVENUE I,address,1
106 CLARKSON AVENUE,address,1
106 CROSS BAY BOULEVARD,address,1
106 DOBBIN STREET,address,1
106 DUANE STREET  #COM,address,1
106 EAST 117 STREET,address,1
106 MARCUS GARVEY BOULEVARD,address,1
106 NAGLE AVENUE,address,1
106 THATFORD AVENUE,address,1
106 WAKEFIELD AVENUE,address,1
106 WYCKOFF AVENUE,address,1
106-01 31 AVENUE,address,1
106-02 ATLANTIC AVENUE,address,1
106-02 JAMAICA AVENUE,address,1
106-03 SUTPHIN BOULEVARD,address,1
106-04 37 AVENUE,address,1
106-08 150 STREET,address,1
106-08 LIBERTY AVENUE,address,1
106-09 ROCKAWAY BOULEVARD,address,1
106-10 ROCKAWAY BOULEVARD,address,1
106-15 217 STREET,address,1
106-16 148 STREET,address,1
106-16 NORTHERN BOULEVARD,address,1
106-18 148 STREET,address,1
106-20 70 AVENUE  #   C1,address,1
106-21 156 STREET,address,1
106-25 160 STREET,address,1
106-26 157 STREET,address,1
106-31 SUTPHIN BOULEVARD,address,1
106-32 SUTPHIN BOULEVARD,address,1
106-37 SUTPHIN BOULEVARD,address,1
106-39 SUTPHIN BOULEVARD,address,1
106-46 GUY R BREWER BOULEVARD,address,1
106-48 150 STREET,address,1
106-49 SUTPHIN BOULEVARD,address,1
106-50 150 STREET,address,1
106-57 160 STREET,address,1
106-58 UNION HALL STREET,address,1
1060 RUTLAND ROAD,address,1
1060 UTICA AVENUE,address,1
1060 WOODYCREST AVENUE,address,1
1061 ATLANTIC AVENUE,address,1
1062 UTICA AVENUE,address,1
1063 EAST 213 STREET,address,1
1063 WALTON AVENUE,address,1
1064 CONEY ISLAND AVENUE,address,1
1064 EAST NEW YORK AVENUE  #72,address,1
1064 WARD AVENUE,address,1
1064 WILLMOHR STREET  #55,address,1
1065 POST AVENUE,address,1
1066 PROSPECT AVENUE,address,1
1067 PARK AVENUE,address,1
1068 39 STREET,address,1
1068 DR M L KING JR BOULEVARD,address,1
1068 LEXINGTON AVENUE  #C7,address,1
1068 LEXINGTON AVENUE  #C8,address,1
1068 LEXINGTON AVENUE  #C9,address,1
1068 UTICA AVENUE,address,1
1068 WILLMOHR STREET  #55,address,1
1069 CONEY ISLAND AVENUE,address,1
1069 MORRIS AVENUE,address,1
107 ATLANTIC AVENUE,address,1
107 EAST BROADWAY  #   3A,address,1
107 FT GREENE PLACE,address,1
107 GREENPOINT AVENUE,address,1
107 MONTROSE AVENUE,address,1
107 RIVINGTON STREET,address,1
107 SPRING STREET,address,1
107 WEST 132 STREET,address,1
107 WEST 17 STREET,address,1
107-01 37 AVENUE,address,1
107-01 ROCKAWAY BOULEVARD,address,1
107-02 CORONA AVENUE,address,1
107-03 ROCKAWAY BOULEVARD,address,1
107-05 101 AVENUE,address,1
107-05 JAMAICA AVENUE,address,1
107-05 LIBERTY AVENUE,address,1
107-07 LIBERTY AVENUE,address,1
107-08 JAMAICA AVENUE,address,1
107-09 NORTHERN BOULEVARD,address,1
107-09 ROCKAWAY BOULEVARD,address,1
107-14 JAMAICA AVENUE,address,1
107-16 JAMAICA AVENUE,address,1
107-17 METROPOLITAN AVENUE,address,1
107-19 METROPOLITAN AVENUE,address,1
107-24 SPRINGFIELD BOULEVARD,address,1
107-26 156 STREET,address,1
107-29 LIBERTY AVENUE,address,1
107-29 METROPOLITAN AVENUE,address,1
107-41 MERRICK BOULEVARD,address,1
107-42 134 STREET,address,1
107-49 GUY R BREWER BOULEVARD,address,1
107-50 GUY R BREWER BOULEVARD,address,1
107-50 MERRICK BOULEVARD,address,1
107-52 SUTPHIN BOULEVARD,address,1
107-53 GUY R BREWER BOULEVARD,address,1
107-55 SUTPHIN BOULEVARD,address,1
107-57 MERRICK BOULEVARD,address,1
107-87 100 STREET,address,1
1072 2 AVENUE,address,1
1072 FULTON STREET,address,1
1072 UTICA AVENUE,address,1
1073 BEDFORD AVENUE,address,1
1073 SUMMIT AVENUE,address,1
1073 WILLOUGHBY AVENUE,address,1
1074 39 STREET,address,1
1074 CASTLETON AVENUE,address,1
1074 FRANKLIN AVENUE,address,1
1074 HALL PLACE,address,1
1074 HOME STREET,address,1
1075 BERGEN STREET,address,1
1075 CLARKSON AVENUE,address,1
1075 MC DONALD AVENUE,address,1
1075 WEST FARMS ROAD,address,1
1076 CYPRESS AVENUE,address,1
1076 DR M L KING JR BOULEVARD,address,1
1077 ATLANTIC AVENUE,address,1
1077 BERGEN STREET,address,1
1078 BERGEN STREET,address,1
1078 MANHATTAN AVENUE,address,1
1078 PARK PLACE,address,1
1079 60 STREET,address,1
1079 ALLERTON AVENUE,address,1
1079 BRIGHTON BEACH AVENUE,address,1
108 EAST 128 STREET,address,1
108 GRAHAM AVENUE,address,1
108 PORT RICHMOND AVENUE,address,1
108 STEUBEN STREET,address,1
