value,label,count
1 Albemarle Road,address,1
1 East 104th Street,address,1
1 Jamaica Center Plaza,address,1
1 Peck Slip,address,2
1 Teleport Drive,address,1
1 West 112th Street,address,1
10 Gregg Place,address,1
10 Kingsley Place,address,1
100 Aldrich Street,address,1
100 Attorney Street,address,2
100 Clermont Avenue,address,1
100 East Mount Eden Avenue,address,1
100 Irving Avenue,address,1
100 Jerome Avenue,address,1
100 Noll Street,address,1
100 Tompkins Avenue,address,1
100 West 84th Street,address,1
100-05 39th Avenue,address,1
100-05 Springfield Boulevard,address,1
100-09 39th Avenue,address,1
100-10 Astoria Boulevard,address,1
1000 East Tremont Avenue,address,1
1000 Richmond Terrace,address,1
10003 39th Avenue,address,1
1001 Broadway,address,1
1001 East 45th Street,address,1
1001 Herkimer Street,address,1
1001 Jennings Street,address,1
10017 32nd Avenue,address,1
1002 65th Street,address,1
1007 Evergreen Avenue,address,1
101 Fleet Place,address,1
101 Maujer Street,address,1
101-24 Seaview Avenue,address,1
101-33 124th Street,address,1
1014 Lafayette Avenue,address,1
10145 113th Street,address,1
1018 Avenue Y,address,1
1018 Banner Avenue,address,1
1019 46th Street,address,1
1019 Church Avenue,address,1
1020 Anderson Avenue,address,1
1020 Summit Avenue,address,1
1021 45TH STREET,address,1
1023 New York Avenue,address,1
10235 63rd Road,address,1
1025 Eastern Parkway,address,1
1026 41st Avenue,address,1
1037 East 54th Street,address,1
104 Birch Road,address,1
104 Sutter Avenue,address,1
104-06 101st Avenue,address,1
104-12 Springfield Boulevard,address,1
104-18 134th Street,address,1
104-19 39th Avenue,address,1
104-40 134th Street,address,1
104-70 Queens Boulevard,address,1
10421 39th Avenue,address,1
105 Kings Highway,address,1
1050 Targee Street,address,1
1054 Intervale Avenue,address,1
1055 Targee Street,address,1
1060 Clarkson Avenue,address,1
1060 Willowbrook Road,address,1
1065 Beach Avenue,address,1
107-25 Wren Place,address,1
1070 Castle Hill Avenue,address,1
1070 East 104th Street,address,1
1070 East 83rd Street,address,1
10701 Crossbay Boulevard,address,1
1075 Ocean View Avenue,address,1
1075 Pugsley Avenue,address,1
1077 Remsen Avenue,address,1
108 Montrose Avenue,address,1
108 Pine Street,address,1
108-10 109th Avenue,address,1
108-29 155th Street,address,1
108-42 Sutphin Boulevard,address,1
108-55 69th Avenue,address,1
1080 Utica Avenue,address,1
10817 159th Street,address,1
10822 69th Avenue,address,1
1083 Allerton Avenue,address,1
1083 Coney Island Avenue,address,1
109 Highland Place,address,1
109-10 47th Avenue,address,1
109-20 Union Hall Street,address,1
109-59 Inwood Street,address,1
1091 Sutter Avenue,address,1
1093 Southern Boulevard,address,1
10945 207th Street,address,1
10960 202nd Street,address,1
11 Catherine Street,address,1
11 Sampson Avenue,address,1
110 East 129th Street,address,1
110 Kosciusko St,address,1
110 Schermerhorn Street,address,1
110 Taylor Street,address,1
110 West 146th Street,address,1
110-51 Guy R Brewer,address,1
1100 Elm Avenue,address,1
1100 Newkirk Avenue,address,1
11015 164th Place,address,1
1102 Avenue L,address,1
1102 Clintonville Street,address,1
1102 East 92nd Street,address,1
1107 Newkirk Avenue,address,1
111 Berriman Street,address,1
111 Bristol Street,address,1
111-08 Sutphin Boulevard,address,1
111-11 118th Street,address,1
11102 86th Avenue,address,1
11112 Northern Boulevard,address,1
1112 Winthrop Street,address,1
1113 Church Avenue,address,1
1113 Colgate Avenue,address,1
1116 Sheridan Avenue,address,1
112 Lindenwood Road,address,1
112-18 76th Road,address,1
112-18 Springfield Boulevard,address,1
1120 East 10th Street,address,1
11206 Sutphin Boulevard,address,1
1123 Avenue N,address,1
1125 Grand Concourse,address,1
113-15 Springfield Boulevard,address,1
1130 Grand Concourse,address,1
1139 Coney Island Avenue,address,1
114 East 118th Street,address,1
114 East 122nd Street,address,1
114 Kosciusko Street,address,1
114 West 91st Street,address,1
114-28 Francis Lewis Boulevard,address,1
114-32 Merrick Boulevard,address,1
1140 East 229th Street,address,1
11402 Guy R Brewer Boulevard,address,1
1141 Castleton Avenue,address,1
1144 Hoe Avenue,address,1
115 Chrystie Street,address,1
115 East 98th Street,address,1
115-50 221 Street,address,1
1150 Carroll Street,address,1
1151 Bushwick Avenue,address,1
11515 101st Ave,address,1
1152 Elton Street,address,1
116 West 11th Street,address,1
1160 East 213th Street,address,1
1165 University Avenue,address,1
11655 Guy R. Brewer Boulevard,address,1
1166 Neill Avenue,address,1
11666 Park Lane South,address,1
1169 43rd Street,address,1
117-02 Guy Brewer Boulevard,address,1
1171 Eastern Parkway,address,1
11716 Sutphin Boulevard,address,1
11721 Sutphin Boulevard,address,1
1175 East Tremont Avenue,address,1
1175 Gates Avenue,address,1
1179 Boston Road,address,1
118-46 Riverton Street,address,1
118-49 Montauk Street,address,1
1180 East 214th Street,address,1
1180 Tinton Avenue,address,2
11801 101st Avenue,address,1
1181 East New York Avenue,address,1
1181 Nelson Avenue,address,1
11817 Guy R. Brewer Boulevard,address,1
1185 Park Place,address,1
1187 Nostrand Avenue,address,1
119-03 80th Road,address,1
1192 East 31st Street,address,1
12 Spruce Street,address,1
120 Stuyvesant Place,address,1
120-45 235th Street,address,1
1200 Ocean Parkway,address,1
1205 44th Street,address,1
121 East 3rd Street,address,2
121 Saratoga Avenue,address,1
