value,label,count
22 86 st,address,address
99 st w,address,address
11 ave 34 ave,address,address
125 st w,address,address
113 st e,address,address
11 st n,address,address
230 st e,address,address
60 st e,address,address
106 06 queens blvd,address,address
highway at w 125 st,address,address
38 st e,address,address
46 st w,address,address
131 street sutta,address,address
57 ave 80 ave,address,address
woodpoint ave and kingsland a,address,address
161 st e,address,address
129 st w,address,address
43 st w,address,address
36 st w,address,address
5 st s,address,address
14 ave 15 avenue,address,address
13 st e,address,address
9 st n,address,address
47 st w,address,address
67 01 110 st,address,address
39 ave 27 street,address,address
8 rd e,address,address
clinton st and montague st,address,address
and junction blvd,address,address
49 st e,address,address
ps201 pomonok houses plgd,address,address
19 st w,address,address
214 st e,address,address
78 st b t 135 ave dead 3nd,address,address
159 st e,address,address
238 st w,address,address
121 street 5 avenue,address,address
44 avenue w,address,address
41 st w,address,address
143 lenox ave,address,address
94 st w,address,address
65 ave. 162 street,address,address
ps127 plgd east elmhurst,address,address
36 st e,address,address
1321 dumont ave,address,address
92 avenue richmond hill 11418,address,address
205 st w,address,address
e broadway,street_name,address
11 st s,address,address
425 washington blvd.,address,address
229 drive south,address,address
10 ave w 41st st,address,address
263 st w,address,address
191 st e,address,address
5 st e,address,address
80 st e,address,address
87 st e,address,address
89 st w,address,address
4 th avenue,address,address
anderson road and sidway pl,address,address
131 st e,address,address
5 ave e 105th st,address,address
102 st e,address,address
95 st 1 avenue,address,address
38th ave 255th st,address,address
75 st w,address,address
33 st w,address,address
ave n between9 and 10 st,address,address
187 st w,address,address
4 corners rd,address,address
113 st w,address,address
58 st e,address,address
149 st e,address,address
158 st w,address,address
33 st e,address,address
104 st e,address,address
88 ave 240 st,address,address
54 st e,address,address
162 st w,address,address
7 st 5ave and 4 ave,address,address
west 46 street and 12 avenue,address,address
112 st e,address,address
66 st w,address,address
237 st e,address,address
170 st e,address,address
51 st e,address,address
231 st e,address,address
114 st e,address,address
234 st w,address,address
casler place and pennifield av,address,address
34 ave and broadway,address,address
ve and commonwealth blvd,address,address
185 st and horace harding expy,address,address
9 ave and west 20 st,address,address
7 st e,address,address
74 st w,address,address
118 second ave,address,address
ps149 4 plgd,address,address
9 st e,address,address
jhs166 linden park,address,address
83 street between 30 and 31ave,address,address
96 st e,address,address
116 st w,address,address
101 st w,address,address
192 st w,address,address
23 bay pkwy,address,address
6 st w,address,address
27 st e,address,address
100 st e,address,address
86 st w,address,address
233 st e,address,address
35 street 36 street,address,address
w 68 st and amsterdam ave,address,address
24 pebble lane,address,address
121 st w,address,address
143 st e,address,address
29 st w,address,address
146 st w,address,address
103 st w,address,address
83 st w,address,address
8 st n,address,address
108 street and 110 street,address,address
259 st w,address,address
158 st e,address,address
4 ave 12 street 13 street,address,address
old broadway,street_name,address
117 st w,address,address
455 washington boulevard,address,address
82 st e,address,address
91 st e,address,address
239 st e,address,address
106 st e,address,address
48 st w,address,address
204 st w,address,address
29 st e plgd,address,address
86 st 5 ave ft hamilton pkw,address,address
197 st w,address,address
151 st e,address,address
42 st e,address,address
95 wyona st,address,address
48 st e,address,address
67 st w,address,address
198 st e,address,address
bet e 209 st and e gun hill rd,address,address
82 st w,address,address
177 st e,address,address
69 26 65 drive,address,address
88 st e,address,address
234 st e,address,address
171 st e,address,address
56 st e,address,address
76 st e,address,address
11 st w,address,address
2424 cropsey ave,address,address
185 st e,address,address
106 st w,address,address
52 st w,address,address
47 ave 5 st,address,address
71 st w,address,address
215 st w,address,address
ave c and ave d,address,address
127 st w,address,address
8 st s,address,address
123 st w,address,address
95 st w,address,address
214 st w,address,address
140 st e,address,address
77th rd 166th st,address,address
49 ave 29 st,address,address
219 st e,address,address
25 st w,address,address
93 st e,address,address
12 avenue and west 46 street,address,address
130 st w,address,address
186 st w,address,address
5 st n,address,address
52 st e,address,address
133 st w,address,address
240 st e,address,address
74 st e,address,address
64 st e,address,address
97 st w,address,address
173 st e,address,address
167 st e park,address,address
203 st e,address,address
8 ave 54 street,address,address
197 st e,address,address
10 th ave,address,address
4 av b t 12 st 15 st,address,address
168 st e,address,address
206 st e,address,address
21 st e,address,address
59 ave 156 street,address,address
59 avenue and 63 street,address,address
163 ave foot bridge,address,address
189 st w,address,address
121 st atlantic ave,address,address
162 st e,address,address
43 st e,address,address
98 st e,address,address
and northern blvd,address,address
179 st e,address,address
44 st w,address,address
39 st w,address,address
25 st e,address,address
william avenue and tier street,address,address
54 st w,address,address
53 avenue 11373,address,address
51 ave between 25 st and 27 st,address,address
104 street richmondhill 11418,address,address
38 st w,address,address
240 st w,address,address
44 st 13 avenue,address,address
8 st w,address,address
56 st w,address,address
164 st w,address,address
17 st w,address,address
76 road queens blvd,address,address
