value,label,count
school monroe academy for visual arts and design,school_name,address
school fiorello h laguardia high school of music and art and performing arts,school_name,address
closed school erasmus campus science and math,school_name,address
school high school of telecommunication arts and technology,school_name,address
flushing meadows and corona park unisphere,park_playground,address
van cortlandt park healy field and gaelic field,park_playground,address
school high school for law enforcement and public safety,school_name,address
"school magnet school of math, science and design technology",school_name,address
school boys and girls high school,school_name,address
"school business, computer applications, and entrepreneurship high school",school_name,address
steinway playground and jhs 141,park_playground,address
school high school for youth and community development at erasmus,school_name,address
closed school erasmus campus business and technology,school_name,address
school jonathan levin high school for media and communications,school_name,address
rockaway freeway and kohlridir sq,address,address
school williamsburg high school for architecture and design,school_name,address
school ms 223 the laboratory school of finance and technology,school_name,address
school thomas a edison career and technical education high school,school_name,address
flushing meadows and corona park albert h. mauro playground,park_playground,address
williamsbridge oval p g mini pool and courts,park_playground,address
school theodore roosevelt evening high school mondays and wednesdays,school_name,address
school high school of computers and technology,school_name,address
van cortlandt park golf house and lower putnam trail,park_playground,address
flushing meadows and corona park buzz vollmer playground,park_playground,address
central park the mall and rumsey playfield,building_name,address
rockaway beach and boardwalk beach 59th st playground,address,address
school bronx high school for writing and communication arts,school_name,address
school peace and diversity academy,school_name,address
school magnet school for science and technology,school_name,address
"school is 318 math, science, and technology through arts",school_name,address
liotti and ikefugi playground,park_playground,address
school the urban assembly school for law and justice,school_name,address
flushing meadows and corona park world's fair playground,park_playground,address
6bc botanical garden,address,address
"school the marie curie school for medicine, nursing, and health professions",school_name,address
school jhs 72 catherine and count basie,school_name,address
central park wien walk and arsenal,address,address
school transit technology career and technical education high school,school_name,address
spuyten duyvil shorefront park and half moon overlook,park_playground,address
school high school of economics and finance,school_name,address
school brooklyn academy of science and the environment,school_name,address
school bread and roses integrated arts high school,school_name,address
school international high school at prospect heights,school_name,address
school the urban assembly for applied math and science,school_name,address
school morris collaborative high school for technology and humanities,school_name,address
school academy of finance and enterprise,school_name,address
school ms 260 clinton school writers and artists,school_name,address
school the bronx school of science inquiry and investigation,school_name,address
grand and canal courts,park_playground,address
school grace dodge career and technical education high school,school_name,address
school academy of business and community development,school_name,address
school health professions and human services,school_name,address
school the urban assembly school of music and art,school_name,address
rockaway beach and boardwalk beach 17th st playground,address,address
bushwick playground and pool,park_playground,address
flushing meadows and corona park lawrence playground,park_playground,address
school urban assembly school of design and construction,school_name,address
school samuel gompers career and technical education high school,school_name,address
school ms 224 manhattan east school for arts and academics,address,address
school school for community research and learning,school_name,address
central park 110th street and lenox avenue playground,address,address
school humanities and arts magnet high school,school_name,address
closed school ms 143 performing and fine arts,school_name,address
clearview park and golf course,park_playground,address
crotona park crotona tennis house and courts,park_playground,address
school queens high school for the sciences at york college,college_name,address
school art and design high school,school_name,address
school new school 1 at ps 60,school_name,address
school lower east side school at ps 315,address,address
school william e grady career and technical education high school,address,address
school the felisa rincon de gautier institute for law and public policy,school_name,address
school ms 256 academic and athletic excellence,school_name,address
school thurgood marshall academy for learning and social change,school_name,address
"school new explorations science, technology and math high school",school_name,address
school food and finance high school,school_name,address
107th street pier,address,address
school queens vocational and technical high school,school_name,address
school harbor sciences and arts charter school,school_name,address
school ps 192 the magnet school for math and science inquiry,school_name,address
school ps 201 the discovery school for inquiry and research,school_name,address
school bronx high school for law and community service,school_name,address
school is 303 leadership and community service,school_name,address
school high school for arts and business,school_name,address
school high school for teaching and the professions,school_name,address
central park 79th street yard and summit rock,address,address
"school high school for arts, imagination, and inquiry",school_name,address
school john adams evening high school mondays and wednesdays,school_name,address
louis j valentino jr park and pier,park_playground,address
cabbell park and cambria playground,park_playground,address
school new voices school of academic and creative arts,school_name,address
school queens college school for math and science,school_name,address
school school for democracy and leadership,school_name,address
school fordham leadership academy for business and technology,school_name,address
school gregorio luperon high school for science and mathematics,school_name,address
79th street boat basin marina,address,address
school high school for math science and engineering at ccny,school_name,address
school ps 23 at queens children center,building_name,address
school aviation career and technical education high school,school_name,address
school chelsea career and technical education high school,school_name,address
school performing arts and technology high school,school_name,address
flushing meadows and corona park playground for all children,park_playground,address
rev j polite playground and stebbins playground,park_playground,address
school manhattan institute for academic and visual arts,school_name,address
school bronx engineering and technology academy,school_name,address
115th street playground,address,address
riverside park running track and 78th st ballfields,address,address
132 st block association park,address,address
school cascade center for teaching and learning,building_name,address
school isaac newton middle school for math and science,school_name,address
school george westinghouse career and technical education high school,school_name,address
john jay park and pool,park_playground,address
school high school for leadership and public service,school_name,address
school w h maxwell career and technical education high school,address,address
golf course pelham and split rock,park_playground,address
school bronx center for science and mathematics,building_name,address
school ebc eny high school for public safety and law,school_name,address
flushing meadows and corona park,park_playground,address
beach midland and south beach,address,address
closed school new school for arts and science,school_name,address
school manhattan center for science and mathematics,building_name,address
174th st playground,address,address
central park heckscher ballfields and playground,park_playground,address
school international high school at kingsborough community college,college_name,address
"school law, government and community service high school",school_name,address
bicentennial veterinary park at weir center,building_name,address
paul w kolbert park and rachel haber cohen playground,address,address
"school school of business, finance, and entrepreneurship",school_name,address
alley pond park nature center and trails,address,address
prospect park lullwater and boathouse,park_playground,address
school dual language and asian studies high school,school_name,address
"school mathematics, science research, and technology magnet high school",school_name,address
school high school for health careers and sciences,school_name,address
pool douglas and degraw,park_playground,address
clawson playground playground at ps 50,park_playground,address
rockaway beach and boardwalk beach 9th st playground,address,address
school mark twain is 239 for the gifted and talented,school_name,address
school pablo neruda academy for architecture and world studies,school_name,address
school ps 166 the richard rodgers school of the arts and technology,school_name,address
school the bronx high school of performance and stagecraft,school_name,address
school robert f wagner jr secondary school for arts and technology,school_name,address
6th st and ave b community garden,address,address
central park nutters battery and fort clinton site,park_playground,address
"school enterprise, business, and technology high school",school_name,address
closed school community school at ms 142 ms 82,school_name,address
"school queens high school of teaching, liberal arts, and the sciences",school_name,address
school fanny high school for fire and life safety,school_name,address
school high school for media and communications,school_name,address
beach brighton and coney island,park_playground,address
school wadleigh secondary school for the performing and visual arts,school_name,address
school collegiate institute for math and science,school_name,address
central park belvedere castle turtle pond and shakespeare garden,park_playground,address
school alfred e smith career and technical education high school,address,address
school university heights secondary school at bronx community college,college_name,address
"school is 349 math, science, and technology",school_name,address
recreation center metropolitan pool and fitness center,building_name,address
"school high school for law, advocacy and community justice",school_name,address
flushing meadows and corona park jurassic playground,park_playground,address
playground 90 and ps 148 playground,park_playground,address
crotona park hill and dale playground,park_playground,address
flushing meadows and corona park saturn play equipment,park_playground,address
school bronx school of law and finance,school_name,address
school ms 326 writers today and leaders tomorrow,school_name,address
central park pilgrim hill and conservatory water,park_playground,address
flushing meadows and corona park world's fair ice arena skating rink,park_playground,address
"school science skills center high school for science, technology, and the creative arts",school_name,address
school albert shanker school for visual and performing arts,school_name,address
alice austen house and park,park_playground,address
closed school powell middle school for law and social justice,school_name,address
school new dorp evening high school mondays and wednesdays,school_name,address
owen dolen golden age center,building_name,building_name
recreation center tony dapolito formerly carmine,building_name,building_name
recreation center george cromwell,building_name,building_name
saint johns recreation center,building_name,building_name
recreation center jackie robinson,building_name,building_name
recreation center hunt's point,building_name,building_name
recreation center lost battalion hall,building_name,building_name
pool brownsville recreation center,building_name,building_name
recreation center pelham fritz,building_name,building_name
recreation center fort hamilton senior center,building_name,building_name
closed school brooklyn literacy center,building_name,building_name
greenbelt nature center,building_name,building_name
recreation center st. john's,building_name,building_name
crotona park nature center,building_name,building_name
doughboy plaza,building_name,building_name
central park dana discovery nature center,building_name,building_name
van cortlandt park van cortlandt stadium,building_name,building_name
recreation center chelsea,building_name,building_name
recreation center st. vartan,building_name,building_name
ten eyck plaza,building_name,building_name
roy wilkins recreation center,building_name,building_name
orchard beach park nature center,building_name,building_name
eastern parkway malls,building_name,building_name
recreation center alfred e. smith,building_name,building_name
recreation center brownsville,building_name,building_name
pool recreation center 54,building_name,building_name
prospect park grand army plaza,building_name,building_name
recreation center st. james,building_name,building_name
recreation center roy wilkins,building_name,building_name
forest park nature center,building_name,building_name
recreation center betsy head cbo amboy neighborhood center,building_name,building_name
recreation center red hook,building_name,building_name
school ps 246 poe center,building_name,building_name
recreation center williamsbridge oval,building_name,building_name
grand army plaza,building_name,building_name
blue heron park nature center,building_name,building_name
