value,label,count
431 east 165th street,address,address
1582 boston road,address,address
144 bruckner blvd,address,address
407 west 147th street,address,address
555 fifth avenue,address,address
130 47 121 street,address,address
75 south broadway,address,address
441 east beech street,address,address
2658 gerritsen avenue,address,address
580 west main street,address,address
1233 71st street,address,address
2235 south carrollton ave,address,address
439 lorimer street,address,address
111 46 169th street,address,address
775 columbus avenue,address,address
488 madison ave,address,address
"220 west 26th street, 411",address,address
485 underhill blvd.,address,address
1630 benson avenue,address,address
147 prince street,address,address
321 decatur street,address,address
2816 deerfield road,address,address
7 brighton 1st road,address,address
73 14 52nd drive,address,address
425 herricks rd,address,address
"96 sterling st, 1",address,address
179 15 149th road,address,address
"584 ardsley blvd, suite 207",address,address
2024 williams bridge road,address,address
5013 4th avenue,address,address
954 lexington avenue,address,address
4653 parkins rd.,address,address
27 warren street,address,address
185 wilson street,address,address
757a burke avenue,address,address
630 flushing avenue,address,address
199 lincoln avenue suite 204,address,address
324 west 84th street,address,address
214 w main street,address,address
770 st. marks avenue,address,address
50 west 139th street,address,address
"211 e 43rd street, 6th floor",address,address
1055 coates ave,address,address
53 10 74th street,address,address
6045 w chandler boulevard,address,address
195 s. fehr way,address,address
18 stuyvesant oval,address,address
15 second avenue,address,address
39 station road,address,address
8500 blvd east,address,address
118 park pl 3,address,address
14 althouse ave.,address,address
849 st. nicholas ave.,address,address
"367 west 34th street, 2nd floor",address,address
1740 grand avenue apt 314,address,address
156 the helm,address,address
133 16 springfield boulevard,address,address
303 white horse pike,address,address
2355 2nd avenue,address,address
241 43 85h avenue,address,address
289 f suburban avenue,address,address
3 seaview boulevard,address,address
323 scholes street,address,address
1 marcus blvd.,address,address
270 west 39th street,address,address
120 17 91st avenue,address,address
45 02 ditmars boulevard,address,address
49 wyckoff avenue,address,address
"488 madison ave, suite 1900",address,address
4390 victory blvd,address,address
"104 pearsall drive, 1d",address,address
119 cooper street,address,address
825 east gate boulevard,address,address
40 w. 135th st,address,address
40 18 bell boulevard,address,address
7809 shadow knoll court,address,address
150 clearbrook road,address,address
193 staab lane,address,address
72 e. hoffman avenue,address,address
2300 barnes avenue,address,address
55 west 38th street,address,address
2056 morrow avenue suite 201,address,address
255 e 149th street,address,address
874 lexington avenue,address,address
6431 u.s. highway 11,address,address
1884 schenectady avenue,address,address
45 academy street,address,address
87 28 130th street,address,address
1097 strathmore st,address,address
426 rockaway pkwy,address,address
"2263 84th street, 5e",address,address
2 blacksmith rd,address,address
55 e. 115 street,address,address
965 midland avenue,address,address
57 edinburgh road,address,address
228 bridge street,address,address
208 russell place,address,address
552 5th avenue,address,address
1809 paulding avenue,address,address
5651 201st street,address,address
985 metropolitan avenue,address,address
120 11 89th avenue,address,address
3690 middle country road,address,address
740 colonial street,address,address
"45 knickerbocker avenue, suite 7",address,address
139 39 228 street,address,address
115 east 57th street,address,address
1311 prospect place,address,address
521 madison avenue,address,address
7 moonlit court,address,address
59 11 60th street,address,address
"594 broadway, suite 919",address,address
1835 market street,address,address
111 a north gold drive,address,address
281 state route 79,address,address
246 city island avenue,address,address
105 worthington road,address,address
38 17 54th street,address,address
107 front street,address,address
"1755 york ave, apt 9e",address,address
1324 east 15th street,address,address
"46 east 1st street, studio 4d",address,address
114 04 farmers blvd,address,address
16 sycamore lane,address,address
35 portman road,address,address
818 coney island avenue,address,address
100 riverside blvd,address,address
125 half mile road,address,address
41 jani court,address,address
133 10 rockaway blvd.,address,address
5301b avenue m,address,address
137 e. 38th,address,address
36 acme ave,address,address
175 west 137th street,address,address
65 46 ellwell cresent,address,address
144 34 254th street,address,address
382 conchester highway,address,address
49 elizabeth street,address,address
295 main street,address,address
120 watervliet avenue,address,address
3131 princeton pike,address,address
922 72nd street,address,address
230 north main street,address,address
99 tulip avenue,address,address
655 14th street,address,address
631 bushwick avenue,address,address
44790 maynard square,address,address
1740 ocean ave,address,address
409 n. main street,address,address
2 west 46th street,address,address
33 powerhouse road,address,address
436 prospect avenue,address,address
156 east 3rd street,address,address
375 manhattan avenue,address,address
60 river road,address,address
60 gillett street,address,address
1053 e 40th street,address,address
94 54 115 street,address,address
247 schenck aveneue,address,address
105 30 171st street,address,address
26 west 23rd st. floor 4,address,address
566 52nd street,address,address
289 livingston street,address,address
108 18 queens blvd,address,address
37 24 24th street,address,address
379 princeton hightstown road,address,address
152 53 10th ave,address,address
2550 independence avenue,address,address
8 bay 49th street,address,address
119 22 101 avenue,address,address
153 east 57th street,address,address
100 hinsdale street,address,address
11 michael avenue,address,address
155 11 115th avenue,address,address
888 7th avenue,address,address
151 w 19th street,address,address
422 philip ave,address,address
"4301 21st street, suite 204",address,address
382 central park west,address,address
1 vail lane,address,address
2 rawlings dr.,address,address
200 west 37th street,address,address
1420 locust street,address,address
501 s broadway,address,address
447 broadway,address,address
72 albermarle avenue,address,address
345 west broadway 2,address,address
1271 east 59th street,address,address
102 53rd street,address,address
310 vizcaya drive,address,address
2190 mcdonald avenue,address,address
137 16 257th steet,address,address
"276 5th avenue, ste 704 716",address,address
263 broad avenue,address,address
36 24 34th street,address,address
200 west 86th street suite 9bc,address,address
36 longview lane,address,address
20 winthrop square,address,address
129 alter avenue,address,address
1007 carroll street,address,address
57 west 57th street,address,address
515 madison ave 22b,address,address
1490 hornell loop,address,address
1 oak point avenue,address,address
51 03 broadway,address,address
33 flatbush ave. 5th floor,address,address
5744 berkshire valley road,address,address
64 70 maurice avenue,address,address
330 neptune ave.,address,address
2130 7th avenue,address,address
