value,label,count
229 drive south,address,address
bronx and pelham parkway,address,address
7 avenue south,address,address
229 drive north,address,address
metro tech center,building_name,building_name
liberty plaza,building_name,building_name
new york plaza,building_name,building_name
rockefeller plaza,building_name,building_name
newkirk plaza,building_name,building_name
u n plaza,building_name,building_name
pace plaza,building_name,building_name
lincoln center plaza,building_name,building_name
bronx plaza,building_name,building_name
park avenue plaza,building_name,building_name
queens plaza,building_name,building_name
worldwide plaza,building_name,building_name
fordham plaza,building_name,building_name
un plaza,building_name,building_name
federal plaza,building_name,building_name
haven plaza,building_name,building_name
events plaza,building_name,building_name
confucius plaza,building_name,building_name
lincoln plaza,building_name,building_name
ny plaza,building_name,building_name
grand army plaza,building_name,building_name
brookdale plaza,building_name,building_name
united nations plaza,building_name,building_name
lincoln center,building_name,building_name
waterside plaza,building_name,building_name
pennsylvania plaza,building_name,building_name
world trade center,building_name,building_name
penn plaza,building_name,building_name
kings plaza,building_name,building_name
metrotech center,building_name,building_name
university plaza,building_name,building_name
battery park plaza,building_name,building_name
police plaza,building_name,building_name
manhattan plaza,building_name,building_name
richman plaza,building_name,building_name
world financial center,building_name,building_name
intrepid plaza,building_name,building_name
centre mall,building_name,building_name
new dorp plaza,building_name,building_name
cpw,location_type,location_type
boulevard,location_type,location_type
wea,location_type,location_type
grandconcourse,location_type,location_type
metrotech,location_type,location_type
fdr,location_type,location_type
bqe,location_type,location_type
cps,location_type,location_type
boardwalk,location_type,location_type
bayside,location_type,location_type
esplanade,location_type,location_type
grace court,park_playground,park_playground
abbey court,park_playground,park_playground
fane court,park_playground,park_playground
dare court,park_playground,park_playground
frank court,park_playground,park_playground
washington square village,park_playground,park_playground
northfield court,park_playground,park_playground
dover green,park_playground,park_playground
webers court,park_playground,park_playground
celeste court,park_playground,park_playground
westchester square,park_playground,park_playground
union square,park_playground,park_playground
post court,park_playground,park_playground
dahl court,park_playground,park_playground
cypress court,park_playground,park_playground
washington park,park_playground,park_playground
keen court,park_playground,park_playground
julieann court,park_playground,park_playground
harbour court,park_playground,park_playground
rene court,park_playground,park_playground
daffodil court,park_playground,park_playground
brightwater court,park_playground,park_playground
manor court,park_playground,park_playground
heather court,park_playground,park_playground
hanover square,park_playground,park_playground
gramercy park,park_playground,park_playground
lincoln square,park_playground,park_playground
forest green,park_playground,park_playground
lockwood court,park_playground,park_playground
emerson court,park_playground,park_playground
graham court,park_playground,park_playground
nat court,park_playground,park_playground
muhlbach court,park_playground,park_playground
douglas court,park_playground,park_playground
silver court,park_playground,park_playground
madeline court,park_playground,park_playground
giordan court,park_playground,park_playground
trenton court,park_playground,park_playground
grille court,park_playground,park_playground
destiny court,park_playground,park_playground
maguire court,park_playground,park_playground
timothy court,park_playground,park_playground
colonial court,park_playground,park_playground
dawson court,park_playground,park_playground
rayfield court,park_playground,park_playground
north edo court,park_playground,park_playground
maxie court,park_playground,park_playground
belvedere court,park_playground,park_playground
greenfield court,park_playground,park_playground
burchard court,park_playground,park_playground
altavista court,park_playground,park_playground
gary court,park_playground,park_playground
duane court,park_playground,park_playground
poi court,park_playground,park_playground
taylor court,park_playground,park_playground
margaretta court,park_playground,park_playground
nunley court,park_playground,park_playground
waterford court,park_playground,park_playground
jake court,park_playground,park_playground
