value,label,count
1434 williamsbdg road,address,address
3456 fulton street,address,address
10 east gunhill road,address,address
10 10 avenue,address,address
321 east 5 street,address,address
72 12 queens boulevard,address,address
381 audubon avenue,address,address
724 nostrand avenue,address,address
38 32 149 place,address,address
93 03 roosevelt avenue,address,address
148 stanton street,address,address
313 stockholm street,address,address
733 39 street,address,address
95 15 57 avenue,address,address
448 sutter avenue,address,address
1231 vyse avenue,address,address
34 irving avenue,address,address
99 22 northern boulevard,address,address
800 grand street,address,address
1069 walton avenue,address,address
1668 pitkin avenue,address,address
646 throop avenue,address,address
54 meadow street,address,address
1338 southern boulevard,address,address
147 prince street,address,address
238 wyckoff avenue,address,address
3941 carpenter avenue,address,address
1351 inwood avenue,address,address
448 sterling street,address,address
154 west 29 street,address,address
2793 west 15 street,address,address
8609 20 avenue,address,address
2215 westchester avenue,address,address
433 park avenue,address,address
158 knickerbocker avenue,address,address
749 coney island avenue,address,address
1993 amsterdam avenue,address,address
248 bay street,address,address
106 15 101 avenue,address,address
23 06 31 avenue,address,address
308 knickerbocker avenue,address,address
1871 coney island avenue,address,address
484 east 4 street,address,address
5834 broadway,address,address
6223 5 avenue,address,address
500 13 street,address,address
618 st john place,address,address
1468 hoe avenue,address,address
994 broadway,address,address
120 08 jamaica avenue,address,address
83 29 broadway,address,address
75 stockholm street,address,address
1937 mcdonald avenue,address,address
1069 east tremont avenue,address,address
775 49 street,address,address
406 86 street,address,address
84 eldridge street,address,address
320 east 58 street,address,address
360 west 22 street,address,address
236 west 122 street,address,address
862 liberty avenue,address,address
332 east 14 street,address,address
80 south 6 street,address,address
146 cooper street,address,address
8910 8910 ave,address,address
1479 st nicholas avenue,address,address
1971 webster avenue,address,address
500 west 215 street,address,address
166 harman street,address,address
69 cooper square,address,address
8610 17 avenue,address,address
714 saint marks avenue,address,address
259 van brunt street,address,address
682 chauncey street,address,address
1110 rogers avenue,address,address
20 33 steinway street,address,address
27 east 170 street,address,address
96 20 roosevelt avenue,address,address
30 beach street,address,address
1142 3 avenue,address,address
129 stockholm street,address,address
4706 bronx boulevard,address,address
634 franklin avenue,address,address
83 20 roosevelt avenue,address,address
184 1 avenue,address,address
180 24 radnor rd,address,address
1438 nostrand avenue,address,address
41 42 main street,address,address
2108 2 avenue,address,address
171 69 46 avenue,address,address
132 02 jamaica avenue,address,address
1169 boston road,address,address
133 3 avenue,address,address
160 east 28 street,address,address
189 east broadway,address,address
907 st mark's avenue,address,address
168 rivington street,address,address
30 95 30 street,address,address
483 driggs avenue,address,address
137 west 144 street,address,address
