value,label,count
315 rodney street,address,address
125 5 avenue,address,address
2953 avenue x,address,address
109 12 farmers boulevard,address,address
405 east 105th st apt 20e,address,address
34 74 113 street,address,address
441 7 avenue,address,address
540 graham avenue,address,address
55 forest avenue,address,address
111 front street,address,address
759 east 138 street,address,address
170 06 baisley boulevard,address,address
1313 un st,address,address
526 west 26 street,address,address
1 fordham street,address,address
349 schenck avenue,address,address
157 18 mayer ave,address,address
435 west 57 street,address,address
84 cedar street,address,address
41 whipple st,address,address
1085 clarkson avenue,address,address
31 lafayette avenue,address,address
775 columbus avenue,address,address
30 west 95 street,address,address
452 west 260th st,address,address
590 seguine avenue,address,address
1555 bedford avenue,address,address
195 east 3 street,address,address
735 east 239 street,address,address
820 hancock st,address,address
125 walker street,address,address
584 jackson avenue,address,address
535 briar place,address,address
335 east 152 street,address,address
147 prince street,address,address
120 west 46 street,address,address
112 tillary street,address,address
1142 3 avenue,address,address
"1537 washington avenue10457
40.83829953246283",address,address
708 beach 19 street,address,address
928 broadway,address,address
343 warren street,address,address
3300 coney island av,address,address
200 east 27 street,address,address
14 32 west 118th st,address,address
180 remsen st,address,address
510 avenue of the americas,address,address
2946 baisley avenue,address,address
556 west 186 street,address,address
186 east 101 street,address,address
512 carroll st,address,address
1297 arthurkill rd,address,address
1379 madison street 3rd floor,address,address
124 10 south conduit avenue,address,address
420 beach 51 street,address,address
15 franklin lane,address,address
422 east 91 street,address,address
293 east 205 street,address,address
25 wall street,address,address
3584 jerome avenue,address,address
131 norman ave,address,address
3131 kings highway,address,address
175 east 125 street,address,address
fillmore ave and stuart st,address,address
426 willis ave,address,address
630 flushing avenue,address,address
5475 fieldston road,address,address
8622 bay parkway,address,address
228 06 northern boulevard,address,address
850 edgewater rd,address,address
11801 101st ave,address,address
50 monroe pl,address,address
350 grand concourse,address,address
439 ralph avenue,address,address
25 4 avenue,address,address
104 11 37 avenue,address,address
"35 40 21st street11106
40.761699790013324",address,address
143 25 229 street,address,address
311 west 43 street,address,address
1116 sheridan ave,address,address
200 chambers street,address,address
231 east 94 street,address,address
332 bleecker street,address,address
1646 montgomery ave,address,address
235 east 40 street,address,address
6001 17 avenue,address,address
"80 underhill avenue11238
40.67826457903998",address,address
803 forbell street,address,address
456 e tremont ave,address,address
1338 southern boulevard,address,address
1 19 debevoise ave bldg2 dres,address,address
661 linden blvd,address,address
68 38 yellowstone boulevard,address,address
254 hicks st,address,address
87 45 117 st,address,address
6320 marathon parkway,address,address
93 03 roosevelt avenue,address,address
2310 65 street,address,address
51 christopher ave 4th fl,address,address
111 01 corona avenue,address,address
1811 bath avenue,address,address
50 05 31 avenue,address,address
1 metro tech ste 1004,address,address
293 rodney street,address,address
75 59 263 street,address,address
139 henry st.,address,address
321 east 5 street,address,address
45 twombly avenue,address,address
"61 15 oceania street11364
40.745924680379744",address,address
3200 baychester avenue,address,address
142 west 21 street,address,address
1303 travis avenue,address,address
594 albany ave,address,address
927 macdonald ave,address,address
133 16 springfield boulevard,address,address
384 east 8 street,address,address
1160 5 avenue,address,address
3 pelham bay park,address,address
123 w 56th st 118 west 57th st,address,address
65 11 155 street,address,address
5105 ft hamilton parkway,address,address
488 beach 66 street,address,address
79 25 winchester boulevard,address,address
20 east 92 street,address,address
100 09 39 avenue,address,address
1623 3 avenue,address,address
2081 davidson avenue,address,address
35 15 parsons boulevard,address,address
106 south 3 street,address,address
530 eastern parkway,address,address
426 east 14 st,address,address
83 04 broadway,address,address
120 east 92 street,address,address
1780 first ave btwn 92 93 st,address,address
2619 86 street,address,address
3080 atlantic avenue,address,address
"280 marcy avenue11211
40.70499449388848",address,address
426 broome street,address,address
475 e 57th st,address,address
639 4th ave,address,address
235 east broadway,address,address
45 02 ditmars boulevard,address,address
192 7 avenue,address,address
23 54 23 street,address,address
"613 new lots avenue11207
40.66472649825768",address,address
665 jefferson pl,address,address
439 w 49th st,address,address
167 02 baisley boulevard,address,address
677 lafayette ave,address,address
1 lincoln plaza,address,address
123 e 98th st,address,address
679 riverside de,address,address
2116 morris avenue,address,address
57 stanton street,address,address
280 baychester avenue,address,address
126 brightwater court,address,address
78 31 parsons boulevard,address,address
450 west 42 street,address,address
50 east 168th st,address,address
1784 east 17 street,address,address
1501 5 riegelman bdwalk kens,address,address
38 lafayette ave,address,address
195 03 linden boulevard,address,address
252 w 29th st fl 3,address,address
138 11 35 avenue,address,address
101 west 90 street,address,address
9301 shorefront park,address,address
45 west 138 street,address,address
866 east 165 street,address,address
6302 avenue u,address,address
310 east 40 street,address,address
1831 84 street,address,address
192 e broadway,address,address
634 manida st,address,address
243 02 northern boulevard,address,address
7806 new utrecht avenue,address,address
351 jay street,address,address
380 washington avenue,address,address
531 east 137th st,address,address
157 montague street,address,address
80 centre street,address,address
216 soundview avenue,address,address
241 e 116th st,address,address
495 east 23 street,address,address
1213 elm ave,address,address
30 thornton street,address,address
1434 ogden ave,address,address
131 broome street,address,address
2300 barnes avenue,address,address
60 haven avenue,address,address
199 10 112 ave,address,address
3732 10th ave,address,address
620 isham street,address,address
108 43 sutphin boulevard,address,address
1100 teller ave,address,address
60 essex st,address,address
214 west 135 street,address,address
115 truxton street,address,address
301 east 62 street,address,address
4240 amboy rd,address,address
199 14th street2nd floor,address,address
5 penn plz,address,address
890 zerega avenue,address,address
502 morris avenue,address,address
160 west 78 street,address,address
1640 pacific st,address,address
55 layton street,address,address
83 40 woodhaven boulevard,address,address
630 longfellow avenue,address,address
60 catherine street,address,address
630 first avenue,address,address
456 west 52 street,address,address
601 oceanview ave,address,address
610 614 west 175th st,address,address
126 10 15 avenue,address,address
36 richmond terrace,address,address
1012 east gun hill road,address,address
2013 7 avenue,address,address
77 chicago ave,address,address
2212 third ave,address,address
671 louisiana ave,address,address
3980 orloff ave,address,address
880 st marks avenue,address,address
88 11 165 street,address,address
201 10 cross island parkway,address,address
657 castleton ave,address,address
1501 bassett avenue,address,address
611 broadway ste 905,address,address
215 west 58 street,address,address
47 24 bell blvd,address,address
140 w 174th st,address,address
446 6 avenue,address,address
425 mc donald avenue,address,address
338 lighthouse avenue,address,address
300 cadman plaza west,address,address
108 19 71 avenue,address,address
2125 21 ave,address,address
365 beach 56 street,address,address
554 ft washington ave,address,address
126 01 roosevelt avenue,address,address
220 22 hillside avenue,address,address
544 39 street,address,address
4653 white plains rd,address,address
5811 ditmas avenue,address,address
1076 ogden avenue,address,address
233 10 linden boulevard,address,address
2131 hart street,address,address
351 soundview avenue,address,address
2081 second ave,address,address
189 gordon street,address,address
321 east 69 street,address,address
66 weirfield st,address,address
235 palmetto street,address,address
1235 pelham parkway north,address,address
1331 cromwell avenue,address,address
2 east 103 street,address,address
331 east 70 street,address,address
45 allen st,address,address
3001 w 37th st,address,address
383 east 140 street,address,address
712 fifth avenue,address,address
134 clermont avenue,address,address
1838 adee avenue,address,address
46 columbia street,address,address
79 10 springfield boulevard,address,address
142 east 27 street,address,address
2212 bedford avenue,address,address
383 state st,address,address
63 downing street,address,address
3001 colden avenue,address,address
3471 fenton avenue,address,address
900 arnow avenue,address,address
225 adelphi st,address,address
1169 43rd st,address,address
147 west 70 street,address,address
955 hutchinson riv pkwy,address,address
98 05 63 drive,address,address
126 east 13 street,address,address
261 west 94 street,address,address
750 concourse village west,address,address
1325 morris park avenue,address,address
295 e 4th st,address,address
100 riverside blvd,address,address
336 73 street,address,address
275 f d r drive,address,address
2530 jerome avenue,address,address
32 38 98 street,address,address
1860 frst ave,address,address
301 east 17 street,address,address
221 kingston avenue,address,address
4521 arthur kill road,address,address
3901 fieldston rd,address,address
"50 40 jacobus street11373
40.73871040256307",address,address
1238 broadway,address,address
"1368 fulton street11216
40.68016709769277",address,address
184 ludlow street,address,address
225 cleveland avenue,address,address
1311 kings hwy 3rd fl,address,address
457 madison avenue,address,address
212 amboy street,address,address
495 beach 20th street,address,address
1229 madison avenue,address,address
1435 prospect pl,address,address
254 wythe avenue,address,address
72 24 grand ave,address,address
724 avenue of the americas,address,address
402 eastern parkway,address,address
2185 7 avenue,address,address
2207 university avenue,address,address
49 elizabeth street,address,address
2125 glebe ave,address,address
2412 church avenue,address,address
5625 arlington avenue,address,address
5995 shore parkway,address,address
1328 clinton avenue,address,address
34 west 14th st,address,address
1023 new york avenue,address,address
416 washington street,address,address
"345 brook avenue10454
40.81004862442692",address,address
34 west 14 street,address,address
3080 arthur kill road,address,address
400 west 113 street,address,address
"70 02 54 avenue11378
40.72145310497689",address,address
132 e 78th st,address,address
1485 pacific st,address,address
1224 prospect ave,address,address
319 5 avenue,address,address
7 debevoise street,address,address
252 west 79 street,address,address
800 barretto street,address,address
"1771 popham avenue10453
40.85138296287355",address,address
1955 2nd ave,address,address
4323 colden st,address,address
64 east 94 street,address,address
65 bleecker street,address,address
200 church st,address,address
