value,label,count
1 2 st luke's place,address,address
1 2 mapes avenue,address,address
e broadway,street_name,address
229 drive south,address,address
1 2 jackson street,address,address
1 2 east 50 street,address,address
1 2 mulberry street,address,address
1 2 state street,address,address
1 2 bedford street,address,address
19 73 street,address,address
1 2 2 avenue,address,address
1 2 union avenue,address,address
1 2 east 7 street,address,address
1 2 grove street,address,address
old broadway,street_name,address
1 2 canal street,address,address
1 2 5 avenue,address,address
1 2 jane street,address,address
1 2 east 75 street,address,address
01 country club road,address,address
140 th street,address,address
1415 richmond avenue,address,address
1 2 east 118 street,address,address
1 2 manhattan avenue,address,address
04 country club road,address,address
1 2 catherine street,address,address
1 2 adrian avenue,address,address
east broadway,street_name,address
1 2 market street,address,address
1 2 laurel avenue,address,address
1 2 delancey street,address,address
1 2 bleecker street,address,address
1 2 east 84 street,address,address
1 2 east 33 street,address,address
142 nd street,address,address
09 country club road,address,address
1 2 van corlear place,address,address
02 country club road,address,address
1 2 ludlow street,address,address
1 2 eldridge street,address,address
159 w. street,address,address
1 2 138 place,address,address
7th avenue south,address,address
1 2 bowery,address,address
broadway and amp;duane st.,address,address
03 country club road,address,address
3014 beverly road,address,address
1 2 st lukes place,address,address
142 west 72 street,address,address
1 2 king street,address,address
2096 morris avenue,address,address
1 2 st marks place,address,address
1 2 vincent avenue,address,address
1 2 pacific street,address,address
1 2 7 avenue south,address,address
1 2 briggs avenue,address,address
west broadway,street_name,address
1 2 east 83 street,address,address
1 2 west 26 street,address,address
1 2 east 76 street,address,address
1 2 rogers avenue,address,address
1 2 irving place,address,address
3403 3 avenue,address,address
1 2 powell avenue,address,address
1 2 east 1 street,address,address
1 2 east 9 street,address,address
1 2 east 115 street,address,address
10 country club road,address,address
1 2 hudson street,address,address
86 street transverse,address,address
15 flushing avenue,address,address
20 jamaica avenue,address,address
1 2 west 15 street,address,address
1291 grant avenue,address,address
1 2 st mark's place,address,address
1 2 downing street,address,address
7 avenue south,address,address
merrick blvd and 109th ave,address,address
fort independence community ctr,building_name,building_name
west farms square plaza,building_name,building_name
un plaza,building_name,building_name
richman plaza,building_name,building_name
peter minuit plaza,building_name,building_name
penn plaza,building_name,building_name
police plaza,building_name,building_name
rockefeller plaza,building_name,building_name
richmond plaza,building_name,building_name
federal plaza,building_name,building_name
liberty plaza,building_name,building_name
waterside plaza,building_name,building_name
haven plaza,building_name,building_name
united nations plaza,building_name,building_name
brookdale plaza,building_name,building_name
edgewater plaza,building_name,building_name
centre mall,building_name,building_name
grand army plaza,building_name,building_name
boston road plaza,building_name,building_name
grand army plaza   ,building_name,building_name
university plaza,building_name,building_name
esplanade gardens plaza,building_name,building_name
lincoln center plaza,building_name,building_name
confucius plaza,building_name,building_name
world trade center,building_name,building_name
new dorp plaza,building_name,building_name
queens plaza,building_name,building_name
esplanade gdns plaza,building_name,building_name
newkirk plaza,building_name,building_name
metro tech center,building_name,building_name
metrotech center,building_name,building_name
manhattan college,college_name,college_name
avenue,location_type,location_type
manton,location_type,location_type
boardwalk,location_type,location_type
grove,location_type,location_type
crotona,location_type,location_type
lydig,location_type,location_type
grenwich,location_type,location_type
stuyvesant,location_type,location_type
rockawaytavenue,location_type,location_type
esplanade,location_type,location_type
magentastreet,location_type,location_type
braodway,location_type,location_type
meyer,location_type,location_type
walton,location_type,location_type
cip,location_type,location_type
gold,location_type,location_type
ppw,location_type,location_type
holland,location_type,location_type
gcp,location_type,location_type
stanton,location_type,location_type
ditmas,location_type,location_type
cruger,location_type,location_type
university,location_type,location_type
kingshigwy,location_type,location_type
brevoort,location_type,location_type
pearl,location_type,location_type
ardsley,location_type,location_type
greene,location_type,location_type
haughwout,location_type,location_type
lafayette,location_type,location_type
