value,label,count
school monroe academy for visual arts and design,school_name,address
school fiorello h laguardia high school of music and art and performing arts,school_name,address
school high school of telecommunication arts and technology,school_name,address
school high school for law enforcement and public safety,school_name,address
school boys and girls high school,school_name,address
"school business, computer applications, and entrepreneurship high school",school_name,address
school high school for youth and community development at erasmus,school_name,address
closed school erasmus campus business and technology,school_name,address
school jonathan levin high school for media and communications,school_name,address
school secondary school law journalism and research,school_name,address
school thomas a edison career and technical education high school,school_name,address
school high school of computers and technology,school_name,address
school gateway school for environmental research and technology,school_name,address
school bronx high school for writing and communication arts,school_name,address
school peace and diversity academy,school_name,address
school magnet school for science and technology,school_name,address
"school is 318 math, science, and technology through arts",school_name,address
"school the marie curie school for medicine, nursing, and health professions",school_name,address
school jhs 72 catherine and count basie,school_name,address
school transit technology career and technical education high school,school_name,address
school high school of economics and finance,school_name,address
school brooklyn academy of science and the environment,school_name,address
school bread and roses integrated arts high school,school_name,address
school high school of arts and technology,school_name,address
school 47 the american sign language and english secondary school,school_name,address
closed school school for law and demo leadership,school_name,address
school the urban assembly for applied math and science,school_name,address
school morris collaborative high school for technology and humanities,school_name,address
school manhattan comprehensive night and day high school,school_name,address
school school of science and technology,school_name,address
school high school for violin and dance,school_name,address
school ralph r mckee career and technical education high school,school_name,address
school the bronx school of science inquiry and investigation,school_name,address
school grace dodge career and technical education high school,school_name,address
school health professions and human services,school_name,address
school urban assembly school of design and construction,school_name,address
school samuel gompers career and technical education high school,school_name,address
school school for community research and learning,school_name,address
school humanities and arts magnet high school,school_name,address
closed school ms 143 performing and fine arts,school_name,address
school art and design high school,school_name,address
school new school 1 at ps 60,school_name,address
school william e grady career and technical education high school,address,address
school ms 256 academic and athletic excellence,school_name,address
school thurgood marshall academy for learning and social change,school_name,address
school high school for international business and finance,school_name,address
"school new explorations science, technology and math high school",school_name,address
school food and finance high school,school_name,address
school queens vocational and technical high school,school_name,address
school ps 192 the magnet school for math and science inquiry,school_name,address
school ps 201 the discovery school for inquiry and research,school_name,address
school bronx high school for law and community service,school_name,address
school is 303 leadership and community service,school_name,address
school high school for arts and business,school_name,address
school the urban assembly academy for history and citizenship for young men,school_name,address
school new voices school of academic and creative arts,school_name,address
school queens college school for math and science,school_name,address
school school for democracy and leadership,school_name,address
school fordham leadership academy for business and technology,school_name,address
school gregorio luperon high school for science and mathematics,school_name,address
school high school for math science and engineering at ccny,school_name,address
school ps 23 at queens children center,building_name,address
school chelsea career and technical education high school,school_name,address
school performing arts and technology high school,school_name,address
school bronx engineering and technology academy,school_name,address
school high school for law and justice,school_name,address
school ps 12 lewis and clark school,school_name,address
school isaac newton middle school for math and science,school_name,address
school george westinghouse career and technical education high school,school_name,address
closed school new voices school academy and creative excellence,school_name,address
school high school for leadership and public service,school_name,address
school w h maxwell career and technical education high school,address,address
school ebc eny high school for public safety and law,school_name,address
closed school new school for arts and science,school_name,address
school manhattan center for science and mathematics,building_name,address
school el puente academy for peace and justice,school_name,address
"school law, government and community service high school",school_name,address
"school school of business, finance, and entrepreneurship",school_name,address
"school ms 267 math, science and technology",school_name,address
"school mathematics, science research, and technology magnet high school",school_name,address
school high school for law and public service,school_name,address
school mark twain is 239 for the gifted and talented,school_name,address
school pablo neruda academy for architecture and world studies,school_name,address
school ps 166 the richard rodgers school of the arts and technology,school_name,address
school the bronx high school of performance and stagecraft,school_name,address
school robert f wagner jr secondary school for arts and technology,school_name,address
"school enterprise, business, and technology high school",school_name,address
closed school community school at ms 142 ms 82,school_name,address
"school queens high school of teaching, liberal arts, and the sciences",school_name,address
school fanny high school for fire and life safety,school_name,address
school high school for media and communications,school_name,address
school wadleigh secondary school for the performing and visual arts,school_name,address
school collegiate institute for math and science,school_name,address
school alfred e smith career and technical education high school,address,address
school university heights secondary school at bronx community college,college_name,address
"school is 349 math, science, and technology",school_name,address
"school high school for law, advocacy and community justice",school_name,address
school bronx school of law and finance,school_name,address
"school science skills center high school for science, technology, and the creative arts",school_name,address
school albert shanker school for visual and performing arts,school_name,address
closed school powell middle school for law and social justice,school_name,address
closed school career education center,building_name,building_name
school ms 243 center school,school_name,building_name
school ps 721 manhattan occupational training center,building_name,building_name
school ps 246 poe center,building_name,building_name
closed school early childhood center,building_name,building_name
school queens occupational training center,building_name,building_name
closed school nyc vocational training center,building_name,building_name
school jhs 113 ronald edmonds learning center,building_name,building_name
school unity center for urban technologies,building_name,building_name
closed school bronx literacy center,building_name,building_name
school university neighborhood middle school,school_name,college_name
school south bronx preparatory: a college board school,school_name,college_name
school brooklyn collegiate: a college board school,school_name,college_name
school middle college high school,school_name,college_name
school ps 94 kings college school,school_name,college_name
school medgar evers college preparatory school,school_name,college_name
school university neighborhood high school,school_name,college_name
school ps 146 howard beach,park_playground,park_playground
school ps 282 park slope,park_playground,park_playground
school ps 152 dyckman valley,park_playground,park_playground
school jhs 278 marine park,park_playground,park_playground
school ps 163 bath beach,park_playground,park_playground
school is 059 springfield gardens,park_playground,park_playground
school ps 35 the clove valley school,school_name,park_playground
school ps 183 dr richard r green,park_playground,park_playground
school ps 207 rockwood park,park_playground,park_playground
school ps 277 gerritsen beach,park_playground,park_playground
school ps 127 mckinley park,park_playground,park_playground
school ps 244 richard r green,park_playground,park_playground
closed school springfield gardens high school,school_name,park_playground
school beach channel high school,school_name,park_playground
school ps 203 oakland gardens,park_playground,park_playground
school ps 209 clearview gardens,park_playground,park_playground
school ps 164 queens valley,park_playground,park_playground
school ps 101 school in the gardens,park_playground,park_playground
school ps 299 thomas warren field,park_playground,park_playground
school ps 97 forest park,park_playground,park_playground
school sunset park prep,park_playground,park_playground
school richard r green high school of teaching,school_name,park_playground
school south shore high school,school_name,park_playground
school ps 21 margaret emery elm park,park_playground,park_playground
school ps 112 lefferts park,park_playground,park_playground
school ps 62 chester park,park_playground,park_playground
closed school seward park high school,school_name,park_playground
school ps 195 manhattan beach,park_playground,park_playground
school ps 99 kew gardens,park_playground,park_playground
school ps 312 bergen beach,park_playground,park_playground
closed school jhs 113 richard r green,park_playground,park_playground
school ps 46 alley pond,park_playground,park_playground
school ps 241 family academy,school_name,school_name
school ps 321 william penn,school_name,school_name
school ps 80 thurgood marshall magnet,school_name,school_name
school jhs 218 james p sinnott,school_name,school_name
school ps 3 raul julia micro society,school_name,school_name
school ps 32 samuels mills sprole,school_name,school_name
school lower eastside prep,school_name,school_name
school ps 771,school_name,school_name
school ps 161 ponce de leon,school_name,school_name
school kappa ii,school_name,school_name
school ps 177 the marlboro,school_name,school_name
school ps 102 jacques cartier,school_name,school_name
school ps 47 chris galas,school_name,school_name
school ps 118 lorraine hansberry,school_name,school_name
school ps 346 abe stark,school_name,school_name
school ps 234,school_name,school_name
school ps is 155 nicholas herkimer,school_name,school_name
school ps 308 clara cardwell,school_name,school_name
school the gordon parks school,school_name,school_name
school ms 301 paul l dunbar,school_name,school_name
school ps 68 bronx,school_name,school_name
school ps 345 patrolman robert bolden,school_name,school_name
school ps 10,school_name,school_name
school tottenville high school,school_name,school_name
school ps 92 bronx,school_name,school_name
school jhs 144 michelangelo,school_name,school_name
school ps 4 queens,school_name,school_name
school christopher columbus high school,school_name,school_name
school jhs 217 robert a van wyck,school_name,school_name
school bronx writing academy,school_name,school_name
school ps 130 the parkside,school_name,school_name
school ps 186 walter j damrosch school,school_name,school_name
school bronx leadership academy high school,school_name,school_name
school ps 22 thomas jefferson,school_name,school_name
school flushing high school,school_name,school_name
school ps 328 phyllis wheatley,school_name,school_name
school ps 11 kathryn phelan,school_name,school_name
school ebc high school for public service bushwick,school_name,school_name
school frederick douglass academy,school_name,school_name
school port richmond high school,school_name,school_name
school ps 132 juan pablo duarte,school_name,school_name
school ps 28 wright brothers,school_name,school_name
school ps 98 shorac kappock,school_name,school_name
school ps 215 lucretia mott,school_name,school_name
school is 61 leonardo da vinci,school_name,school_name
school ps 272 curtis estabrook,school_name,school_name
school jhs 201 the dyker heights,school_name,school_name
school ps 36,school_name,school_name
school ps 13 roberto clemente,school_name,school_name
school ps 188 island school,school_name,school_name
closed school bushwick high school,school_name,school_name
school ps 120 queens,school_name,school_name
school ps 340,school_name,school_name
school ps 16 wakefield,school_name,school_name
