value,label,count
6bc botanical garden,address,address
100 centre st,address,address
100 gold street,address,address
137 centre street ,address,address
22 reade st,address,address
49 51 chambers street ,address,address
111 centre st,address,address
115 chrystie st,address,address
346 broadway,address,address
227th st. plgd,address,address
1 centre street,address,address
100 centre street ,address,address
2 lafayette st ,address,address
"alley springfield, picnic and athletic",address,address
125 st. bid,address,address
280 broadway,address,address
60 lafayette st,address,address
80 centre st,address,address
96th st train station under our supervision,address,address
van cortlandt stadium,building_name,building_name
cadman plaza,building_name,building_name
asser levy rec ctr,building_name,building_name
hamilton fish recreation center,building_name,building_name
inwood hill nature center,building_name,building_name
lbh rec center,building_name,building_name
greenbelt rec ctr,building_name,building_name
skyview shopping plaza,building_name,building_name
metropolitan rec ctr ,building_name,building_name
west bronx rec. ctr,building_name,building_name
brownsville rec ctr,building_name,building_name
fort hamilton sr. center,building_name,building_name
chelsea rec center,building_name,building_name
rec center 54,building_name,building_name
al oerter rec center ,building_name,building_name
passerelle aquatics,building_name,building_name
greenbelt nature center,building_name,building_name
kingsbridge heights community center,building_name,building_name
al smith rec ctr,building_name,building_name
college of mt. st. vincent,college_name,college_name
fordham university,college_name,college_name
e tremont ave university ave,street_name,college_name
mullaly,location_type,location_type
olinville,location_type,location_type
brower,location_type,location_type
nursery,location_type,location_type
hansboro,location_type,location_type
highbridge,location_type,location_type
metrotech,location_type,location_type
desalvio,location_type,location_type
bensonhurst,location_type,location_type
boerum,location_type,location_type
fab,location_type,location_type
kelly,location_type,location_type
underhill,location_type,location_type
graniteville,location_type,location_type
bronx botanical gardens,park_playground,park_playground
bronx county courthouse,park_playground,park_playground
bronx park,park_playground,park_playground
bronx zoo,park_playground,park_playground
isla verde garden,park_playground,park_playground
little green garden 3 large lower expanse,park_playground,park_playground
noble playground,park_playground,park_playground
sachkera plgd – parks,park_playground,park_playground
seton falls park,park_playground,park_playground
spuyton duyvil plgd,park_playground,park_playground
van cortlandt park ,park_playground,park_playground
woodlawn tennis,park_playground,park_playground
bushwick inlet field,park_playground,park_playground
columbus park,park_playground,park_playground
harry chapin plgd,park_playground,park_playground
manhattan beach +bbq,park_playground,park_playground
mcgorlick park,park_playground,park_playground
palato plgd,park_playground,park_playground
pierrepont park,park_playground,park_playground
salt marsh,park_playground,park_playground
underwood playground,park_playground,park_playground
bennett park,park_playground,park_playground
chelsea waterside park field,park_playground,park_playground
coleman square playground,park_playground,park_playground
john jay park,park_playground,park_playground
lincoln square,park_playground,park_playground
morris jumel ecological garden,park_playground,park_playground
pier 25,park_playground,park_playground
pier 40 dog run,park_playground,park_playground
pier 40 roof,park_playground,park_playground
pleasant village community garden,park_playground,park_playground
vesuvio playground,park_playground,park_playground
buzz o'rourke playground,park_playground,park_playground
forest park,park_playground,park_playground
glendale playground,park_playground,park_playground
kissena park,park_playground,park_playground
mcdonald park,park_playground,park_playground
berry homes ballfield,park_playground,park_playground
cloves lake,park_playground,park_playground
macarthur park,park_playground,park_playground
tottenville pool,park_playground,park_playground
west brighton pool,park_playground,park_playground
wolfe's pond,park_playground,park_playground
edith community garden 830 elton tenants assoc.,park_playground,park_playground
muskrat playground,park_playground,park_playground
new hoe avenue garden,park_playground,park_playground
river garden,park_playground,park_playground
rosehill park parks,park_playground,park_playground
skate park at allerton,park_playground,park_playground
southwest plgd – parks,park_playground,park_playground
